City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
Enosburgh,,,-,9,70,79
Essex,-,"Chittenden 8-1",-,5,73,78
Essex,-,"Chittenden 8-2",-,3,74,77
Essex,-,"Chittenden 8-3",-,1,25,26
"Fair Haven",,,-,2,51,53
Fairfax,,,-,7,105,112
Fairfield,,,-,3,30,33
Fairlee,,,-,2,20,22
Fayston,,,-,0,12,12
Ferrisburgh,,,-,0,32,32
Fletcher,,,-,1,15,16
Franklin,,,-,11,63,74
Georgia,,,-,8,136,144
Glover,,,-,3,24,27
Goshen,,,-,2,9,11
Grafton,,,-,1,26,27
Granby,,,-,0,19,19
"Grand Isle",,,-,6,32,38
Granville,,,-,1,1,2
Greensboro,,,-,0,13,13
Groton,,,-,3,22,25
Guildhall,,,-,1,47,48
Guilford,,,-,3,16,19
Halifax,,,-,0,17,17
Hancock,,,-,0,2,2
Hardwick,,,-,4,15,19
Hartford,-,"Windsor 4-1",-,0,14,14
Hartford,-,"Windsor 4-2",-,5,57,62
Hartland,,,-,6,44,50
Highgate,,,-,9,128,137
Hinesburg,-,"Chittenden 4-1",-,0,0,0
Hinesburg,-,"Chittenden 4-2",-,2,29,31
Holland,,,-,1,10,11
Hubbardton,,,-,1,15,16
Huntington,,,-,1,19,20
"Hyde Park",,,-,4,33,37
Ira,,,-,1,11,12
Irasburg,,,-,5,21,26
"Isle La Motte",,,-,0,9,9
Jamaica,,,-,1,9,10
Jay,,,-,1,9,10
Jericho,,,-,3,88,91
Johnson,,,-,1,34,35
Killington,,,-,1,15,16
Kirby,,,-,3,35,38
Landgrove,,,-,0,2,2
Leicester,,,-,1,15,16
Lemington,,,-,0,5,5
Lincoln,,,-,1,23,24
Londonderry,,,-,2,13,15
Lowell,,,-,1,26,27
Ludlow,,,-,1,32,33
Lunenburg,,,-,22,158,180
Lyndon,,,-,13,82,95
Maidstone,,,-,6,14,20
Manchester,,,-,2,52,54
Marlboro,,,-,2,8,10
Marshfield,,,-,1,16,17
Mendon,,,-,1,22,23
Middlebury,,,-,5,44,49
Middlesex,,,-,2,26,28
"Middletown Springs",,,-,2,19,21
Milton,-,"Chittenden 10",-,8,429,437
Milton,-,"Grand Isle-Chittenden",-,3,25,28
Monkton,,,-,0,16,16
Montgomery,,,-,5,13,18
Montpelier,,,-,6,69,75
Moretown,,,-,0,30,30
Morgan,,,-,2,21,23
Morristown,,,-,14,59,73
"Mount Holly",,,-,1,32,33
"Mount Tabor",,,-,0,1,1
"New Haven",,,-,4,31,35
Newark,,,-,2,14,16
Newbury,,,-,1,49,50
Newfane,,,-,1,18,19
"Newport City",,,-,11,65,76
"Newport Town",,,-,4,13,17
"N. Hero",,,-,0,22,22
Northfield,,,-,4,55,59
Norton,,,-,8,4,12
Norwich,,,-,0,37,37
Orange,,,-,5,23,28
Orwell,,,-,4,33,37
Panton,,,-,2,12,14
Pawlet,,,-,3,20,23
Peacham,,,-,1,16,17
Peru,,,-,0,16,16
Pittsfield,,,-,0,5,5
Pittsford,,,-,6,49,55
Plainfield,,,-,1,9,10
Plymouth,,,-,1,17,18
Pomfret,,,-,0,15,15
Poultney,,,-,1,39,40
Pownal,,,-,0,26,26
Proctor,,,-,2,11,13
Putney,,,-,1,17,18
Randolph,,,-,6,48,54
Reading,,,-,0,10,10
Readsboro,,,-,0,17,17
Richford,,,-,4,34,38
Richmond,,,-,3,56,59
Ripton,,,-,0,8,8
Rochester,,,-,0,19,19
Rockingham,,,-,5,47,52
Roxbury,,,-,1,9,10
Royalton,,,-,1,40,41
Rupert,,,-,0,13,13
"Rutland City",-,"Rutland 5-1",-,2,54,56
"Rutland City",-,"Rutland 5-2",-,3,58,61
"Rutland City",-,"Rutland 5-3",-,2,24,26
"Rutland City",-,"Rutland 5-4",-,5,46,51
"Rutland Town",,,-,12,130,142
Ryegate,,,-,2,15,17
Salisbury,,,-,0,11,11
Sandgate,,,-,1,5,6
Searsburg,,,-,0,3,3
Shaftsbury,,,-,4,29,33
Sharon,,,-,3,23,26
Sheffield,,,-,3,9,12
Shelburne,-,"Chittenden 5-1",-,2,94,96
Shelburne,-,"Chittenden 5-2",-,1,69,70
Sheldon,,,-,13,33,46
Shoreham,,,-,1,14,15
Shrewsbury,,,-,5,23,28
"S. Burlington",-,"Chittenden 7-1",-,3,47,50
"S. Burlington",-,"Chittenden 7-2",-,5,78,83
"S. Burlington",-,"Chittenden 7-3",-,5,47,52
"S. Burlington",-,"Chittenden 7-4",-,4,75,79
"S. Hero",,,-,1,37,38
Springfield,-,"Windsor 3-1",-,2,0,2
Springfield,-,"Windsor 3-2",-,3,81,84
"St. Albans City",,,-,51,258,309
"St. Albans Town",-,"Franklin 3-1",-,10,113,123
"St. Albans Town",-,"Franklin 3-2",-,32,178,210
"St. George",,,-,1,7,8
"St. Johnsbury",,,-,16,67,83
Stamford,,,-,0,11,11
Stannard,,,-,0,2,2
Starksboro,,,-,1,31,32
Stockbridge,,,-,1,13,14
Stowe,,,-,3,32,35
Strafford,,,-,3,13,16
Stratton,,,-,0,4,4
Sudbury,,,-,1,18,19
Sunderland,-,"Bennington 3",-,0,0,0
Sunderland,-,"Bennington 4",-,0,7,7
Sutton,,,-,4,14,18
Swanton,,,-,27,214,241
Thetford,,,-,1,14,15
Tinmouth,-,"Rutland 2",-,0,2,2
Tinmouth,-,Rutland-Bennington,-,0,8,8
Topsham,,,-,2,26,28
Townshend,,,-,2,19,21
Troy,-,"Orleans 2",-,2,7,9
Troy,-,Orleans-Lamoille,-,1,9,10
Tunbridge,,,-,5,24,29
Underhill,,,-,1,45,46
Vergennes,,,-,0,28,28
Vernon,,,-,4,56,60
Vershire,,,-,1,7,8
Victory,,,-,1,9,10
Waitsfield,,,-,3,23,26
Walden,,,-,1,18,19
Wallingford,,,-,0,36,36
Waltham,,,-,0,2,2
Wardsboro,,,-,0,11,11
Warren,,,-,1,15,16
Washington,,,-,3,23,26
Waterbury,,,-,1,48,49
Waterford,,,-,1,17,18
Waterville,,,-,0,10,10
Weathersfield,,,-,3,40,43
Wells,,,-,1,12,13
"W. Fairlee",,,-,0,6,6
"W. Haven",,,-,1,6,7
"W. Rutland",,,-,2,30,32
"W. Windsor",,,-,5,16,21
Westfield,,,-,3,10,13
Westford,,,-,1,18,19
Westminster,-,"Windham 3",-,0,1,1
Westminster,-,"Windham 4",-,4,27,31
Westmore,,,-,1,8,9
Weston,,,-,1,17,18
Weybridge,,,-,0,11,11
Wheelock,,,-,1,14,15
Whiting,,,-,2,14,16
Whitingham,-,"Windham 6",-,0,19,19
Whitingham,-,Windham-Bennington,-,0,2,2
Williamstown,,,-,13,54,67
Williston,,,-,5,108,113
Wilmington,,,-,2,27,29
Windham,,,-,0,6,6
Windsor,,,-,1,40,41
Winhall,,,-,0,17,17
Winooski,,,-,1,43,44
Wolcott,,,-,1,21,22
Woodbury,,,-,1,26,27
Woodford,,,-,0,1,1
Woodstock,,,-,6,65,71
Worcester,,,-,0,10,10
TOTALS,,,-,846,"9,502","10,348"
