City/Town,Ward,Pct,"Bernie Sanders",Write-Ins,Blanks,"Total Votes Cast"
Waterville,,,23,0,4,27
Weathersfield,,,115,0,5,120
Wells,,,28,0,4,32
"W. Fairlee",,,47,0,4,51
"W. Haven",,,5,0,1,6
"W. Rutland",,,48,1,15,64
"W. Windsor",,,40,1,6,47
Westfield,,,37,2,1,40
Westford,,,139,0,21,160
Westminster,-,"Windham 3",21,1,3,25
Westminster,-,"Windham 4",224,0,9,233
Westmore,,,19,0,2,21
Weston,,,40,0,3,43
Weybridge,,,79,0,10,89
Wheelock,,,19,0,4,23
Whiting,,,34,0,2,36
Whitingham,-,"Windham 6",46,0,3,49
Whitingham,-,Windham-Bennington,1,0,0,1
Williamstown,,,151,8,23,182
Williston,,,705,9,131,845
Wilmington,,,65,0,10,75
Windham,,,68,0,5,73
Windsor,,,167,1,5,173
Winhall,,,41,1,2,44
Winooski,,,372,34,71,477
Wolcott,,,62,1,9,72
Woodbury,,,59,1,9,69
Woodford,,,26,0,2,28
Woodstock,,,246,5,30,281
Worcester,,,86,0,12,98
TOTALS,,,"36,902",498,"5,713","43,113"
