City/Town,Ward,Pct,"John Macgovern","H. Brooke Paige",Write-Ins,Blanks,"Total Votes Cast"
"E. Montpelier",,,16,25,1,4,46
Eden,,,9,1,0,2,12
Elmore,,,8,2,1,2,13
Enosburgh,,,46,6,7,20,79
Essex,-,"Chittenden 8-1",53,16,0,9,78
Essex,-,"Chittenden 8-2",52,14,1,10,77
Essex,-,"Chittenden 8-3",15,5,0,6,26
"Fair Haven",,,31,9,3,10,53
Fairfax,,,68,17,2,25,112
Fairfield,,,14,5,4,9,32
Fairlee,,,16,2,1,3,22
Fayston,,,4,6,0,2,12
Ferrisburgh,,,25,6,0,1,32
Fletcher,,,7,4,0,5,16
Franklin,,,30,9,14,21,74
Georgia,,,91,25,2,30,148
Glover,,,11,13,1,2,27
Goshen,,,8,3,0,0,11
Grafton,,,23,1,0,3,27
Granby,,,12,3,1,3,19
"Grand Isle",,,26,9,0,3,38
Granville,,,2,0,0,0,2
Greensboro,,,8,4,0,1,13
Groton,,,10,12,3,1,26
Guildhall,,,24,9,2,13,48
Guilford,,,14,1,2,2,19
Halifax,,,12,3,0,2,17
Hancock,,,2,0,0,0,2
Hardwick,,,12,4,0,3,19
Hartford,-,"Windsor 4-1",14,0,0,0,14
Hartford,-,"Windsor 4-2",52,3,3,6,64
Hartland,,,46,1,2,0,49
Highgate,,,85,27,5,26,143
Hinesburg,-,"Chittenden 4-1",0,0,0,0,0
Hinesburg,-,"Chittenden 4-2",24,6,0,1,31
Holland,,,4,3,3,1,11
Hubbardton,,,11,3,0,2,16
Huntington,,,15,3,0,2,20
"Hyde Park",,,20,11,1,5,37
Ira,,,10,2,0,0,12
Irasburg,,,14,2,4,6,26
"Isle La Motte",,,4,3,0,2,9
Jamaica,,,7,1,0,2,10
Jay,,,8,1,0,1,10
Jericho,,,65,15,1,10,91
Johnson,,,16,5,2,12,35
Killington,,,10,3,0,3,16
Kirby,,,25,6,0,9,40
Landgrove,,,1,0,0,2,3
Leicester,,,11,3,1,1,16
Lemington,,,2,0,0,3,5
Lincoln,,,14,7,0,3,24
Londonderry,,,9,4,0,2,15
Lowell,,,12,7,1,7,27
Ludlow,,,29,2,0,2,33
Lunenburg,,,92,32,16,40,180
