City/Town,Ward,Pct,"Phil Scott",Write-Ins,Blanks,"Total Votes Cast"
"St. Johnsbury",,,81,0,2,83
Stamford,,,11,0,0,11
Stannard,,,2,0,0,2
Starksboro,,,29,0,3,32
Stockbridge,,,13,0,1,14
Stowe,,,37,0,1,38
Strafford,,,15,0,1,16
Stratton,,,4,0,0,4
Sudbury,,,18,0,1,19
Sunderland,-,"Bennington 3",0,0,0,0
Sunderland,-,"Bennington 4",7,0,0,7
Sutton,,,18,0,1,19
Swanton,,,230,0,11,241
Thetford,,,15,0,0,15
Tinmouth,-,"Rutland 2",2,0,0,2
Tinmouth,-,Rutland-Bennington,8,0,0,8
Topsham,,,27,0,1,28
Townshend,,,21,0,0,21
Troy,-,"Orleans 2",9,0,0,9
Troy,-,Orleans-Lamoille,10,0,0,10
Tunbridge,,,28,0,1,29
Underhill,,,46,0,0,46
Vergennes,,,23,0,5,28
Vernon,,,58,0,3,61
Vershire,,,9,0,1,10
Victory,,,9,0,1,10
Waitsfield,,,25,1,1,27
Walden,,,18,0,1,19
Wallingford,,,36,0,1,37
Waltham,,,1,0,1,2
Wardsboro,,,10,0,1,11
Warren,,,14,0,2,16
Washington,,,25,0,3,28
Waterbury,,,47,0,2,49
Waterford,,,17,0,2,19
Waterville,,,8,0,2,10
Weathersfield,,,42,0,1,43
Wells,,,12,0,1,13
"W. Fairlee",,,5,0,1,6
"W. Haven",,,7,0,0,7
"W. Rutland",,,30,0,2,32
"W. Windsor",,,18,0,2,20
Westfield,,,12,0,3,15
Westford,,,18,0,1,19
Westminster,-,"Windham 3",1,0,0,1
Westminster,-,"Windham 4",30,0,1,31
Westmore,,,5,0,4,9
Weston,,,14,0,4,18
Weybridge,,,7,0,4,11
Wheelock,,,14,0,1,15
Whiting,,,15,0,1,16
Whitingham,-,"Windham 6",18,1,0,19
Whitingham,-,Windham-Bennington,2,0,0,2
Williamstown,,,66,0,1,67
Williston,,,107,0,8,115
Wilmington,,,24,0,5,29
Windham,,,6,0,0,6
Windsor,,,41,1,1,43
Winhall,,,15,0,2,17
Winooski,,,39,0,5,44
Wolcott,,,19,0,3,22
Woodbury,,,27,0,0,27
Woodford,,,1,0,0,1
Woodstock,,,58,0,13,71
Worcester,,,9,0,1,10
TOTALS,,,"9,262",29,"1,131","10,422"
