City/Town,Ward,Pct,"Brian E. Dubie",Write-Ins,Blanks,"Total Votes Cast"
Waterbury,,,235,3,0,238
Waterford,,,117,0,0,117
Waterville,,,46,0,0,46
Weathersfield,,,108,3,0,111
Wells,,,40,0,0,40
"W. Fairlee",,,27,0,0,27
"W. Haven",,,16,0,0,16
"W. Rutland",,,107,1,0,108
"W. Windsor",,,63,9,0,72
Westfield,,,46,1,0,47
Westford,,,110,1,0,111
Westminster,-,"Windham 4",4,0,0,4
Westminster,-,"Windham 5",76,2,0,78
Westmore,,,20,0,0,20
Weston,,,30,0,0,30
Weybridge,,,70,0,0,70
Wheelock,,,44,0,0,44
Whiting,,,29,0,0,29
Whitingham,,,55,0,0,55
Williamstown,,,167,6,0,173
Williston,,,609,5,0,614
Wilmington,,,87,0,0,87
Windham,,,11,0,0,11
Windsor,,,96,4,0,100
Winhall,,,48,1,0,49
Winooski,,,223,3,0,226
Wolcott,,,67,2,0,69
Woodbury,,,77,0,0,77
Woodford,,,23,0,0,23
Woodstock,,,192,5,0,197
Worcester,,,54,1,0,55
TOTALS,,,"33,171",511,0,"33,682"
