City/Town,Ward,Pct,"Scudder Parker",Write-Ins,Blanks,"Total Votes Cast"
Westminster,-,"Windham 5",345,7,0,352
Westmore,,,17,0,0,17
Weston,,,64,0,0,64
Weybridge,,,85,1,0,86
Wheelock,,,23,1,0,24
Whiting,,,32,12,0,44
Whitingham,,,45,0,0,45
Williamstown,,,66,14,0,80
Williston,,,499,13,0,512
Wilmington,,,63,1,0,64
Windham,,,25,7,0,32
Windsor,,,229,19,0,248
Winhall,,,34,3,0,37
Winooski,,,274,6,0,280
Wolcott,,,72,5,0,77
Woodbury,,,103,5,0,108
Woodford,,,15,0,0,15
Woodstock,,,347,8,0,355
Worcester,,,130,2,0,132
TOTALS,,,"31,048","1,702",0,"32,750"
