City/Town,Ward,Pct,"Bernard Sanders","Louis W. Thabault","Craig Hill","Larry Drown","Peter Moss",Write-Ins,Blanks,"Total Votes Cast"
Proctor,,,35,0,1,1,26,0,0,63
Putney,,,403,5,5,1,5,1,0,420
Randolph,,,302,1,5,2,1,0,0,311
Reading,,,66,2,3,0,0,0,0,71
Readsboro,,,43,0,1,1,2,0,0,47
Richford,,,78,2,0,7,1,0,0,88
Richmond,,,380,3,3,2,2,0,0,390
Ripton,,,67,2,0,0,0,0,0,69
Rochester,,,116,5,1,1,0,1,0,124
Rockingham,,,436,8,11,4,6,7,0,472
Roxbury,,,43,0,1,0,0,0,0,44
Royalton,,,145,0,1,4,0,1,0,151
Rupert,,,44,1,0,1,0,0,0,46
"Rutland City",-,"Rutland 5-1",192,2,2,1,2,0,0,199
"Rutland City",-,"Rutland 5-2",154,4,2,2,1,0,0,163
"Rutland City",-,"Rutland 5-3",94,5,2,1,1,1,0,104
"Rutland City",-,"Rutland 5-4",190,2,4,1,1,0,0,198
"Rutland Town",-,"Elem. School",124,1,3,1,1,1,0,131
"Rutland Town",-,"Town Hall",46,2,0,0,0,1,0,49
Ryegate,,,49,0,1,3,0,0,0,53
Salisbury,,,64,0,1,0,0,0,0,65
Sandgate,,,35,0,1,1,1,0,0,38
Searsburg,,,4,0,0,0,0,0,0,4
Shaftsbury,,,249,0,1,5,4,2,0,261
Sharon,,,135,0,2,3,0,0,0,140
Sheffield,,,28,2,0,2,0,0,0,32
Shelburne,-,"Chittenden 5-1",387,8,3,5,3,9,0,415
Shelburne,-,"Chittenden 5-2",228,10,3,3,3,5,0,252
Sheldon,,,54,1,2,0,1,5,0,63
Shoreham,,,65,0,1,0,1,1,0,68
Shrewsbury,,,69,0,0,0,0,0,0,69
"S. Burlington",-,"Chittenden 3-10",255,12,5,0,3,2,0,277
"S. Burlington",-,"Chittenden 3-7",347,16,3,3,2,4,0,375
"S. Burlington",-,"Chittenden 3-8",352,36,3,2,2,12,0,407
"S. Burlington",-,"Chittenden 3-9",272,14,4,0,1,0,0,291
"S. Hero",,,156,3,0,0,1,3,0,163
Springfield,-,"Windsor 1-1",7,0,0,0,0,0,0,7
Springfield,-,"Windsor 1-2",538,8,8,8,7,3,0,572
"St. Albans City",,,333,5,9,2,8,50,0,407
"St. Albans Town",,,226,1,2,4,10,14,0,257
"St. George",,,33,1,0,0,0,0,0,34
"St. Johnsbury",,,210,0,4,3,0,2,0,219
Stamford,,,34,0,1,0,1,0,0,36
Stannard,,,25,0,0,0,0,0,0,25
Starksboro,,,102,0,0,2,1,1,0,106
Stockbridge,,,43,0,0,1,0,0,0,44
Stowe,,,201,1,1,1,1,0,0,205
Strafford,,,209,0,0,0,0,0,0,209
Stratton,,,7,1,0,1,0,0,0,9
Sudbury,,,42,0,0,0,0,0,0,42
Sunderland,,,36,0,0,0,0,2,0,38
Sutton,,,30,0,0,0,0,1,0,31
Swanton,,,324,0,1,3,6,5,0,339
Thetford,,,386,0,3,3,1,3,0,396
Tinmouth,,,42,0,1,0,0,0,0,43
Topsham,,,27,0,1,1,0,0,0,29
Townshend,,,78,1,11,3,2,0,0,95
Troy,,,50,0,0,0,0,1,0,51
Tunbridge,,,78,0,0,1,0,0,0,79
Underhill,,,224,0,0,1,3,0,0,228
Vergennes,,,143,2,2,1,0,2,0,150
Vernon,,,75,3,4,1,2,1,0,86
Vershire,,,57,1,1,1,0,0,0,60
Victory,,,2,0,0,0,0,0,0,2
Waitsfield,,,118,0,5,0,1,1,0,125
Walden,,,63,0,1,0,0,0,0,64
Wallingford,,,127,0,1,0,0,0,0,128
Waltham,,,37,0,0,0,0,0,0,37
Wardsboro,,,46,0,0,0,0,0,0,46
Warren,,,93,0,2,1,1,0,0,97
Washington,,,58,0,0,0,0,0,0,58
Waterbury,,,245,2,3,2,0,0,0,252
Waterford,,,33,0,1,0,0,0,0,34
Waterville,,,20,0,0,0,0,0,0,20
Weathersfield,,,169,2,3,2,2,0,0,178
Wells,,,36,1,0,2,0,0,0,39
"W. Fairlee",,,38,0,0,1,1,0,0,40
"W. Haven",,,8,0,0,0,0,0,0,8
"W. Rutland",,,50,1,1,1,0,1,0,54
"W. Windsor",,,123,0,2,3,1,4,0,133
Westfield,,,27,0,0,0,0,0,0,27
Westford,,,115,0,0,0,3,0,0,118
Westminster,-,"Windham 4",21,0,0,0,0,0,0,21
Westminster,-,"Windham 5",368,4,1,3,5,3,0,384
Westmore,,,24,0,0,0,0,0,0,24
Weston,,,67,2,0,1,1,0,0,71
Weybridge,,,84,0,1,1,0,0,0,86
Wheelock,,,24,0,0,0,0,0,0,24
Whiting,,,45,0,0,1,0,0,0,46
Whitingham,,,46,1,2,0,3,0,0,52
Williamstown,,,91,1,0,2,0,1,0,95
Williston,,,573,15,7,5,4,8,0,612
Wilmington,,,72,1,3,0,5,0,0,81
Windham,,,30,0,1,1,0,2,0,34
Windsor,,,278,2,5,4,3,2,0,294
Winhall,,,39,1,1,2,2,0,0,45
Winooski,,,314,32,6,1,3,4,0,360
Wolcott,,,72,1,1,2,1,2,0,79
Woodbury,,,115,0,2,1,0,0,0,118
Woodford,,,16,2,0,1,0,0,0,19
Woodstock,,,427,4,12,2,2,2,0,449
Worcester,,,133,0,4,0,0,0,0,137
TOTALS,,,"35,954",585,504,403,385,355,0,"38,186"
