City/Town,Ward,Pct,"Peter Welch",Write-Ins,Blanks,"Total Votes Cast"
Essex,-,"Chittenden 6-3",107,0,0,107
"Fair Haven",,,50,0,0,50
Fairfax,,,113,10,0,123
Fairfield,,,90,14,0,104
Fairlee,,,60,2,0,62
Fayston,,,56,0,0,56
Ferrisburgh,,,166,1,0,167
Fletcher,,,43,0,0,43
Franklin,,,71,5,0,76
Georgia,,,120,4,0,124
Glover,,,46,10,0,56
Goshen,,,13,2,0,15
Grafton,,,42,1,0,43
Granby,,,3,0,0,3
"Grand Isle",,,104,24,0,128
Granville,,,18,0,0,18
Greensboro,,,79,0,0,79
Groton,,,34,5,0,39
Guildhall,,,4,0,0,4
Guilford,,,132,2,0,134
Halifax,,,31,0,0,31
Hancock,,,14,3,0,17
Hardwick,,,155,16,0,171
Hartford,-,"Windsor 6-1",106,1,0,107
Hartford,-,"Windsor 6-2",398,7,0,405
Hartland,,,481,13,0,494
Highgate,,,95,21,0,116
Hinesburg,-,"Chittenden 1-1",258,3,0,261
Hinesburg,-,"Chittenden 1-2",12,0,0,12
Holland,,,15,3,0,18
Hubbardton,,,14,0,0,14
Huntington,,,171,3,0,174
"Hyde Park",,,110,2,0,112
Ira,-,"Rutland Rutland 1-1",2,0,0,2
Ira,-,"Rutland Rutland 1-2",20,0,0,20
Irasburg,,,24,5,0,29
"Isle La Motte",,,45,1,0,46
Jamaica,,,48,2,0,50
Jay,,,16,2,0,18
Jericho,,,321,5,0,326
Johnson,,,54,4,0,58
Killington,,,30,2,0,32
Kirby,,,21,1,0,22
Landgrove,,,24,0,0,24
Leicester,,,61,3,0,64
Lemington,,,5,0,0,5
Lincoln,,,129,1,0,130
Londonderry,,,64,2,0,66
Lowell,,,36,3,0,39
Ludlow,,,272,6,0,278
Lunenburg,,,56,11,0,67
Lyndon,,,126,8,0,134
Maidstone,,,5,3,0,8
Manchester,,,140,2,0,142
Marlboro,,,121,0,0,121
Marshfield,,,69,0,0,69
Mendon,,,44,1,0,45
Middlebury,,,435,3,0,438
Middlesex,,,133,0,0,133
"Middletown Springs",,,78,2,0,80
Milton,-,"Chittenden 9",248,10,0,258
Milton,-,"Grand Isle-Chittenden 1-1",38,1,0,39
Monkton,,,73,0,0,73
Montgomery,,,39,7,0,46
Montpelier,,,796,1,0,797
Moretown,,,138,4,0,142
Morgan,,,32,0,0,32
Morristown,,,269,6,0,275
"Mount Holly",,,144,1,0,145
"Mount Tabor",,,14,0,0,14
"New Haven",,,121,3,0,124
Newark,,,19,0,0,19
Newbury,-,"Center Town House",67,5,0,72
Newbury,-,"Town Office",30,1,0,31
Newbury,-,"West River Village",16,5,0,21
Newfane,,,183,6,0,189
"Newport City",,,156,8,0,164
"Newport Town",,,61,2,0,63
"N. Hero",,,41,1,0,42
Northfield,,,252,3,0,255
Norton,,,4,1,0,5
Norwich,,,852,3,0,855
Orange,,,18,3,0,21
Orwell,,,53,6,0,59
Panton,,,39,1,0,40
Pawlet,,,57,2,0,59
Peacham,,,62,0,0,62
Peru,,,34,0,0,34
Pittsfield,,,28,0,0,28
Pittsford,,,95,2,0,97
Plainfield,,,88,0,0,88
Plymouth,,,42,1,0,43
Pomfret,,,94,4,0,98
Poultney,,,101,3,0,104
Pownal,,,131,0,0,131
Proctor,,,58,1,0,59
Putney,,,383,1,0,384
Randolph,,,285,8,0,293
Reading,,,64,0,0,64
Readsboro,,,44,0,0,44
Richford,,,93,4,0,97
Richmond,,,356,1,0,357
Ripton,,,66,1,0,67
Rochester,,,117,2,0,119
Rockingham,,,431,19,0,450
Roxbury,,,37,0,0,37
Royalton,,,136,3,0,139
Rupert,,,46,0,0,46
"Rutland City",-,"Rutland 5-1",192,1,0,193
"Rutland City",-,"Rutland 5-2",147,1,0,148
"Rutland City",-,"Rutland 5-3",95,4,0,99
"Rutland City",-,"Rutland 5-4",178,2,0,180
"Rutland Town",-,"Elem. School",117,5,0,122
"Rutland Town",-,"Town Hall",47,0,0,47
Ryegate,,,47,1,0,48
Salisbury,,,63,0,0,63
Sandgate,,,32,2,0,34
Searsburg,,,3,2,0,5
Shaftsbury,,,241,8,0,249
Sharon,,,141,1,0,142
Sheffield,,,25,4,0,29
Shelburne,-,"Chittenden 5-1",394,10,0,404
Shelburne,-,"Chittenden 5-2",235,7,0,242
Sheldon,,,38,22,0,60
Shoreham,,,59,2,0,61
Shrewsbury,,,68,1,0,69
"S. Burlington",-,"Chittenden 3-10",252,4,0,256
"S. Burlington",-,"Chittenden 3-7",342,6,0,348
"S. Burlington",-,"Chittenden 3-8",362,6,0,368
"S. Burlington",-,"Chittenden 3-9",273,4,0,277
"S. Hero",,,144,11,0,155
Springfield,-,"Windsor 1-1",7,0,0,7
Springfield,-,"Windsor 1-2",552,11,0,563
"St. Albans City",,,303,66,0,369
"St. Albans Town",,,204,29,0,233
"St. George",,,35,0,0,35
"St. Johnsbury",,,195,5,0,200
Stamford,,,31,0,0,31
Stannard,,,24,0,0,24
Starksboro,,,102,1,0,103
Stockbridge,,,43,0,0,43
Stowe,,,184,3,0,187
Strafford,,,207,1,0,208
Stratton,,,9,0,0,9
Sudbury,,,39,1,0,40
Sunderland,,,37,0,0,37
Sutton,,,26,1,0,27
Swanton,,,267,38,0,305
Thetford,,,389,2,0,391
Tinmouth,,,39,0,0,39
Topsham,,,26,1,0,27
Townshend,,,88,2,0,90
Troy,,,49,2,0,51
Tunbridge,,,75,0,0,75
Underhill,,,211,3,0,214
Vergennes,,,133,9,0,142
Vernon,,,75,4,0,79
Vershire,,,53,1,0,54
Victory,,,2,0,0,2
Waitsfield,,,115,1,0,116
Walden,,,62,0,0,62
Wallingford,,,119,1,0,120
Waltham,,,29,4,0,33
Wardsboro,,,40,0,0,40
Warren,,,87,3,0,90
Washington,,,57,0,0,57
Waterbury,,,235,4,0,239
Waterford,,,33,0,0,33
Waterville,,,16,1,0,17
Weathersfield,,,172,1,0,173
Wells,,,37,0,0,37
"W. Fairlee",,,35,1,0,36
"W. Haven",,,8,0,0,8
"W. Rutland",,,50,1,0,51
"W. Windsor",,,123,4,0,127
Westfield,,,25,2,0,27
Westford,,,107,1,0,108
Westminster,-,"Windham 4",20,0,0,20
Westminster,-,"Windham 5",345,4,0,349
Westmore,,,20,0,0,20
Weston,,,71,0,0,71
Weybridge,,,85,2,0,87
Wheelock,,,22,0,0,22
Whiting,,,40,5,0,45
Whitingham,,,45,0,0,45
Williamstown,,,83,5,0,88
Williston,,,561,8,0,569
Wilmington,,,65,1,0,66
Windham,,,29,3,0,32
Windsor,,,282,5,0,287
Winhall,,,41,0,0,41
Winooski,,,319,6,0,325
Wolcott,,,73,3,0,76
Woodbury,,,107,3,0,110
Woodford,,,16,0,0,16
Woodstock,,,427,6,0,433
Worcester,,,127,1,0,128
TOTALS,,,"34,706","1,033",0,"35,739"
