City/Town,Ward,Pct,"Randy Brock",Write-Ins,Blanks,"Total Votes Cast"
Pawlet,,,54,0,0,54
Peacham,,,52,0,0,52
Peru,,,27,0,0,27
Pittsfield,,,53,0,0,53
Pittsford,,,129,1,0,130
Plainfield,,,48,1,0,49
Plymouth,,,24,0,0,24
Pomfret,,,39,2,0,41
Poultney,,,207,1,0,208
Pownal,,,95,2,0,97
Proctor,,,75,2,0,77
Putney,,,37,1,0,38
Randolph,,,335,4,0,339
Reading,,,26,0,0,26
Readsboro,,,27,1,0,28
Richford,,,79,0,0,79
Richmond,,,200,0,0,200
Ripton,,,16,0,0,16
Rochester,,,62,1,0,63
Rockingham,,,85,13,0,98
Roxbury,,,30,1,0,31
Royalton,,,91,1,0,92
Rupert,,,27,0,0,27
"Rutland City",-,"Rutland 5-1",209,0,0,209
"Rutland City",-,"Rutland 5-2",167,2,0,169
"Rutland City",-,"Rutland 5-3",57,3,0,60
"Rutland City",-,"Rutland 5-4",147,1,0,148
"Rutland Town",-,"Elem. School",244,0,0,244
"Rutland Town",-,"Town Hall",77,1,0,78
Ryegate,,,57,1,0,58
Salisbury,,,70,0,0,70
Sandgate,,,19,0,0,19
Searsburg,,,12,1,0,13
Shaftsbury,,,179,9,0,188
Sharon,,,48,0,0,48
Sheffield,,,30,0,0,30
Shelburne,-,"Chittenden 5-1",267,4,0,271
Shelburne,-,"Chittenden 5-2",232,3,0,235
Sheldon,,,83,1,0,84
Shoreham,,,72,3,0,75
Shrewsbury,,,64,1,0,65
"S. Burlington",-,"Chittenden 3-10",168,2,0,170
"S. Burlington",-,"Chittenden 3-7",222,1,0,223
"S. Burlington",-,"Chittenden 3-8",305,6,0,311
"S. Burlington",-,"Chittenden 3-9",257,2,0,259
"S. Hero",,,170,7,0,177
Springfield,-,"Windsor 1-1",2,0,0,2
Springfield,-,"Windsor 1-2",279,3,0,282
"St. Albans City",,,286,9,0,295
"St. Albans Town",,,331,3,0,334
"St. George",,,26,0,0,26
"St. Johnsbury",,,379,6,0,385
Stamford,,,27,0,0,27
Stannard,,,14,0,0,14
Starksboro,,,59,1,0,60
Stockbridge,,,36,0,0,36
Stowe,,,287,1,0,288
Strafford,,,40,1,0,41
Stratton,,,9,0,0,9
Sudbury,,,38,0,0,38
Sunderland,,,32,0,0,32
Sutton,,,51,2,0,53
Swanton,,,434,4,0,438
Thetford,,,71,2,0,73
Tinmouth,,,28,0,0,28
Topsham,,,68,1,0,69
Townshend,,,35,0,0,35
Troy,,,35,0,0,35
Tunbridge,,,96,0,0,96
Underhill,,,170,2,0,172
Vergennes,,,174,9,0,183
Vernon,,,136,3,0,139
Vershire,,,35,1,0,36
Victory,,,7,0,0,7
Waitsfield,,,93,2,0,95
Walden,,,49,0,0,49
Wallingford,,,93,0,0,93
Waltham,,,36,0,0,36
Wardsboro,,,28,1,0,29
Warren,,,71,0,0,71
Washington,,,59,1,0,60
Waterbury,,,197,4,0,201
Waterford,,,100,1,0,101
Waterville,,,39,0,0,39
Weathersfield,,,92,4,0,96
Wells,,,36,0,0,36
"W. Fairlee",,,23,0,0,23
"W. Haven",,,16,0,0,16
"W. Rutland",,,96,0,0,96
"W. Windsor",,,60,2,0,62
Westfield,,,38,1,0,39
Westford,,,87,0,0,87
Westminster,-,"Windham 4",4,0,0,4
Westminster,-,"Windham 5",64,3,0,67
Westmore,,,16,0,0,16
Weston,,,28,0,0,28
Weybridge,,,64,0,0,64
Wheelock,,,43,0,0,43
Whiting,,,26,0,0,26
Whitingham,,,46,0,0,46
Williamstown,,,159,4,0,163
Williston,,,497,2,0,499
Wilmington,,,77,0,0,77
Windham,,,10,0,0,10
Windsor,,,86,1,0,87
Winhall,,,43,0,0,43
Winooski,,,160,1,0,161
Wolcott,,,58,1,0,59
Woodbury,,,65,1,0,66
Woodford,,,18,0,0,18
Woodstock,,,165,2,0,167
Worcester,,,48,2,0,50
TOTALS,,,"27,985",429,0,"28,414"
