City/Town,Ward,Pct,"Thomas M. Salmon",Write-Ins,Blanks,"Total Votes Cast"
"S. Burlington",-,"Chittenden 3-8",187,1,0,188
"S. Burlington",-,"Chittenden 3-9",132,0,0,132
"S. Hero",,,50,0,0,50
Springfield,-,"Windsor 1-1",2,0,0,2
Springfield,-,"Windsor 1-2",811,1,0,812
"St. Albans City",,,13,1,0,14
"St. Albans Town",,,71,4,0,75
"St. George",,,73,0,0,73
"St. Johnsbury",,,129,0,0,129
Stamford,,,29,0,0,29
Stannard,,,12,0,0,12
Starksboro,,,53,0,0,53
Stockbridge,,,31,2,0,33
Stowe,,,39,1,0,40
Strafford,,,49,0,0,49
Stratton,,,4,0,0,4
Sudbury,,,19,0,0,19
Sunderland,,,18,0,0,18
Sutton,,,9,0,0,9
Swanton,,,19,0,0,19
Thetford,,,79,0,0,79
Tinmouth,,,61,0,0,61
Topsham,,,19,0,0,19
Townshend,,,54,1,0,55
Troy,,,23,0,0,23
Tunbridge,,,39,1,0,40
Underhill,,,133,1,0,134
Vergennes,,,39,0,0,39
Vernon,,,48,2,0,50
Vershire,,,29,3,0,32
Victory,,,4,0,0,4
Waitsfield,,,70,0,0,70
Walden,,,24,0,0,24
Wallingford,,,120,0,0,120
Waltham,,,6,0,0,6
Wardsboro,,,20,0,0,20
Warren,,,45,0,0,45
Washington,,,17,0,0,17
Waterbury,,,291,1,0,292
Waterford,,,8,0,0,8
Waterville,,,3,0,0,3
Weathersfield,,,77,3,0,80
Wells,,,16,0,0,16
"W. Fairlee",,,24,0,0,24
"W. Haven",,,5,0,0,5
"W. Rutland",,,66,0,0,66
"W. Windsor",,,35,1,0,36
Westfield,,,12,0,0,12
Westford,,,44,0,0,44
Westminster,-,"Windham 4",15,0,0,15
Westminster,-,"Windham 5",374,2,0,376
Westmore,,,14,0,0,14
Weston,,,29,0,0,29
Weybridge,,,30,0,0,30
Wheelock,,,16,1,0,17
Whiting,,,16,0,0,16
Whitingham,,,35,0,0,35
Williamstown,,,23,1,0,24
Williston,,,171,1,0,172
Wilmington,,,40,1,0,41
Windham,,,26,0,0,26
Windsor,,,83,0,0,83
Winhall,,,12,1,0,13
Winooski,,,101,0,0,101
Wolcott,,,48,5,0,53
Woodbury,,,46,1,0,47
Woodford,,,12,0,0,12
Woodstock,,,41,0,0,41
Worcester,,,50,0,0,50
TOTALS,,,"19,019",123,0,"19,142"
