City/Town,Ward,Pct,"Jim Douglas",Write-Ins,Blanks,"Total Votes Cast"
"Rutland City",-,"Rutland 5-4",56,3,0,59
"Rutland Town",,,622,7,0,629
Ryegate,,,34,0,0,34
Salisbury,,,9,0,0,9
Sandgate,,,15,0,0,15
Searsburg,,,8,0,0,8
Shaftsbury,,,44,6,0,50
Sharon,,,21,0,0,21
Sheffield,,,15,1,0,16
Shelburne,-,"Chittenden 5-1",102,0,0,102
Shelburne,-,"Chittenden 5-2",53,0,0,53
Sheldon,,,45,0,0,45
Shoreham,,,32,0,0,32
Shrewsbury,,,55,0,0,55
"S. Burlington",-,"Chittenden 3-10",59,0,0,59
"S. Burlington",-,"Chittenden 3-7",80,1,0,81
"S. Burlington",-,"Chittenden 3-8",72,0,0,72
"S. Burlington",-,"Chittenden 3-9",73,1,0,74
"S. Hero",,,34,0,0,34
Springfield,-,"Windsor 1-1",3,0,0,3
Springfield,-,"Windsor 1-2",191,0,0,191
"St. Albans City",,,77,2,0,79
"St. Albans Town",,,109,0,0,109
"St. George",,,13,0,0,13
"St. Johnsbury",,,291,3,0,294
Stamford,,,8,0,0,8
Stannard,,,4,0,0,4
Starksboro,,,28,2,0,30
Stockbridge,,,15,0,0,15
Stowe,,,32,0,0,32
Strafford,,,10,2,0,12
Stratton,,,6,0,0,6
Sudbury,,,13,0,0,13
Sunderland,,,15,0,0,15
Sutton,,,29,0,0,29
Swanton,,,377,3,0,380
Thetford,,,24,2,0,26
Tinmouth,,,52,0,0,52
Topsham,,,35,0,0,35
Townshend,,,19,0,0,19
Troy,,,17,0,0,17
Tunbridge,,,42,0,0,42
Underhill,,,53,0,0,53
Vergennes,,,39,0,0,39
Vernon,,,70,1,0,71
Vershire,,,14,0,0,14
Victory,,,5,0,0,5
Waitsfield,,,51,0,0,51
Walden,,,21,0,0,21
Wallingford,,,64,0,0,64
Waltham,,,4,0,0,4
Wardsboro,,,8,0,0,8
Warren,,,24,0,0,24
Washington,,,21,0,0,21
Waterbury,,,68,0,0,68
Waterford,,,42,0,0,42
Waterville,,,7,0,0,7
Weathersfield,,,29,0,0,29
Wells,,,24,0,0,24
"W. Fairlee",,,14,0,0,14
"W. Haven",,,9,0,0,9
"W. Rutland",,,53,0,0,53
"W. Windsor",,,22,1,0,23
Westfield,,,18,0,0,18
Westford,,,26,1,0,27
Westminster,-,"Windham 4",0,0,0,0
Westminster,-,"Windham 5",56,1,0,57
Westmore,,,4,0,0,4
Weston,,,16,0,0,16
Weybridge,,,13,0,0,13
Wheelock,,,20,1,0,21
Whiting,,,9,0,0,9
Whitingham,,,10,1,0,11
Williamstown,,,39,0,0,39
Williston,,,64,0,0,64
Wilmington,,,35,1,0,36
Windham,,,5,0,0,5
Windsor,,,43,0,0,43
Winhall,,,19,0,0,19
Winooski,,,34,1,0,35
Wolcott,,,17,1,0,18
Woodbury,,,45,0,0,45
Woodford,,,10,0,0,10
Woodstock,,,54,0,0,54
Worcester,,,21,1,0,22
TOTALS,,,"11,605",193,0,"11,798"
