City/Town,Ward,Pct,"Brian E. Dubie",Write-Ins,Blanks,"Total Votes Cast"
"Rutland City",-,"Rutland 5-4",56,1,0,57
"Rutland Town",,,610,5,0,615
Ryegate,,,34,0,0,34
Salisbury,,,9,0,0,9
Sandgate,,,13,1,0,14
Searsburg,,,8,0,0,8
Shaftsbury,,,45,5,0,50
Sharon,,,20,0,0,20
Sheffield,,,15,0,0,15
Shelburne,-,"Chittenden 5-1",94,1,0,95
Shelburne,-,"Chittenden 5-2",52,1,0,53
Sheldon,,,46,0,0,46
Shoreham,,,32,0,0,32
Shrewsbury,,,61,0,0,61
"S. Burlington",-,"Chittenden 3-10",58,0,0,58
"S. Burlington",-,"Chittenden 3-7",80,0,0,80
"S. Burlington",-,"Chittenden 3-8",69,0,0,69
"S. Burlington",-,"Chittenden 3-9",70,1,0,71
"S. Hero",,,35,0,0,35
Springfield,-,"Windsor 1-1",3,0,0,3
Springfield,-,"Windsor 1-2",185,0,0,185
"St. Albans City",,,76,1,0,77
"St. Albans Town",,,107,0,0,107
"St. George",,,13,0,0,13
"St. Johnsbury",,,293,0,0,293
Stamford,,,8,0,0,8
Stannard,,,4,0,0,4
Starksboro,,,26,0,0,26
Stockbridge,,,16,0,0,16
Stowe,,,32,0,0,32
Strafford,,,11,1,0,12
Stratton,,,6,0,0,6
Sudbury,,,13,0,0,13
Sunderland,,,14,0,0,14
Sutton,,,28,0,0,28
Swanton,,,374,3,0,377
Thetford,,,24,0,0,24
Tinmouth,,,53,0,0,53
Topsham,,,34,0,0,34
Townshend,,,17,1,0,18
Troy,,,18,0,0,18
Tunbridge,,,42,2,0,44
Underhill,,,53,0,0,53
Vergennes,,,37,0,0,37
Vernon,,,66,1,0,67
Vershire,,,15,0,0,15
Victory,,,4,0,0,4
Waitsfield,,,49,0,0,49
Walden,,,20,0,0,20
Wallingford,,,64,0,0,64
Waltham,,,4,0,0,4
Wardsboro,,,6,0,0,6
Warren,,,23,0,0,23
Washington,,,20,0,0,20
Waterbury,,,66,0,0,66
Waterford,,,43,0,0,43
Waterville,,,7,0,0,7
Weathersfield,,,27,0,0,27
Wells,,,23,0,0,23
"W. Fairlee",,,11,0,0,11
"W. Haven",,,9,0,0,9
"W. Rutland",,,53,0,0,53
"W. Windsor",,,22,1,0,23
Westfield,,,18,0,0,18
Westford,,,27,1,0,28
Westminster,-,"Windham 4",0,0,0,0
Westminster,-,"Windham 5",55,1,0,56
Westmore,,,5,0,0,5
Weston,,,17,0,0,17
Weybridge,,,13,0,0,13
Wheelock,,,20,0,0,20
Whiting,,,9,0,0,9
Whitingham,,,10,0,0,10
Williamstown,,,36,0,0,36
Williston,,,64,0,0,64
Wilmington,,,35,0,0,35
Windham,,,5,0,0,5
Windsor,,,41,0,0,41
Winhall,,,18,0,0,18
Winooski,,,35,0,0,35
Wolcott,,,17,1,0,18
Woodbury,,,43,1,0,44
Woodford,,,9,0,0,9
Woodstock,,,53,0,0,53
Worcester,,,21,0,0,21
TOTALS,,,"11,436",85,0,"11,521"
