City/Town,Ward,Pct,"Eugene J. Bifano",Write-Ins,Blanks,"Total Votes Cast"
Chittenden,,,16,0,0,16
Clarendon,,,44,1,0,45
Colchester,-,"Chittenden 7-1",15,0,0,15
Colchester,-,"Chittenden 7-2",36,2,0,38
Concord,,,70,2,0,72
Corinth,,,21,5,0,26
Cornwall,,,13,0,0,13
Coventry,,,34,5,0,39
Craftsbury,,,13,8,0,21
Danby,,,62,5,0,67
Danville,,,69,2,0,71
Derby,,,45,19,0,64
Dorset,,,52,0,0,52
Dover,,,19,2,0,21
Dummerston,,,24,3,0,27
Duxbury,,,15,1,0,16
"E. Haven",,,13,0,0,13
"E. Montpelier",,,39,2,0,41
Eden,,,3,2,0,5
Elmore,,,8,2,0,10
Enosburgh,,,71,22,0,93
Essex,-,"Chittenden 6-1",35,2,0,37
Essex,-,"Chittenden 6-2",56,0,0,56
Essex,-,"Chittenden 6-3",10,0,0,10
"Fair Haven",,,28,2,0,30
Fairfax,,,43,3,0,46
Fairfield,,,8,7,0,15
Fairlee,,,26,3,0,29
Fayston,,,9,0,0,9
Ferrisburgh,,,22,0,0,22
Fletcher,,,2,0,0,2
Franklin,,,23,2,0,25
Georgia,,,54,2,0,56
Glover,,,25,12,0,37
Goshen,,,3,0,0,3
Grafton,,,11,1,0,12
Granby,,,10,1,0,11
"Grand Isle",,,33,3,0,36
Granville,,,4,0,0,4
Greensboro,,,9,0,0,9
Groton,,,35,1,0,36
Guildhall,,,25,2,0,27
Guilford,,,7,2,0,9
Halifax,,,9,1,0,10
Hancock,,,3,0,0,3
Hardwick,,,18,1,0,19
Hartford,-,"Windsor 6-1",14,1,0,15
Hartford,-,"Windsor 6-2",46,3,0,49
Hartland,,,39,2,0,41
Highgate,,,44,4,0,48
Hinesburg,-,"Chittenden 1-1",27,1,0,28
Hinesburg,-,"Chittenden 1-2",1,0,0,1
Holland,,,13,1,0,14
Hubbardton,,,7,3,0,10
Huntington,,,23,0,0,23
"Hyde Park",,,17,3,0,20
Ira,-,"Rutland Rutland 1-1",0,0,0,0
Ira,-,"Rutland Rutland 1-2",7,0,0,7
Irasburg,,,23,6,0,29
"Isle La Motte",,,5,0,0,5
Jamaica,,,14,2,0,16
Jay,,,4,2,0,6
Jericho,,,51,2,0,53
Johnson,,,7,2,0,9
Killington,,,13,0,0,13
Kirby,,,17,2,0,19
Leicester,,,32,21,0,53
Lemington,,,3,0,0,3
Lincoln,,,27,3,0,30
Londonderry,,,14,4,0,18
Lowell,,,14,4,0,18
Ludlow,,,27,3,0,30
Lunenburg,,,68,13,0,81
Lyndon,,,74,6,0,80
Maidstone,,,9,10,0,19
Manchester,,,66,0,0,66
Marlboro,,,9,2,0,11
Marshfield,,,15,2,0,17
Mendon,,,133,2,0,135
Middlebury,,,25,1,0,26
Middlesex,,,15,0,0,15
"Middletown Springs",,,11,0,0,11
Milton,-,"Chittenden 9",126,4,0,130
Milton,-,"Grand Isle-Chittenden 1-1",21,0,0,21
Monkton,,,16,1,0,17
Montgomery,,,4,0,0,4
Montpelier,,,70,5,0,75
Moretown,,,26,3,0,29
Morgan,,,8,4,0,12
Morristown,,,36,7,0,43
"Mount Holly",,,25,0,0,25
"Mount Tabor",,,1,0,0,1
"New Haven",,,16,0,0,16
Newark,,,19,0,0,19
Newbury,-,"Center Town House",36,0,0,36
Newbury,-,"Town Office",17,1,0,18
Newbury,-,"West River Village",12,0,0,12
Newfane,,,11,0,0,11
"Newport City",,,103,11,0,114
"Newport Town",,,20,10,0,30
"N. Hero",,,13,0,0,13
