City/Town,Ward,Pct,"Karen Kerin",Write-Ins,Blanks,"Total Votes Cast"
Jericho,,,48,2,0,50
Johnson,,,5,4,0,9
Killington,,,9,0,0,9
Kirby,,,15,1,0,16
Leicester,,,27,2,0,29
Lemington,,,2,0,0,2
Lincoln,,,24,3,0,27
Londonderry,,,17,3,0,20
Lowell,,,20,2,0,22
Ludlow,,,28,1,0,29
Lunenburg,,,72,8,0,80
Lyndon,,,67,5,0,72
Maidstone,,,14,2,0,16
Manchester,,,58,1,0,59
Marlboro,,,10,0,0,10
Marshfield,,,14,2,0,16
Mendon,,,125,4,0,129
Middlebury,,,24,1,0,25
Middlesex,,,14,0,0,14
"Middletown Springs",,,10,0,0,10
Milton,-,"Chittenden 9",109,7,0,116
Milton,-,"Grand Isle-Chittenden 1-1",19,0,0,19
Monkton,,,16,0,0,16
Montgomery,,,4,0,0,4
Montpelier,,,55,5,0,60
Moretown,,,22,1,0,23
Morgan,,,11,4,0,15
Morristown,,,30,6,0,36
"Mount Holly",,,26,1,0,27
"Mount Tabor",,,2,0,0,2
"New Haven",,,12,2,0,14
Newark,,,16,0,0,16
Newbury,-,"Center Town House",38,1,0,39
Newbury,-,"Town Office",16,0,0,16
Newbury,-,"West River Village",12,1,0,13
Newfane,,,12,0,0,12
"Newport City",,,101,13,0,114
"Newport Town",,,21,9,0,30
"N. Hero",,,11,0,0,11
Northfield,,,52,3,0,55
Norton,,,10,3,0,13
Norwich,,,29,0,0,29
Orange,,,9,8,0,17
Orwell,,,20,5,0,25
Panton,,,7,0,0,7
Pawlet,,,19,2,0,21
Peacham,,,17,0,0,17
Peru,,,8,0,0,8
Pittsfield,,,14,6,0,20
Pittsford,,,22,3,0,25
Plainfield,,,6,1,0,7
Plymouth,,,7,1,0,8
Pomfret,,,9,2,0,11
Poultney,,,36,1,0,37
Pownal,,,22,1,0,23
Proctor,,,9,2,0,11
Putney,,,18,1,0,19
Randolph,,,110,12,0,122
Reading,,,12,0,0,12
Readsboro,,,14,1,0,15
Richford,,,20,2,0,22
Richmond,,,70,3,0,73
Ripton,,,3,0,0,3
Rochester,,,15,5,0,20
Rockingham,,,29,4,0,33
Roxbury,,,5,0,0,5
Royalton,,,24,2,0,26
Rupert,,,12,0,0,12
"Rutland City",-,"Rutland 5-1",39,3,0,42
"Rutland City",-,"Rutland 5-2",53,3,0,56
"Rutland City",-,"Rutland 5-3",22,1,0,23
"Rutland City",-,"Rutland 5-4",41,2,0,43
"Rutland Town",,,406,11,0,417
Ryegate,,,24,2,0,26
Salisbury,,,6,0,0,6
Sandgate,,,9,0,0,9
Searsburg,,,3,2,0,5
Shaftsbury,,,37,4,0,41
Sharon,,,10,4,0,14
Sheffield,,,5,1,0,6
Shelburne,-,"Chittenden 5-1",63,4,0,67
Shelburne,-,"Chittenden 5-2",32,3,0,35
Sheldon,,,22,12,0,34
Shoreham,,,22,0,0,22
Shrewsbury,,,41,1,0,42
"S. Burlington",-,"Chittenden 3-10",32,0,0,32
"S. Burlington",-,"Chittenden 3-7",45,6,0,51
"S. Burlington",-,"Chittenden 3-8",44,6,0,50
"S. Burlington",-,"Chittenden 3-9",40,9,0,49
"S. Hero",,,14,4,0,18
Springfield,-,"Windsor 1-1",3,0,0,3
Springfield,-,"Windsor 1-2",145,6,0,151
"St. Albans City",,,41,11,0,52
"St. Albans Town",,,65,8,0,73
"St. George",,,7,0,0,7
"St. Johnsbury",,,184,13,0,197
Stamford,,,5,0,0,5
Stannard,,,3,0,0,3
Starksboro,,,15,0,0,15
Stockbridge,,,7,0,0,7
Stowe,,,17,1,0,18
Strafford,,,5,1,0,6
Stratton,,,5,0,0,5
Sudbury,,,10,1,0,11
Sunderland,,,8,0,0,8
Sutton,,,15,7,0,22
Swanton,,,233,26,0,259
Thetford,,,21,1,0,22
Tinmouth,,,39,0,0,39
Topsham,,,27,1,0,28
Townshend,,,10,1,0,11
Troy,,,14,0,0,14
Tunbridge,,,17,8,0,25
Underhill,,,30,1,0,31
Vergennes,,,21,1,0,22
Vernon,,,52,5,0,57
Vershire,,,10,0,0,10
Victory,,,2,0,0,2
Waitsfield,,,37,2,0,39
Walden,,,10,0,0,10
Wallingford,,,43,3,0,46
Waltham,,,3,0,0,3
Wardsboro,,,4,0,0,4
Warren,,,16,3,0,19
Washington,,,16,0,0,16
Waterbury,,,38,5,0,43
Waterford,,,28,2,0,30
Waterville,,,4,0,0,4
Weathersfield,,,22,0,0,22
Wells,,,18,0,0,18
"W. Fairlee",,,8,0,0,8
"W. Haven",,,8,0,0,8
"W. Rutland",,,39,0,0,39
"W. Windsor",,,12,3,0,15
Westfield,,,12,3,0,15
Westford,,,17,0,0,17
Westminster,-,"Windham 4",0,0,0,0
Westminster,-,"Windham 5",43,1,0,44
Westmore,,,1,2,0,3
Weston,,,15,0,0,15
Weybridge,,,9,1,0,10
Wheelock,,,12,1,0,13
Whiting,,,6,0,0,6
Whitingham,,,8,0,0,8
Williamstown,,,20,3,0,23
Williston,,,45,1,0,46
Wilmington,,,27,1,0,28
Windham,,,2,0,0,2
Windsor,,,32,1,0,33
Winhall,,,16,1,0,17
Winooski,,,15,0,0,15
Wolcott,,,10,4,0,14
Woodbury,,,25,6,0,31
Woodford,,,7,0,0,7
Woodstock,,,33,2,0,35
Worcester,,,11,2,0,13
TOTALS,,,"7,260",680,0,"7,940"
