City/Town,Ward,Pct,"Patrick Leahy","Scott Milne","Cris Ericson","Jerry Trudell","Pete Diamondstone",Write-Ins,Blanks,"Total Votes Cast"
Burlington,-,"Chittenden 6-1","3,219",988,107,56,27,7,91,"4,501"
Burlington,-,"Chittenden 6-2","1,740",344,94,41,28,3,66,"2,316"
Burlington,-,"Chittenden 6-3","2,836",287,221,79,77,10,149,"3,662"
Burlington,-,"Chittenden 6-4","1,934",192,128,36,27,4,107,"2,431"
Burlington,-,"Chittenden 6-5","3,952",600,135,66,71,13,132,"4,970"
Burlington,-,"Chittenden 6-6",867,116,61,21,11,2,47,"1,125"
Burlington,-,"Chittenden 6-7",96,13,5,2,3,1,5,125
Cabot,,,454,285,25,13,8,1,13,799
Calais,,,716,247,23,15,16,0,16,"1,033"
Cambridge,,,"1,205",580,94,34,13,1,26,"1,953"
Canaan,,,213,172,15,15,6,0,14,436
Castleton,,,893,759,56,31,15,1,41,"1,801"
Cavendish,,,345,271,44,12,8,0,23,703
Charleston,,,219,199,8,23,8,0,12,471
Charlotte,,,"1,826",679,48,23,11,2,34,"2,623"
Chelsea,,,295,336,18,10,7,0,5,672
Chester,,,878,542,72,37,13,1,21,"1,565"
Chittenden,,,380,334,17,10,6,0,20,767
Clarendon,,,558,633,27,19,8,0,15,"1,262"
Colchester,-,"Chittenden 9-1","2,134","1,027",77,50,23,6,71,"3,389"
Colchester,-,"Chittenden 9-2","2,803","1,529",90,63,27,1,76,"4,591"
Concord,,,221,298,23,13,8,0,13,577
Corinth,,,356,282,24,9,8,1,8,688
Cornwall,,,537,187,14,2,4,0,4,748
Coventry,,,255,215,11,21,1,1,13,517
Craftsbury,,,440,189,17,14,15,0,20,698
Danby,,,295,299,28,15,7,0,14,658
Danville,,,713,575,19,13,5,0,23,"1,348"
Derby,,,"1,073",980,28,82,15,2,5,"2,226"
Dorset,,,715,409,31,22,6,2,24,"1,209"
Dover,,,431,276,36,14,21,0,16,794
Dummerston,,,822,232,27,14,46,0,22,"1,164"
Duxbury,,,455,280,20,13,10,0,21,799
"E. Haven",,,75,60,7,0,2,0,0,149
"E. Montpelier",,,"1,097",429,26,30,19,1,29,"1,631"
Eden,,,272,247,22,10,2,0,14,568
Elmore,,,358,168,9,9,2,0,6,552
Enosburgh,,,715,401,37,30,14,1,22,"1,221"
Essex,-,"Chittenden 8-1","3,098","1,490",76,45,28,3,66,"4,807"
Essex,-,"Chittenden 8-2","3,294","1,572",94,52,25,5,81,"5,123"
Essex,-,"Chittenden 8-3",890,466,24,16,8,1,22,"1,427"
"Fair Haven",,,574,506,34,19,10,0,25,"1,168"
Fairfax,,,"1,286","1,023",46,37,15,0,23,"2,431"
Fairfield,,,585,320,13,15,7,0,21,961
Fairlee,,,346,185,21,5,3,1,12,573
Fayston,,,584,201,22,14,5,1,3,831
Ferrisburgh,,,973,594,30,7,10,2,19,"1,635"
Fletcher,,,414,248,19,12,4,1,10,709
Franklin,,,305,304,7,6,7,0,6,637
Georgia,,,"1,224","1,086",48,40,14,0,0,"2,449"
Glover,,,317,232,15,15,6,0,12,600
Goshen,,,75,41,3,4,2,0,0,125
Grafton,,,212,137,22,4,12,0,12,399
Granby,,,27,13,0,0,1,0,2,43
"Grand Isle",,,676,457,16,22,7,1,22,"1,201"
Granville,,,98,36,9,3,1,0,2,149
Greensboro,,,291,117,8,5,2,0,7,430
Groton,,,199,257,12,12,3,0,15,498
Guildhall,,,64,72,5,3,0,0,4,148
Guilford,,,773,254,40,31,38,1,40,"1,177"
Halifax,,,210,162,22,11,14,1,17,437
Hancock,,,84,64,4,4,0,1,4,162
Hardwick,,,784,514,35,31,16,1,28,"1,410"
Hartford,-,"Windsor 4-1",727,461,28,14,10,2,12,"1,254"
Hartford,-,"Windsor 4-2","2,493","1,150",129,68,31,8,76,"3,955"
Hartland,,,"1,189",616,69,30,15,1,30,"1,951"
Highgate,,,666,651,37,16,9,1,21,"1,402"
Hinesburg,-,"Chittenden 4-1",14,4,0,0,0,0,1,19
Hinesburg,-,"Chittenden 4-2","1,809",732,54,30,19,3,40,"2,687"
Holland,,,103,166,9,17,4,0,4,303
Hubbardton,,,192,168,13,10,3,0,3,389
Huntington,,,898,271,35,25,5,1,15,"1,252"
"Hyde Park",,,910,555,30,30,9,1,25,"1,562"
Ira,,,111,123,5,0,3,0,2,245
Irasburg,,,245,292,4,15,3,1,8,568
"Isle La Motte",,,148,133,11,4,2,0,10,310
Jamaica,,,309,141,28,16,10,0,12,516
Jay,,,134,72,23,9,0,0,8,246
Jericho,,,"2,115","1,062",66,32,17,2,47,"3,343"
Johnson,,,774,420,73,29,7,2,30,"1,335"
Killington,,,357,254,33,7,2,2,14,670
Kirby,,,142,106,5,5,1,1,6,266
Landgrove,,,62,39,1,1,1,0,1,105
Leicester,,,258,211,10,7,6,0,10,502
Lemington,,,24,26,3,4,0,0,0,57
Lincoln,,,531,210,22,20,6,1,13,803
Londonderry,,,529,318,56,13,12,0,24,953
Lowell,,,183,215,12,12,2,0,14,440
Ludlow,,,577,408,71,16,14,4,19,"1,109"
Lunenburg,,,232,277,14,20,4,0,15,562
Lyndon,,,986,927,68,48,17,0,35,"2,085"
Maidstone,,,56,52,2,2,0,0,6,118
Manchester,,,"1,404",827,86,36,19,3,68,"2,446"
Marlboro,,,436,89,14,7,20,1,13,581
Marshfield,,,482,317,27,15,14,1,22,879
Mendon,,,322,301,9,7,5,1,9,654
Middlebury,,,"2,663",800,83,44,38,1,89,"3,723"
Middlesex,,,780,283,19,20,11,2,17,"1,134"
"Middletown Springs",,,267,195,8,11,2,0,9,492
Milton,-,"Chittenden 10","2,319","1,822",116,0,25,4,143,"4,434"
Milton,-,"Grand Isle-Chittenden",343,349,13,13,4,1,12,736
Monkton,,,753,405,21,9,11,1,28,"1,228"
Montgomery,,,385,210,31,21,6,0,12,671
Montpelier,,,"3,767",728,130,73,52,3,80,"4,834"
Moretown,,,696,279,23,16,11,1,23,"1,049"
Morgan,,,125,197,5,3,5,0,5,342
Morristown,,,"1,702",870,81,43,21,0,48,"2,767"
"Mount Holly",,,384,316,35,13,9,1,18,777
"Mount Tabor",,,52,41,0,1,1,0,0,95
"New Haven",,,619,410,16,15,11,0,27,"1,099"
Newark,,,142,125,14,15,4,0,6,307
Newbury,,,595,406,24,23,18,0,22,"1,091"
Newfane,,,684,218,30,25,34,0,24,"1,016"
"Newport City",,,797,634,43,44,13,2,33,"1,566"
"Newport Town",,,312,341,19,22,3,0,12,711
"N. Hero",,,338,256,9,17,2,2,10,634
Northfield,,,"1,235",837,57,50,20,1,49,"2,250"
Norton,,,35,42,2,3,1,0,3,86
Norwich,,,"1,928",297,36,25,11,2,33,"2,333"
Orange,,,211,298,16,10,0,0,12,549
Orwell,,,307,318,14,7,3,0,15,664
Panton,,,178,150,5,6,3,0,5,348
Pawlet,,,413,282,27,13,7,0,22,765
Peacham,,,291,168,8,9,4,1,1,482
Peru,,,145,69,8,5,2,0,5,239
Pittsfield,,,153,117,12,6,0,2,5,295
Pittsford,,,746,720,31,19,8,3,43,"1,570"
Plainfield,,,444,180,21,14,13,1,12,685
Plymouth,,,175,147,13,6,3,0,10,354
Pomfret,,,351,219,13,8,4,0,3,598
Poultney,,,765,565,50,28,20,0,31,"1,460"
Pownal,,,915,510,109,41,24,0,50,"1,653"
Proctor,,,476,339,21,13,1,1,10,861
Putney,,,989,196,43,19,48,1,30,"1,329"
Randolph,,,"1,272",857,60,43,23,3,34,"2,297"
Reading,,,222,132,5,4,3,0,11,382
Readsboro,,,191,127,31,11,12,15,0,387
Richford,,,467,322,17,20,6,1,13,846
Richmond,,,"1,763",660,55,30,16,3,37,"2,564"
Ripton,,,251,62,6,3,4,1,9,337
Rochester,,,411,186,29,13,7,0,7,655
Rockingham,,,"1,401",504,125,56,39,2,52,"2,180"
Roxbury,,,208,139,14,5,7,0,11,385
Royalton,,,706,525,52,23,13,3,26,"1,348"
Rupert,,,240,130,17,5,0,0,6,398
"Rutland City",-,"Rutland 5-1","1,247",883,59,18,10,0,60,"2,279"
"Rutland City",-,"Rutland 5-2","1,011",714,64,22,15,1,34,"1,861"
"Rutland City",-,"Rutland 5-3",714,500,61,27,24,4,27,"1,357"
"Rutland City",-,"Rutland 5-4",936,601,69,24,14,2,37,"1,684"
"Rutland Town",,,"1,179","1,024",40,28,12,1,35,"2,320"
Ryegate,,,275,242,17,23,0,0,14,571
Salisbury,,,321,206,13,9,7,0,5,563
Sandgate,,,108,85,15,6,3,0,2,219
Searsburg,,,20,29,3,0,3,0,4,59
Shaftsbury,,,"1,026",642,81,41,18,2,39,"1,853"
Sharon,,,443,279,14,9,9,0,12,766
Sheffield,,,144,125,14,13,5,0,6,308
Shelburne,-,"Chittenden 5-1","1,972",589,32,30,10,2,47,"2,682"
Shelburne,-,"Chittenden 5-2","1,487",625,25,13,20,2,35,"2,207"
Sheldon,,,422,359,11,10,5,0,19,826
Shoreham,,,390,236,10,10,3,0,9,659
Shrewsbury,,,357,276,15,6,6,1,7,672
"S. Burlington",-,"Chittenden 7-1","1,938",560,41,19,17,2,28,"2,632"
"S. Burlington",-,"Chittenden 7-2","2,091",806,36,23,15,3,59,"3,037"
"S. Burlington",-,"Chittenden 7-3","1,827",527,73,38,18,2,62,"2,550"
"S. Burlington",-,"Chittenden 7-4","1,504",659,58,31,51,4,32,"2,363"
"S. Hero",,,716,357,24,19,9,0,23,"1,148"
Springfield,-,"Windsor 3-1",67,75,6,4,2,0,0,154
Springfield,-,"Windsor 3-2","2,000","1,380",229,86,46,4,87,"3,844"
"St. Albans City",,,"1,584",773,82,44,18,3,37,"2,541"
"St. Albans Town",-,"Franklin 3-1",595,409,10,10,5,0,15,"1,044"
"St. Albans Town",-,"Franklin 3-2","1,182",820,48,35,11,5,28,"2,129"
"St. George",,,219,113,8,5,3,0,15,363
"St. Johnsbury",,,"1,623","1,174",96,64,24,4,56,"3,052"
Stamford,,,227,182,26,14,6,0,25,481
Stannard,,,68,25,0,3,1,0,5,103
Starksboro,,,552,310,33,15,11,1,19,943
Stockbridge,,,231,156,19,11,2,0,12,431
Stowe,,,"1,950",791,60,33,14,3,42,"2,893"
Strafford,,,492,158,20,14,8,2,11,705
Stratton,,,60,56,7,2,3,0,1,129
Sudbury,,,174,132,8,4,2,0,6,326
Sunderland,-,"Bennington 3",71,37,3,2,2,0,4,119
Sunderland,-,"Bennington 4",225,139,16,9,8,0,10,408
Sutton,,,210,212,9,17,2,0,0,465
Swanton,,,"1,436","1,126",59,38,14,4,32,"2,712"
Thetford,,,"1,177",387,25,22,14,1,27,"1,653"
Tinmouth,-,"Rutland 2",47,27,1,2,0,0,1,78
Tinmouth,-,Rutland-Bennington,113,91,7,6,3,1,1,222
Topsham,,,244,307,6,9,4,0,13,583
Townshend,,,408,180,36,10,31,0,28,694
Troy,-,"Orleans 2",81,84,5,2,1,0,0,173
Troy,-,Orleans-Lamoille,226,219,18,5,2,0,10,480
Tunbridge,,,372,298,17,11,9,1,9,718
Underhill,,,"1,308",573,36,20,14,3,35,"1,992"
Vergennes,,,786,391,32,11,9,1,20,"1,250"
Vernon,,,504,501,39,26,38,1,32,"1,141"
Vershire,,,216,118,15,4,3,1,8,367
Victory,,,21,36,1,0,2,0,8,68
Waitsfield,,,784,275,25,20,10,0,18,"1,134"
Walden,,,302,186,6,4,13,1,15,527
Wallingford,,,567,491,31,10,8,0,24,"1,131"
Waltham,,,170,98,4,3,4,0,3,284
Wardsboro,,,223,127,27,5,6,0,14,403
Warren,,,743,249,34,27,9,0,27,"1,089"
Washington,,,209,327,6,6,2,0,7,557
Waterbury,,,"2,120",780,71,37,17,1,58,"3,088"
Waterford,,,310,392,14,14,5,0,7,743
Waterville,,,185,168,11,3,5,0,8,381
Weathersfield,,,804,638,69,35,18,1,34,"1,599"
Wells,,,260,286,14,12,4,0,5,581
"W. Fairlee",,,166,100,13,6,6,1,7,305
"W. Haven",,,68,64,3,3,0,0,4,142
"W. Rutland",,,489,487,33,17,8,1,9,"1,051"
"W. Windsor",,,448,225,22,7,6,1,12,722
Westfield,,,148,130,7,8,4,1,8,306
Westford,,,782,420,25,14,14,0,26,"1,281"
Westminster,-,"Windham 3",48,23,2,2,2,0,0,77
Westminster,-,"Windham 4","1,000",320,66,30,40,0,31,"1,489"
Westmore,,,95,105,3,7,4,1,6,221
Weston,,,276,118,8,3,3,0,8,417
Weybridge,,,419,120,5,7,5,1,10,567
Wheelock,,,201,160,16,12,3,1,8,404
Whiting,,,114,67,3,4,4,0,7,199
Whitingham,-,"Windham 6",292,250,19,20,13,0,28,622
Whitingham,-,Windham-Bennington,19,11,1,0,0,0,0,31
Williamstown,,,713,766,26,24,17,2,24,"1,573"
Williston,,,"3,669","1,754",75,71,25,9,103,"5,709"
Wilmington,,,606,326,63,25,17,0,24,"1,063"
Windham,,,149,90,24,4,11,0,9,287
Windsor,,,"1,062",485,89,40,13,3,24,"1,719"
Winhall,,,300,167,29,10,6,1,16,531
Winooski,,,"2,180",606,115,60,37,8,96,"3,113"
Wolcott,,,473,284,22,18,5,0,7,810
Woodbury,,,276,175,23,14,44,0,5,537
Woodford,,,114,49,9,4,2,0,4,183
Woodstock,,,"1,261",564,29,24,14,1,19,"1,912"
Worcester,,,408,145,11,15,12,2,7,600
TOTALS,,,"192,243","103,637","9,156","5,223","3,241",309,"6,192","320,467"
