City/Town,Ward,Pct,"Hillary Clinton/ Tim Kaine","Donald Trump/ Michael R.","Bernie Sanders","Gary Johnson/ William","Jill Stein/ Ajuma Baraka","Rocky De La Fuente/ Michael","Gloria Lariva/ Eugene Puryear",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Franklin,,,229,296,51,33,4,4,0,11,6,3,637
Georgia,,,"1,019","1,023",173,90,38,8,3,43,42,10,"2,449"
Glover,,,290,193,43,31,15,2,0,11,12,3,600
Goshen,,,78,31,5,6,3,0,0,0,2,0,125
Grafton,,,210,131,24,14,6,1,0,4,8,1,399
Granby,,,12,22,3,1,3,0,0,0,2,0,43
"Grand Isle",,,594,431,79,39,13,6,2,10,22,5,"1,201"
Granville,,,82,29,0,3,6,1,0,27,1,0,149
Greensboro,,,271,96,31,12,11,1,0,4,3,1,430
Groton,,,159,234,44,18,16,4,1,7,12,3,498
Guildhall,,,40,76,15,10,3,0,0,0,2,2,148
Guilford,,,719,274,72,29,44,1,2,24,12,0,"1,177"
Halifax,,,202,183,23,10,12,1,0,2,3,1,437
Hancock,,,75,54,18,6,4,1,0,1,1,2,162
Hardwick,,,651,501,102,42,49,5,6,20,33,1,"1,410"
Hartford,-,"Windsor 4-1",738,356,43,51,20,2,0,28,15,1,"1,254"
Hartford,-,"Windsor 4-2","2,452",947,237,123,73,20,6,41,56,0,"3,955"
Hartland,,,"1,158",558,92,52,38,3,1,22,26,1,"1,951"
Highgate,,,474,699,132,42,11,7,3,18,14,2,"1,402"
Hinesburg,-,"Chittenden 4-1",15,4,0,0,0,0,0,0,0,0,19
Hinesburg,-,"Chittenden 4-2","1,711",619,0,81,57,1,2,26,36,6,"2,687"
Holland,,,81,175,31,10,2,1,0,2,0,1,303
Hubbardton,,,188,163,12,12,6,3,2,3,0,0,389
Huntington,,,796,232,101,44,35,10,0,21,12,1,"1,252"
"Hyde Park",,,788,475,156,48,37,5,2,20,28,3,"1,562"
Ira,,,102,103,8,8,19,1,0,3,0,1,245
Irasburg,,,194,284,39,27,2,0,0,8,10,4,568
"Isle La Motte",,,136,140,11,12,5,0,0,2,1,3,310
Jamaica,,,311,132,23,24,11,2,3,7,2,1,516
Jay,,,113,101,17,6,3,1,0,4,1,0,246
Jericho,,,"2,017",890,168,101,54,9,3,83,11,7,"3,343"
Johnson,,,691,395,124,45,48,2,1,16,13,0,"1,335"
Killington,,,357,232,28,29,10,2,0,3,9,0,670
Kirby,,,125,96,22,6,8,0,0,6,3,0,266
Landgrove,,,71,18,5,5,1,0,0,3,2,0,105
Leicester,,,217,207,37,15,5,3,0,8,10,0,502
Lemington,,,18,28,2,6,1,0,0,0,1,1,57
Lincoln,,,494,188,46,22,27,3,0,11,11,1,803
Londonderry,,,517,303,48,30,27,3,2,12,9,2,953
Lowell,,,123,250,34,11,4,3,2,6,3,4,440
Ludlow,,,538,403,74,28,23,7,2,15,19,0,"1,109"
Lunenburg,,,171,311,30,20,9,1,2,9,9,0,562
Lyndon,,,827,883,162,86,43,8,3,50,21,2,"2,085"
Maidstone,,,39,60,5,6,1,1,0,5,1,0,118
Manchester,,,"1,452",706,90,74,33,10,4,24,52,1,"2,446"
Marlboro,,,432,90,19,5,21,1,1,6,5,1,581
Marshfield,,,417,284,71,27,51,4,0,10,11,4,879
Mendon,,,302,268,20,26,10,3,0,9,16,0,654
Middlebury,,,"2,682",595,158,77,71,11,2,71,36,20,"3,723"
Middlesex,,,719,228,67,31,47,5,1,13,23,0,"1,134"
"Middletown Springs",,,233,179,0,8,18,7,1,38,0,8,492
Milton,-,"Chittenden 10","1,950","1,783",315,123,63,17,4,92,84,3,"4,434"
Milton,-,"Grand Isle-Chittenden",310,302,44,26,7,2,0,32,13,0,736
Monkton,,,671,360,0,57,16,2,0,96,26,0,"1,228"
Montgomery,,,302,231,0,21,19,3,1,81,9,4,671
Montpelier,,,"3,698",492,228,98,208,7,4,36,61,2,"4,834"
Moretown,,,649,216,76,42,22,3,0,12,26,3,"1,049"
Morgan,,,101,197,19,10,2,1,0,7,4,1,342
Morristown,,,"1,550",741,191,81,89,9,7,39,56,4,"2,767"
"Mount Holly",,,337,325,55,25,15,4,0,3,11,2,777
"Mount Tabor",,,45,42,2,5,0,0,0,1,0,0,95
"New Haven",,,594,337,59,45,21,5,2,15,21,0,"1,099"
Newark,,,130,116,24,16,13,0,0,2,4,2,307
Newbury,,,528,403,67,28,21,4,2,11,25,2,"1,091"
Newfane,,,652,209,68,14,42,1,0,6,16,8,"1,016"
"Newport City",,,721,614,0,34,19,4,1,150,17,6,"1,566"
"Newport Town",,,256,338,54,31,16,3,3,2,4,4,711
"N. Hero",,,320,216,53,15,6,0,1,10,13,0,634
Northfield,,,"1,113",708,130,105,49,10,2,30,101,2,"2,250"
Norton,,,30,46,4,4,0,0,0,0,0,2,86
Norwich,,,"1,982",191,48,36,33,1,1,29,9,3,"2,333"
Orange,,,186,265,38,22,17,3,1,6,6,5,549
Orwell,,,270,284,31,29,16,5,0,13,11,5,664
Panton,,,171,126,24,6,6,0,0,5,9,1,348
Pawlet,,,368,311,36,23,9,3,1,3,10,1,765
Peacham,,,291,113,18,25,11,3,1,10,10,0,482
Peru,,,166,54,3,4,2,0,0,2,5,3,239
Pittsfield,,,147,114,17,8,5,0,0,3,1,0,295
Pittsford,,,668,669,72,65,19,2,3,29,38,5,"1,570"
Plainfield,,,424,129,53,16,42,3,2,7,6,3,685
Plymouth,,,173,125,16,13,9,1,0,11,6,0,354
Pomfret,,,395,130,29,21,7,0,1,9,6,0,598
Poultney,,,652,599,83,49,37,6,4,10,17,3,"1,460"
Pownal,,,761,681,87,47,29,8,1,14,25,0,"1,653"
Proctor,,,385,339,55,34,12,8,1,10,17,0,861
Putney,,,992,175,63,32,40,0,1,8,17,1,"1,329"
Randolph,,,"1,160",737,170,78,67,11,2,29,34,9,"2,297"
Reading,,,231,108,15,11,7,0,0,1,3,6,382
Readsboro,,,166,173,22,7,7,1,1,2,7,1,387
Richford,,,324,388,71,21,15,3,0,5,16,3,846
Richmond,,,"1,694",515,113,100,49,9,5,39,39,1,"2,564"
Ripton,,,228,58,29,5,13,1,0,1,2,0,337
Rochester,,,393,162,50,17,17,1,0,3,11,1,655
Rockingham,,,"1,315",576,118,75,46,9,1,15,23,2,"2,180"
Roxbury,,,186,118,28,21,14,1,0,7,10,0,385
Royalton,,,698,406,112,46,31,4,3,17,31,0,"1,348"
Rupert,,,213,138,14,14,6,1,0,5,6,1,398
"Rutland City",-,"Rutland 5-1","1,162",845,92,68,27,6,0,45,34,0,"2,279"
"Rutland City",-,"Rutland 5-2",911,704,114,44,34,8,1,27,18,0,"1,861"
"Rutland City",-,"Rutland 5-3",587,557,110,42,24,3,2,20,12,0,"1,357"
"Rutland City",-,"Rutland 5-4",835,628,96,55,24,4,3,19,20,0,"1,684"
"Rutland Town",,,"1,064",979,98,88,19,8,1,41,21,1,"2,320"
Ryegate,,,252,239,19,15,12,0,0,0,11,23,571
Salisbury,,,296,189,45,8,9,3,0,5,5,3,563
Sandgate,,,99,95,7,6,7,0,1,2,2,0,219
Searsburg,,,19,36,2,0,0,0,1,0,0,1,59
Shaftsbury,,,952,661,93,53,26,7,1,21,37,2,"1,853"
Sharon,,,428,217,60,15,25,3,0,7,10,1,766
Sheffield,,,110,131,35,14,6,1,1,5,4,1,308
Shelburne,-,"Chittenden 5-1","1,930",445,105,51,48,4,1,35,57,6,"2,682"
Shelburne,-,"Chittenden 5-2","1,460",496,81,60,31,4,1,34,33,7,"2,207"
Sheldon,,,305,377,73,31,11,2,1,15,11,0,826
Shoreham,,,356,211,39,19,13,1,0,11,9,0,659
Shrewsbury,,,325,269,28,16,9,1,2,11,6,5,672
"S. Burlington",-,"Chittenden 7-1","1,899",433,102,67,39,3,1,38,24,26,"2,632"
"S. Burlington",-,"Chittenden 7-2","2,064",652,90,97,35,4,1,52,19,23,"3,037"
"S. Burlington",-,"Chittenden 7-3","1,810",423,101,69,61,5,1,25,33,22,"2,550"
"S. Burlington",-,"Chittenden 7-4","1,473",551,118,89,61,7,1,28,21,14,"2,363"
"S. Hero",,,672,301,75,36,18,3,0,15,24,4,"1,148"
Springfield,-,"Windsor 3-1",71,65,5,3,3,1,0,0,6,0,154
Springfield,-,"Windsor 3-2","1,802","1,445",271,141,82,17,2,45,28,11,"3,844"
"St. Albans City",,,"1,287",807,194,120,43,12,3,39,36,0,"2,541"
"St. Albans Town",-,"Franklin 3-1",465,392,70,45,9,4,0,32,26,1,"1,044"
"St. Albans Town",-,"Franklin 3-2",951,876,142,61,23,10,3,31,31,1,"2,129"
"St. George",,,200,110,29,7,6,1,1,4,5,0,363
"St. Johnsbury",,,"1,469","1,110",164,125,64,16,4,58,37,5,"3,052"
Stamford,,,203,238,9,16,6,1,0,1,4,3,481
Stannard,,,58,22,12,5,1,1,0,1,1,2,103
Starksboro,,,534,256,67,36,24,3,0,11,12,0,943
Stockbridge,,,222,140,33,7,13,6,0,5,3,2,431
Stowe,,,"1,974",559,102,113,39,3,0,51,44,8,"2,893"
Strafford,,,500,105,25,24,30,1,0,8,12,0,705
Stratton,,,65,50,5,2,0,1,1,2,3,0,129
Sudbury,,,163,122,13,12,3,2,0,4,6,1,326
Sunderland,-,"Bennington 3",62,41,7,5,3,0,0,0,1,0,119
Sunderland,-,"Bennington 4",219,142,20,7,3,3,0,5,8,1,408
Sutton,,,168,220,0,24,11,3,0,0,39,0,465
Swanton,,,"1,101","1,192",214,82,33,6,2,40,40,2,"2,712"
Thetford,,,"1,145",324,73,45,34,2,1,21,8,0,"1,653"
Tinmouth,-,"Rutland 2",34,32,7,2,1,0,0,1,0,1,78
Tinmouth,-,Rutland-Bennington,105,91,8,13,2,0,0,0,3,0,222
Topsham,,,226,274,36,19,8,7,1,3,9,0,583
Townshend,,,412,174,54,17,10,3,0,12,6,6,694
Troy,-,"Orleans 2",63,75,20,6,3,1,0,1,3,1,173
Troy,-,Orleans-Lamoille,180,208,61,13,7,3,0,5,3,0,480
Tunbridge,,,349,242,61,21,22,2,0,5,9,7,718
Underhill,,,"1,238",504,104,55,26,2,1,34,26,2,"1,992"
Vergennes,,,712,326,90,51,23,5,1,11,28,3,"1,250"
Vernon,,,492,486,50,50,11,3,0,30,18,1,"1,141"
Vershire,,,189,118,25,10,18,2,0,2,2,1,367
Victory,,,18,38,5,3,1,0,0,0,3,0,68
Waitsfield,,,751,210,74,29,35,6,0,6,21,2,"1,134"
Walden,,,246,168,46,22,25,3,2,7,8,0,527
Wallingford,,,529,463,47,35,22,4,1,12,15,3,"1,131"
Waltham,,,149,83,0,14,2,0,0,27,3,6,284
Wardsboro,,,199,137,25,12,11,1,0,7,11,0,403
Warren,,,752,182,62,45,25,4,0,9,9,1,"1,089"
Washington,,,217,241,34,24,11,4,0,5,17,4,557
Waterbury,,,"2,035",592,231,91,44,16,1,30,43,5,"3,088"
Waterford,,,292,341,43,37,5,1,0,17,6,1,743
Waterville,,,161,146,36,14,10,1,1,6,6,0,381
Weathersfield,,,745,647,86,51,26,8,1,13,22,0,"1,599"
Wells,,,209,312,22,17,6,2,0,7,6,0,581
"W. Fairlee",,,161,97,21,15,2,0,1,0,5,3,305
"W. Haven",,,56,56,13,0,7,1,0,0,8,1,142
"W. Rutland",,,384,541,53,33,10,4,1,10,13,2,"1,051"
"W. Windsor",,,469,173,0,27,6,2,0,30,11,4,722
Westfield,,,134,123,24,6,11,1,0,4,1,2,306
Westford,,,696,371,88,58,22,5,5,24,2,10,"1,281"
Westminster,-,"Windham 3",41,26,3,0,4,0,0,1,2,0,77
Westminster,-,"Windham 4",960,326,79,32,57,5,0,12,11,7,"1,489"
Westmore,,,103,93,7,7,4,1,0,1,5,0,221
Weston,,,267,106,17,8,5,1,0,10,2,1,417
Weybridge,,,415,74,0,18,8,1,2,5,44,0,567
Wheelock,,,156,175,28,13,13,1,1,7,4,6,404
Whiting,,,95,68,20,8,2,2,0,2,2,0,199
Whitingham,-,"Windham 6",268,270,29,22,10,4,1,7,11,0,622
Whitingham,-,Windham-Bennington,15,15,1,0,0,0,0,0,0,0,31
Williamstown,,,627,658,135,72,25,10,1,13,24,8,"1,573"
Williston,,,"3,508","1,481",252,195,69,15,2,80,80,27,"5,709"
Wilmington,,,591,338,44,36,26,2,2,7,17,0,"1,063"
Windham,,,156,79,16,10,8,3,1,2,10,2,287
Windsor,,,964,462,92,92,44,3,2,36,21,3,"1,719"
Winhall,,,299,158,29,15,7,2,1,6,11,3,531
Winooski,,,"2,105",536,182,78,107,14,7,39,39,6,"3,113"
Wolcott,,,397,276,63,24,27,3,1,7,11,1,810
Woodbury,,,271,169,44,18,18,3,2,2,8,2,537
Woodford,,,94,66,8,6,1,0,1,1,2,4,183
Woodstock,,,"1,319",372,73,48,31,5,2,30,30,2,"1,912"
Worcester,,,374,117,48,19,27,3,1,5,5,1,600
TOTALS,,,"178,573","95,369","18,218","10,078","6,758","1,063",327,"4,681","4,574",826,"320,467"
