City/Town,Ward,Pct,"David Zuckerman","Randy Brock","Boots Wardinski",Write-Ins,Blanks,"Total Votes Cast"
,,,Progressive/Democratic,Republican,"Liberty Union"
Westford,,,609,592,28,4,48,"1,281"
Westminster,-,"Windham 3",43,34,0,0,0,77
Westminster,-,"Windham 4",968,403,49,1,68,"1,489"
Westmore,,,92,116,6,0,7,221
Weston,,,214,179,8,0,16,417
Weybridge,,,334,197,9,1,26,567
Wheelock,,,173,201,8,1,19,404
Whiting,,,94,91,4,0,10,199
Whitingham,-,"Windham 6",271,293,12,1,45,622
Whitingham,-,Windham-Bennington,19,12,0,0,0,31
Williamstown,,,540,947,29,1,53,"1,573"
Williston,,,"2,747","2,640",53,4,252,"5,709"
Wilmington,,,527,407,42,2,84,"1,063"
Windham,,,122,134,10,0,21,287
Windsor,,,989,564,73,6,82,"1,719"
Winhall,,,245,229,10,2,43,531
Winooski,,,"1,999",859,72,5,173,"3,113"
Wolcott,,,400,362,17,4,27,810
Woodbury,,,283,228,12,2,12,537
Woodford,,,95,63,5,1,19,183
Woodstock,,,"1,106",661,39,0,106,"1,912"
Worcester,,,370,201,16,2,11,600
TOTALS,,,"159,738","139,344","7,038",559,"13,599","320,467"
