City/Town,Ward,Pct,"Peter Welch","Erica Clawson",Write-Ins,Blanks,"Total Votes Cast"
Concord,,,446,83,2,45,577
Corinth,,,532,88,3,65,688
Cornwall,,,669,33,2,44,748
Coventry,,,424,57,1,35,517
Craftsbury,,,555,69,1,72,698
Danby,,,513,91,0,54,658
Danville,,,"1,122",118,7,100,"1,348"
Derby,,,"1,779",249,11,187,"2,226"
Dorset,,,"1,018",86,2,102,"1,209"
Dover,,,620,87,2,85,794
Dummerston,,,"1,014",78,0,71,"1,164"
Duxbury,,,649,84,3,62,799
"E. Haven",,,108,24,1,16,149
"E. Montpelier",,,"1,392",131,9,99,"1,631"
Eden,,,447,73,1,47,568
Elmore,,,471,44,0,33,552
Enosburgh,,,"1,051",100,3,67,"1,221"
Essex,-,"Chittenden 8-1","4,073",344,29,361,"4,807"
Essex,-,"Chittenden 8-2","4,271",410,54,384,"5,123"
Essex,-,"Chittenden 8-3","1,209",105,9,104,"1,427"
"Fair Haven",,,952,126,5,85,"1,168"
Fairfax,,,"1,969",279,4,174,"2,431"
Fairfield,,,822,88,7,44,961
Fairlee,,,486,49,2,35,573
Fayston,,,711,65,2,53,831
Ferrisburgh,,,"1,368",147,14,105,"1,635"
Fletcher,,,591,65,6,43,709
Franklin,,,510,69,3,54,637
Georgia,,,"1,990",255,18,181,"2,449"
Glover,,,481,72,0,46,600
Goshen,,,106,11,0,8,125
Grafton,,,301,45,1,52,399
Granby,,,36,5,0,2,43
"Grand Isle",,,"1,000",120,9,72,"1,201"
Granville,,,132,9,1,7,149
Greensboro,,,371,37,4,18,430
Groton,,,376,75,0,46,498
Guildhall,,,116,11,0,20,148
Guilford,,,991,105,4,77,"1,177"
Halifax,,,328,44,4,60,437
Hancock,,,123,25,1,13,162
Hardwick,,,"1,163",154,5,88,"1,410"
Hartford,-,"Windsor 4-1","1,028",117,8,101,"1,254"
Hartford,-,"Windsor 4-2","3,337",365,22,230,"3,955"
Hartland,,,"1,645",175,13,114,"1,951"
Highgate,,,"1,156",156,9,80,"1,402"
Hinesburg,-,"Chittenden 4-1",14,2,0,3,19
Hinesburg,-,"Chittenden 4-2","2,250",213,15,209,"2,687"
Holland,,,221,58,0,24,303
Hubbardton,,,308,49,4,27,389
Huntington,,,"1,081",85,1,83,"1,252"
"Hyde Park",,,"1,305",140,4,111,"1,562"
Ira,,,209,17,0,19,245
Irasburg,,,456,60,1,51,568
"Isle La Motte",,,234,39,2,35,310
Jamaica,,,432,46,1,37,516
Jay,,,204,22,2,18,246
Jericho,,,"2,797",239,19,286,"3,343"
Johnson,,,"1,060",161,2,112,"1,335"
Killington,,,535,66,0,69,670
Kirby,,,228,19,1,18,266
Landgrove,,,87,7,0,11,105
Leicester,,,407,47,1,45,502
Lemington,,,49,3,0,5,57
Lincoln,,,691,57,3,52,803
Londonderry,,,780,93,3,76,953
Lowell,,,333,60,4,41,440
Ludlow,,,876,129,1,103,"1,109"
Lunenburg,,,424,82,2,54,562
Lyndon,,,"1,664",232,9,176,"2,085"
Maidstone,,,93,14,2,8,118
Manchester,,,"1,976",192,18,260,"2,446"
Marlboro,,,491,44,5,41,581
Marshfield,,,680,109,4,85,879
Mendon,,,533,54,6,60,654
Middlebury,,,"3,168",249,17,286,"3,723"
Middlesex,,,947,102,6,78,"1,134"
"Middletown Springs",,,390,47,1,0,492
Milton,-,"Chittenden 10","3,512",464,54,403,"4,434"
Milton,-,"Grand Isle-Chittenden",549,78,11,98,736
Monkton,,,"1,010",116,5,94,"1,228"
Montgomery,,,527,78,0,61,671
Montpelier,,,"4,260",296,8,270,"4,834"
Moretown,,,881,83,4,81,"1,049"
Morgan,,,266,45,1,29,342
Morristown,,,"2,356",221,13,177,"2,767"
"Mount Holly",,,594,107,2,72,777
"Mount Tabor",,,73,10,1,11,95
"New Haven",,,905,110,0,79,"1,099"
Newark,,,224,48,2,33,307
Newbury,,,896,106,1,88,"1,091"
Newfane,,,842,80,5,88,"1,016"
"Newport City",,,"1,261",190,5,110,"1,566"
"Newport Town",,,554,84,2,60,711
"N. Hero",,,540,62,2,30,634
Northfield,,,"1,847",195,12,196,"2,250"
Norton,,,73,8,0,5,86
Norwich,,,"2,157",70,4,100,"2,333"
Orange,,,435,62,1,49,549
Orwell,,,530,68,3,63,664
Panton,,,291,33,0,23,348
Pawlet,,,617,66,2,79,765
Peacham,,,406,44,3,29,482
Peru,,,204,19,1,15,239
Pittsfield,,,255,27,0,13,295
Pittsford,,,"1,239",159,21,148,"1,570"
Plainfield,,,563,72,3,46,685
Plymouth,,,271,41,4,38,354
Pomfret,,,531,42,0,24,598
Poultney,,,"1,170",168,6,112,"1,460"
Pownal,,,"1,277",219,5,152,"1,653"
Proctor,,,734,75,5,46,861
Putney,,,"1,161",92,1,75,"1,329"
Randolph,,,"1,838",277,15,166,"2,297"
Reading,,,310,29,0,39,382
Readsboro,,,288,48,0,51,387
Richford,,,701,93,2,50,846
Richmond,,,"2,165",181,8,202,"2,564"
Ripton,,,308,14,0,12,337
Rochester,,,554,58,2,40,655
Rockingham,,,"1,760",228,8,179,"2,180"
Roxbury,,,311,35,2,36,385
Royalton,,,"1,105",135,9,99,"1,348"
Rupert,,,323,38,1,35,398
"Rutland City",-,"Rutland 5-1","1,865",175,25,214,"2,279"
"Rutland City",-,"Rutland 5-2","1,533",181,11,136,"1,861"
"Rutland City",-,"Rutland 5-3","1,080",166,16,95,"1,357"
"Rutland City",-,"Rutland 5-4","1,374",161,13,136,"1,684"
"Rutland Town",,,"1,942",160,14,204,"2,320"
Ryegate,,,464,67,0,39,571
Salisbury,,,455,64,2,42,563
Sandgate,,,173,27,0,19,219
Searsburg,,,42,10,0,7,59
Shaftsbury,,,"1,515",163,2,173,"1,853"
Sharon,,,642,75,0,49,766
Sheffield,,,232,47,0,28,308
Shelburne,-,"Chittenden 5-1","2,323",142,2,215,"2,682"
Shelburne,-,"Chittenden 5-2","1,862",135,6,201,"2,207"
Sheldon,,,716,62,2,46,826
Shoreham,,,538,63,2,56,659
Shrewsbury,,,558,51,5,52,672
"S. Burlington",-,"Chittenden 7-1","2,286",145,6,194,"2,632"
"S. Burlington",-,"Chittenden 7-2","2,608",180,12,227,"3,037"
"S. Burlington",-,"Chittenden 7-3","2,189",151,8,197,"2,550"
"S. Burlington",-,"Chittenden 7-4","1,922",216,9,206,"2,363"
"S. Hero",,,956,100,4,86,"1,148"
Springfield,-,"Windsor 3-1",116,25,0,13,154
Springfield,-,"Windsor 3-2","3,063",473,17,289,"3,844"
"St. Albans City",,,"2,181",225,14,121,"2,541"
"St. Albans Town",-,"Franklin 3-1",860,93,10,79,"1,044"
"St. Albans Town",-,"Franklin 3-2","1,768",209,19,132,"2,129"
"St. George",,,305,30,0,27,363
"St. Johnsbury",,,"2,469",339,15,225,"3,052"
Stamford,,,343,60,2,75,481
Stannard,,,79,14,0,9,103
Starksboro,,,771,107,3,62,943
Stockbridge,,,359,45,1,24,431
Stowe,,,"2,459",173,11,249,"2,893"
Strafford,,,620,46,0,39,705
Stratton,,,107,10,1,11,129
Sudbury,,,258,38,1,29,326
Sunderland,-,"Bennington 3",99,7,0,13,119
Sunderland,-,"Bennington 4",328,35,0,44,408
Sutton,,,360,59,1,1,465
Swanton,,,"2,228",282,24,176,"2,712"
Thetford,,,"1,453",100,6,94,"1,653"
Tinmouth,-,"Rutland 2",67,8,0,3,78
Tinmouth,-,Rutland-Bennington,175,28,3,16,222
Topsham,,,461,60,1,61,583
Townshend,,,546,69,2,77,694
Troy,-,"Orleans 2",145,16,1,11,173
Troy,-,Orleans-Lamoille,392,49,0,39,480
Tunbridge,,,592,69,0,57,718
Underhill,,,"1,643",165,5,176,"1,992"
Vergennes,,,"1,057",104,4,83,"1,250"
Vernon,,,883,117,13,128,"1,141"
Vershire,,,297,39,1,29,367
Victory,,,32,16,0,20,68
Waitsfield,,,967,85,0,82,"1,134"
Walden,,,413,59,6,49,527
Wallingford,,,917,113,7,94,"1,131"
Waltham,,,247,20,0,17,284
Wardsboro,,,336,36,2,29,403
Warren,,,908,92,1,88,"1,089"
Washington,,,434,71,3,47,557
Waterbury,,,"2,628",212,8,238,"3,088"
Waterford,,,571,91,8,73,743
Waterville,,,306,35,6,33,381
Weathersfield,,,"1,241",225,4,129,"1,599"
Wells,,,470,69,3,39,581
"W. Fairlee",,,246,40,1,18,305
"W. Haven",,,118,17,0,7,142
"W. Rutland",,,827,150,10,64,"1,051"
"W. Windsor",,,610,62,2,46,722
Westfield,,,244,35,3,24,306
Westford,,,"1,045",114,8,113,"1,281"
Westminster,-,"Windham 3",65,11,0,1,77
Westminster,-,"Windham 4","1,235",139,3,107,"1,489"
Westmore,,,168,25,0,28,221
Weston,,,369,27,1,20,417
Weybridge,,,514,27,4,22,567
Wheelock,,,304,57,3,37,404
Whiting,,,160,15,2,22,199
Whitingham,-,"Windham 6",471,68,0,83,622
Whitingham,-,Windham-Bennington,25,5,0,1,31
Williamstown,,,"1,292",162,10,103,"1,573"
Williston,,,"4,749",413,11,507,"5,709"
Wilmington,,,841,108,2,112,"1,063"
Windham,,,232,33,0,0,287
Windsor,,,"1,425",179,6,106,"1,719"
Winhall,,,425,40,3,61,531
Winooski,,,"2,536",270,9,291,"3,113"
Wolcott,,,679,80,3,46,810
Woodbury,,,437,58,3,38,537
Woodford,,,154,16,0,9,183
Woodstock,,,"1,631",148,6,126,"1,912"
Worcester,,,509,61,2,28,600
TOTALS,,,"264,414","29,410","1,510","24,652","320,467"
