City/Town,Ward,Pct,"Al Gore","George Bush","Ralph Nader","Pat Buchanan","Denny Lane","Harry Browne","John Hagelin","David McReynolds","Howard Phillips","James Harris",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican,Progressive/Green,"Vermont Localist","Vermont Grassroots",Libertarian,"Natural Law","Liberty Union",Constitution,"Socialist Workers"
Salisbury,,,260,237,32,4,2,1,0,0,0,1,2,0,0,539
Sandgate,,,81,87,12,1,1,2,0,0,0,0,0,0,0,184
Searsburg,,,19,0,4,0,0,24,0,0,0,0,0,0,0,47
Shaftsbury,,,"1,104",848,116,3,14,9,2,0,0,1,5,0,0,"2,102"
Sharon,,,347,283,65,5,2,2,0,2,0,0,1,0,0,707
Sheffield,,,113,143,13,4,3,1,1,0,0,0,0,0,0,278
Shelburne,-,"Chittenden 5-1",537,481,66,3,0,0,1,0,0,0,1,0,0,"1,089"
Shelburne,-,"Chittenden 5-3",144,103,8,1,0,1,0,0,0,0,0,0,0,257
Shelburne,-,"Chittenden 5-4","1,464","1,072",189,13,1,7,0,2,1,0,5,0,0,"2,754"
Sheldon,,,383,325,33,10,5,0,0,0,0,1,0,0,0,757
Sherburne,,,304,280,53,0,1,1,0,0,0,0,1,0,0,640
Shoreham,,,286,274,40,6,0,4,0,0,0,1,5,0,0,616
Shrewsbury,,,311,304,50,2,4,2,0,1,0,0,1,0,0,675
"S. Burlington",-,"Chittenden 7-10","1,078",784,97,9,4,7,1,0,0,0,5,0,0,"1,985"
"S. Burlington",-,"Chittenden 7-7",503,280,59,3,1,2,0,0,1,0,2,0,0,851
"S. Burlington",-,"Chittenden 7-8","1,386",947,141,7,2,6,1,1,0,1,6,0,0,"2,498"
"S. Burlington",-,"Chittenden 7-9","1,426",984,130,14,0,8,3,0,0,0,2,0,0,"2,567"
"S. Hero",,,566,406,66,9,3,3,0,0,0,0,0,0,0,"1,053"
Springfield,-,"Windsor 1-1",380,326,44,4,4,3,0,0,0,1,2,0,0,764
Springfield,-,"Windsor 6","2,006","1,394",186,23,12,11,3,1,4,0,11,0,0,"3,651"
"St. Albans City",,,"1,466","1,045",105,32,9,4,0,2,1,1,4,0,0,"2,669"
"St. Albans Town",-,"Franklin 3-1",57,54,7,4,2,1,0,0,0,0,0,0,0,125
"St. Albans Town",-,"Franklin 3-2","1,159","1,021",87,25,8,4,3,0,1,1,0,0,0,"2,309"
"St. George",,,161,144,24,3,1,1,0,0,0,0,0,0,0,334
"St. Johnsbury",,,"1,308","1,472",159,36,10,8,3,0,2,0,7,0,0,"3,005"
Stamford,,,205,207,24,0,2,1,0,0,0,0,3,0,0,442
Stannard,,,64,25,5,0,2,1,0,0,0,0,0,0,0,97
Starksboro,,,436,303,104,11,6,2,0,1,0,4,0,0,0,867
Stockbridge,,,194,132,25,2,3,3,0,0,0,0,2,0,0,361
Stowe,,,"1,280",950,190,12,3,7,1,2,0,0,4,0,0,"2,449"
Strafford,,,390,197,59,1,1,1,0,0,0,0,1,0,0,650
Stratton,,,41,54,3,0,0,0,0,0,0,0,1,0,0,99
Sudbury,,,165,125,14,3,3,0,0,0,0,1,0,0,0,311
Sunderland,,,208,217,24,1,1,0,0,7,0,0,1,0,0,459
Sutton,,,192,238,18,6,3,1,0,0,0,1,1,0,0,460
Swanton,,,"1,302","1,065",70,21,8,2,2,0,2,0,6,0,0,"2,478"
Thetford,,,883,485,112,5,0,6,3,0,0,0,0,0,0,"1,494"
Tinmouth,,,128,133,15,2,1,0,0,1,0,0,0,0,0,280
Topsham,,,193,397,39,3,3,4,3,0,1,0,0,0,0,643
Townshend,,,293,239,55,4,2,1,0,1,2,0,0,0,0,597
Troy,,,272,281,21,3,1,1,0,1,2,0,1,0,0,583
Tunbridge,,,314,320,54,1,2,1,0,1,0,0,2,0,0,695
Underhill,,,945,674,148,16,7,5,0,0,1,0,6,0,0,"1,802"
Vergennes,,,520,457,55,8,4,0,0,2,1,0,2,0,0,"1,049"
Vernon,,,436,566,43,7,0,0,3,7,4,2,5,0,0,"1,073"
Vershire,,,166,154,32,1,2,2,0,0,0,0,0,0,0,357
Victory,,,24,32,7,0,0,0,0,0,0,0,0,0,0,63
Waitsfield,,,563,346,105,5,11,2,0,0,0,0,0,0,0,"1,032"
Walden,,,229,184,51,5,2,0,0,1,0,0,0,0,0,472
Wallingford,,,527,563,58,10,6,5,0,1,3,0,2,0,0,"1,175"
Waltham,,,127,110,14,0,0,1,0,0,0,0,1,0,0,253
Wardsboro,,,172,172,30,2,0,1,0,1,1,0,1,0,0,380
Warren,,,566,278,98,2,7,4,1,14,0,0,0,0,0,970
Washington,,,237,274,33,11,4,1,0,0,0,0,0,0,0,560
Waterbury,,,"1,360",919,142,26,14,3,2,0,1,0,2,0,0,"2,469"
Waterford,,,221,396,35,4,4,6,0,0,0,0,1,0,0,667
Waterville,,,136,152,17,4,3,2,0,0,0,0,0,0,0,314
Weathersfield,,,665,629,78,9,6,1,0,1,1,0,3,0,0,"1,393"
Wells,,,196,269,27,1,1,1,0,0,2,0,0,0,0,497
"W. Fairlee",,,134,156,12,1,3,0,0,1,0,0,1,0,0,308
"W. Haven",,,85,55,5,1,1,1,0,0,0,0,0,0,0,148
"W. Rutland",,,540,495,30,9,4,3,2,1,0,0,1,0,0,"1,085"
"W. Windsor",,,305,281,31,5,0,0,0,0,0,0,3,0,0,625
Westfield,,,116,122,22,6,1,2,0,0,0,0,2,0,0,271
Westford,,,537,375,79,10,2,2,0,2,0,0,0,0,0,"1,007"
Westminster,,,869,448,212,1,3,2,1,0,2,0,6,0,0,"1,544"
