City/Town,Ward,Pct,"Mark Donka","Donald Russell","Donald W. Nolte",Write-Ins,Blanks,"Total Votes Cast"
Springfield,-,"Windsor 3-1",9,1,0,0,0,10
Springfield,-,"Windsor 3-2",84,5,10,6,6,111
"St. Albans City",,,35,48,27,16,35,161
"St. Albans Town",-,"Franklin 3-1",24,25,21,6,20,96
"St. Albans Town",-,"Franklin 3-2",30,46,37,13,44,170
"St. George",,,1,3,2,1,0,7
"St. Johnsbury",,,74,64,154,24,150,466
Stamford,,,0,2,0,0,1,3
Stannard,,,1,0,3,1,0,5
Starksboro,,,9,12,4,1,4,30
Stockbridge,,,11,3,2,0,1,17
Stowe,,,6,12,7,2,12,39
Strafford,,,10,3,4,0,4,21
Stratton,,,0,1,3,1,1,6
Sudbury,,,5,1,0,0,4,10
Sunderland,-,"Bennington 3",0,1,0,0,2,3
Sunderland,-,"Bennington 4",7,3,1,0,1,12
Sutton,,,7,2,15,4,2,30
Swanton,,,27,51,28,6,25,137
Thetford,,,27,2,7,1,13,50
Tinmouth,-,"Rutland 2",0,0,0,0,0,0
Tinmouth,-,Rutland-Bennington,4,5,2,0,3,14
Topsham,,,9,2,2,0,10,23
Townshend,,,1,6,1,0,3,11
Troy,-,"Orleans 2",0,0,3,1,5,9
Troy,-,Orleans-Lamoille,7,3,26,7,8,51
Tunbridge,,,20,7,4,2,15,48
Underhill,,,24,32,23,0,21,100
Vergennes,,,16,26,5,4,14,65
Vernon,,,15,12,11,2,13,53
Vershire,,,6,1,1,0,2,10
Victory,,,1,0,6,2,7,16
Waitsfield,,,10,23,10,3,24,70
Walden,,,8,4,4,1,4,21
Wallingford,,,6,8,13,0,7,34
Waltham,,,3,3,1,0,7,14
Wardsboro,,,0,0,1,0,5,6
Warren,,,9,11,4,2,3,29
Washington,,,20,7,10,0,22,59
Waterbury,,,18,24,13,2,20,77
Waterford,,,23,13,55,5,44,140
Waterville,,,7,0,1,1,0,9
Weathersfield,,,199,15,10,2,25,251
Wells,,,27,20,12,0,11,70
"W. Fairlee",,,4,3,2,0,4,13
"W. Haven",,,8,10,6,4,16,44
"W. Rutland",,,13,16,13,0,11,53
"W. Windsor",,,27,2,2,2,2,35
Westfield,,,2,1,19,0,4,26
Westford,,,13,16,12,1,12,54
Westminster,-,"Windham 3",1,0,1,0,1,3
Westminster,-,"Windham 4",20,18,11,2,16,67
Westmore,,,1,2,17,1,10,31
Weston,,,9,4,1,2,3,19
Weybridge,,,5,12,3,0,11,31
