City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
Grafton,,,-,2,15,17
Granby,,,-,1,14,15
"Grand Isle",,,-,24,86,110
Granville,,,-,2,6,8
Greensboro,,,-,0,20,20
Groton,,,-,3,61,64
Guildhall,,,-,0,47,47
Guilford,,,-,4,26,30
Halifax,,,-,2,25,27
Hancock,,,-,0,5,5
Hardwick,,,-,4,37,41
Hartford,-,"Windsor 4-1",-,2,29,31
Hartford,-,"Windsor 4-2",-,2,85,87
Hartland,,,-,2,50,52
Highgate,,,-,17,70,87
Hinesburg,-,"Chittenden 4-1",-,0,0,0
Hinesburg,-,"Chittenden 4-2",-,3,65,68
Holland,,,-,2,35,37
Hubbardton,,,-,3,24,27
Huntington,,,-,1,29,30
"Hyde Park",,,-,9,63,72
Ira,,,-,2,7,9
Irasburg,,,-,9,52,61
"Isle La Motte",,,-,3,22,25
Jamaica,,,-,0,6,6
Jay,,,-,7,18,25
Jericho,,,-,2,140,142
Johnson,,,-,4,35,39
Killington,,,-,1,32,33
Kirby,,,-,2,15,17
Landgrove,,,-,0,8,8
Leicester,,,-,1,23,24
Lemington,,,-,1,13,14
Lincoln,,,-,2,43,45
Londonderry,,,-,1,24,25
Lowell,,,-,4,32,36
Ludlow,,,-,2,41,43
Lunenburg,,,-,28,82,110
Lyndon,,,-,4,127,131
Maidstone,,,-,13,13,26
Manchester,,,-,3,134,137
Marlboro,,,-,1,7,8
Marshfield,,,-,2,28,30
Mendon,,,-,4,46,50
Middlebury,,,-,4,97,101
Middlesex,,,-,11,18,29
"Middletown Springs",,,-,0,51,51
Milton,-,"Chittenden 10",-,11,264,275
Milton,-,"Grand Isle-Chittenden",-,0,59,59
Monkton,,,-,2,55,57
Montgomery,,,-,2,33,35
Montpelier,,,-,9,148,157
Moretown,,,-,2,42,44
Morgan,,,-,3,82,85
Morristown,,,-,16,87,103
"Mount Holly",,,-,0,40,40
"Mount Tabor",,,-,0,12,12
"New Haven",,,-,3,50,53
Newark,,,-,2,63,65
Newbury,,,-,0,52,52
Newfane,,,-,3,20,23
"Newport City",,,-,27,318,345
"Newport Town",,,-,8,83,91
"N. Hero",,,-,9,60,69
Northfield,,,-,6,109,115
Norton,,,-,10,22,32
Norwich,,,-,1,25,26
Orange,,,-,9,39,48
Orwell,,,-,6,43,49
Panton,,,-,0,25,25
Pawlet,,,-,3,132,135
Peacham,,,-,0,29,29
Peru,,,-,1,12,13
Pittsfield,,,-,0,15,15
Pittsford,,,-,6,73,79
Plainfield,,,-,2,18,20
Plymouth,,,-,8,0,8
Pomfret,,,-,3,30,33
Poultney,,,-,0,66,66
Pownal,,,-,5,39,44
Proctor,,,-,2,13,15
Putney,,,-,1,17,18
Randolph,,,-,9,122,131
Reading,,,-,0,17,17
Readsboro,,,-,0,12,12
Richford,,,-,1,33,34
Richmond,,,-,3,110,113
Ripton,,,-,1,10,11
Rochester,,,-,2,31,33
Rockingham,,,-,9,40,49
Roxbury,,,-,1,33,34
Royalton,,,-,2,33,35
Rupert,,,-,2,54,56
"Rutland City",-,"Rutland 5-1",-,16,94,110
"Rutland City",-,"Rutland 5-2",-,15,85,100
"Rutland City",-,"Rutland 5-3",-,1,39,40
"Rutland City",-,"Rutland 5-4",-,9,63,72
"Rutland Town",,,-,13,155,168
Ryegate,,,-,5,73,78
Salisbury,,,-,0,17,17
Sandgate,,,-,0,11,11
Searsburg,,,-,0,7,7
Shaftsbury,,,-,3,46,49
Sharon,,,-,2,28,30
Sheffield,,,-,4,13,17
Shelburne,-,"Chittenden 5-1",-,4,122,126
Shelburne,-,"Chittenden 5-2",-,7,84,91
Sheldon,,,-,10,29,39
Shoreham,,,-,2,56,58
Shrewsbury,,,-,6,39,45
"S. Burlington",-,"Chittenden 7-1",-,7,73,80
"S. Burlington",-,"Chittenden 7-2",-,7,76,83
"S. Burlington",-,"Chittenden 7-3",-,5,51,56
"S. Burlington",-,"Chittenden 7-4",-,7,102,109
"S. Hero",,,-,7,59,66
Springfield,-,"Windsor 3-1",-,0,10,10
Springfield,-,"Windsor 3-2",-,4,105,109
"St. Albans City",,,-,31,130,161
"St. Albans Town",-,"Franklin 3-1",-,15,81,96
"St. Albans Town",-,"Franklin 3-2",-,22,148,170
"St. George",,,-,1,6,7
"St. Johnsbury",,,-,38,429,467
Stamford,,,-,0,3,3
Stannard,,,-,2,3,5
Starksboro,,,-,2,28,30
Stockbridge,,,-,1,16,17
Stowe,,,-,4,35,39
Strafford,,,-,0,21,21
Stratton,,,-,0,6,6
Sudbury,,,-,0,10,10
Sunderland,-,"Bennington 3",-,0,3,3
Sunderland,-,"Bennington 4",-,0,12,12
Sutton,,,-,4,25,29
Swanton,,,-,13,124,137
Thetford,,,-,2,48,50
Tinmouth,-,"Rutland 2",-,0,0,0
Tinmouth,-,Rutland-Bennington,-,0,14,14
Topsham,,,-,0,23,23
Townshend,,,-,3,9,12
Troy,-,"Orleans 2",-,1,8,9
Troy,-,Orleans-Lamoille,-,6,42,48
