City/Town,Ward,Pct,"William H. Sorrell","H. Brooke Paige",Write-Ins,Blanks,"Total Votes Cast"
Williston,,,146,10,0,10,166
Wilmington,,,27,8,0,2,37
Windham,,,27,13,0,20,60
Windsor,,,35,12,0,3,50
Winhall,,,3,1,1,4,9
Winooski,,,312,61,1,97,471
Wolcott,,,46,7,0,6,59
Woodbury,,,19,5,0,0,24
Woodford,,,11,2,0,2,15
Woodstock,,,57,23,1,12,93
Worcester,,,31,9,1,7,48
TOTALS,,,"14,734","3,488",152,"3,381","21,755"
