City/Town,Ward,Pct,"Larry Drown","Bernie Sanders",Write-Ins,Blanks,"Total Votes Cast"
Williamstown,,,37,9,4,0,50
Williston,,,185,16,4,0,205
Wilmington,,,39,6,1,0,46
Windham,,,27,4,0,0,31
Windsor,,,157,15,0,0,172
Winhall,,,23,0,3,0,26
Winooski,,,136,18,1,0,155
Wolcott,,,36,6,3,0,45
Woodbury,,,29,7,0,0,36
Woodford,,,17,0,0,0,17
Woodstock,,,131,22,0,0,153
Worcester,,,32,8,1,0,41
TOTALS,,,"14,870","1,878",515,0,"17,263"
