City/Town,Ward,Pct,"Peter Clavelle",Write-Ins,Blanks,"Total Votes Cast"
Hartford,-,"Windsor 6-1",44,2,0,46
Hartford,-,"Windsor 6-2",216,14,0,230
Hartland,,,163,5,0,168
Highgate,,,52,7,0,59
Hinesburg,-,"Chittenden 1-1",185,4,0,189
Hinesburg,-,"Chittenden 1-2",10,0,0,10
Holland,,,8,2,0,10
Hubbardton,,,11,0,0,11
Huntington,,,112,1,0,113
"Hyde Park",,,64,6,0,70
Ira,-,"Rutland Rutland 1-1",0,0,0,0
Ira,-,"Rutland Rutland 1-2",4,1,0,5
Irasburg,,,45,6,0,51
"Isle La Motte",,,27,4,0,31
Jamaica,,,28,2,0,30
Jay,,,10,2,0,12
Jericho,,,205,5,0,210
Johnson,,,76,3,0,79
Killington,,,25,2,0,27
Kirby,,,11,0,0,11
Landgrove,,,11,1,0,12
Leicester,,,42,4,0,46
Lemington,,,1,0,0,1
Lincoln,,,128,2,0,130
Londonderry,,,46,4,0,50
Lowell,,,27,1,0,28
Ludlow,,,87,4,0,91
Lunenburg,,,16,4,0,20
Lyndon,,,84,3,0,87
Maidstone,,,2,2,0,4
Manchester,,,113,2,0,115
Marlboro,,,119,3,0,122
Marshfield,,,121,5,0,126
Mendon,,,42,1,0,43
Middlebury,,,398,17,0,415
Middlesex,,,76,2,0,78
"Middletown Springs",,,85,2,0,87
Milton,-,"Chittenden 9",221,18,0,239
Milton,-,"Grand Isle-Chittenden 1-1",36,0,0,36
Monkton,,,102,1,0,103
Montgomery,,,47,1,0,48
Montpelier,,,602,19,0,621
Moretown,,,49,2,0,51
Morgan,,,17,1,0,18
Morristown,,,110,17,0,127
"Mount Holly",,,57,1,0,58
"Mount Tabor",,,7,0,0,7
"New Haven",,,251,17,0,268
Newark,,,15,0,0,15
Newbury,-,"Center Town House",12,0,0,12
Newbury,-,"Town Office",81,4,0,85
Newbury,-,"West River Village",31,2,0,33
Newfane,,,125,3,0,128
"Newport City",,,89,20,0,109
"Newport Town",,,36,7,0,43
"N. Hero",,,29,0,0,29
Northfield,,,107,7,0,114
Norton,,,2,2,0,4
Norwich,,,408,9,0,417
Orange,,,10,3,0,13
Orwell,,,37,12,0,49
Panton,,,35,3,0,38
Pawlet,,,104,4,0,108
Peacham,,,53,1,0,54
Peru,,,27,0,0,27
Pittsfield,,,20,0,0,20
Pittsford,,,77,1,0,78
Plainfield,,,130,3,0,133
Plymouth,,,13,0,0,13
Pomfret,,,52,1,0,53
Poultney,,,47,2,0,49
Pownal,,,111,3,0,114
Proctor,,,40,1,0,41
Putney,,,203,2,0,205
Randolph,,,203,11,0,214
Reading,,,49,1,0,50
Readsboro,,,24,0,0,24
Richford,,,51,0,0,51
Richmond,,,203,6,0,209
Ripton,,,63,1,0,64
Rochester,,,97,14,0,111
Rockingham,,,301,13,0,314
Roxbury,,,22,0,0,22
Royalton,,,126,2,0,128
Rupert,,,44,2,0,46
"Rutland City",-,"Rutland 5-1",133,11,0,144
"Rutland City",-,"Rutland 5-2",106,1,0,107
"Rutland City",-,"Rutland 5-3",60,3,0,63
"Rutland City",-,"Rutland 5-4",84,0,0,84
"Rutland Town",,,139,3,0,142
Ryegate,,,40,0,0,40
Salisbury,,,64,1,0,65
Sandgate,,,27,1,0,28
Searsburg,,,6,0,0,6
Shaftsbury,,,157,11,0,168
Sharon,,,66,4,0,70
Sheffield,,,21,2,0,23
Shelburne,-,"Chittenden 5-1",245,18,0,263
Shelburne,-,"Chittenden 5-2",121,19,0,140
Sheldon,,,33,5,0,38
Shoreham,,,68,2,0,70
Shrewsbury,,,61,2,0,63
"S. Burlington",-,"Chittenden 3-10",122,10,0,132
"S. Burlington",-,"Chittenden 3-7",223,8,0,231
"S. Burlington",-,"Chittenden 3-8",196,13,0,209
"S. Burlington",-,"Chittenden 3-9",127,5,0,132
"S. Hero",,,96,8,0,104
Springfield,-,"Windsor 1-1",4,0,0,4
Springfield,-,"Windsor 1-2",318,11,0,329
"St. Albans City",,,146,27,0,173
"St. Albans Town",,,76,16,0,92
"St. George",,,22,0,0,22
"St. Johnsbury",,,133,6,0,139
Stamford,,,28,0,0,28
Stannard,,,19,1,0,20
Starksboro,,,80,3,0,83
Stockbridge,,,52,7,0,59
Stowe,,,107,5,0,112
Strafford,,,79,2,0,81
Stratton,,,4,1,0,5
Sudbury,,,24,2,0,26
Sunderland,,,28,2,0,30
Sutton,,,18,1,0,19
Swanton,,,98,10,0,108
Thetford,,,162,4,0,166
Tinmouth,,,42,0,0,42
Topsham,,,25,0,0,25
Townshend,,,64,0,0,64
Troy,,,33,0,0,33
Tunbridge,,,53,0,0,53
Underhill,,,269,6,0,275
Vergennes,,,98,21,0,119
Vernon,,,52,9,0,61
Vershire,,,30,0,0,30
Victory,,,4,1,0,5
Waitsfield,,,94,1,0,95
Walden,,,49,0,0,49
Wallingford,,,56,2,0,58
Waltham,,,30,2,0,32
Wardsboro,,,24,1,0,25
Warren,,,77,3,0,80
Washington,,,27,2,0,29
Waterbury,,,207,6,0,213
Waterford,,,20,0,0,20
Waterville,,,17,1,0,18
Weathersfield,,,150,6,0,156
Wells,,,39,1,0,40
"W. Fairlee",,,55,2,0,57
"W. Haven",,,5,0,0,5
"W. Rutland",,,38,1,0,39
"W. Windsor",,,48,4,0,52
Westfield,,,17,1,0,18
Westford,,,58,5,0,63
Westminster,-,Windham-4,15,0,0,15
Westminster,-,Windham-5,235,7,0,242
Westmore,,,17,1,0,18
Weston,,,41,1,0,42
Weybridge,,,78,4,0,82
Wheelock,,,20,1,0,21
Whiting,,,22,1,0,23
Whitingham,,,36,0,0,36
Williamstown,,,52,5,0,57
Williston,,,297,12,0,309
Wilmington,,,54,4,0,58
Windham,,,32,2,0,34
Windsor,,,196,8,0,204
Winhall,,,25,4,0,29
Winooski,,,202,3,0,205
Wolcott,,,56,3,0,59
Woodbury,,,54,2,0,56
Woodford,,,15,0,0,15
Woodstock,,,206,2,0,208
Worcester,,,58,0,0,58
TOTALS,,,"23,218","1,313",0,"24,531"
