City/Town,Ward,Pct,"Cheryl Pratt Rivers","Robert W. Backus",Write-Ins,Blanks,"Total Votes Cast"
Springfield,-,"Windsor 1-1",3,1,0,0,4
Springfield,-,"Windsor 1-2",257,101,1,0,359
"St. Albans City",,,75,103,18,0,196
"St. Albans Town",,,45,62,2,0,109
"St. George",,,15,8,0,0,23
"St. Johnsbury",,,65,84,2,0,151
Stamford,,,12,15,0,0,27
Stannard,,,18,2,0,0,20
Starksboro,,,46,49,0,0,95
Stockbridge,,,65,9,1,0,75
Stowe,,,51,97,0,0,148
Strafford,,,58,34,0,0,92
Stratton,,,3,2,0,0,5
Sudbury,,,17,11,0,0,28
Sunderland,,,14,15,1,0,30
Sutton,,,11,10,0,0,21
Swanton,,,52,71,7,0,130
Thetford,,,95,81,1,0,177
Tinmouth,,,28,16,0,0,44
Topsham,,,11,18,0,0,29
Townshend,,,48,22,1,0,71
Troy,,,22,12,1,0,35
Tunbridge,,,39,13,1,0,53
Underhill,,,151,156,4,0,311
Vergennes,,,56,69,6,0,131
Vernon,,,31,45,1,0,77
Vershire,,,27,9,0,0,36
Victory,,,2,4,0,0,6
Waitsfield,,,59,42,1,0,102
Walden,,,35,14,0,0,49
Wallingford,,,48,21,0,0,69
Waltham,,,18,19,0,0,37
Wardsboro,,,15,11,0,0,26
Warren,,,56,30,0,0,86
Washington,,,21,17,0,0,38
Waterbury,,,99,139,4,0,242
Waterford,,,9,15,0,0,24
Waterville,,,8,12,0,0,20
Weathersfield,,,107,62,2,0,171
Wells,,,22,28,0,0,50
"W. Fairlee",,,32,36,1,0,69
"W. Haven",,,4,1,0,0,5
"W. Rutland",,,24,23,0,0,47
"W. Windsor",,,35,27,1,0,63
Westfield,,,10,7,1,0,18
Westford,,,47,31,0,0,78
Westminster,-,Windham-4,13,2,0,0,15
Westminster,-,Windham-5,185,74,3,0,262
Westmore,,,14,7,0,0,21
Weston,,,29,24,0,0,53
Weybridge,,,63,35,0,0,98
Wheelock,,,12,11,0,0,23
Whiting,,,12,12,1,0,25
Whitingham,,,12,26,0,0,38
Williamstown,,,32,42,0,0,74
Williston,,,147,204,5,0,356
Wilmington,,,31,33,1,0,65
Windham,,,21,13,2,0,36
Windsor,,,155,65,1,0,221
Winhall,,,26,9,0,0,35
Winooski,,,60,193,1,0,254
Wolcott,,,33,27,2,0,62
Woodbury,,,35,24,0,0,59
Woodford,,,9,9,0,0,18
Woodstock,,,153,93,0,0,246
Worcester,,,41,23,2,0,66
TOTALS,,,"14,819","12,931",374,0,"28,124"
