City/Town,Ward,Pct,"Elizabeth M. Ready",Write-Ins,Blanks,"Total Votes Cast"
"W. Haven",,,5,0,0,5
"W. Rutland",,,40,0,0,40
"W. Windsor",,,53,1,0,54
Westfield,,,18,1,0,19
Westford,,,55,0,0,55
Westminster,-,Windham-4,14,1,0,15
Westminster,-,Windham-5,216,3,0,219
Westmore,,,20,0,0,20
Weston,,,36,0,0,36
Weybridge,,,81,0,0,81
Wheelock,,,20,0,0,20
Whiting,,,24,0,0,24
Whitingham,,,32,0,0,32
Williamstown,,,61,2,0,63
Williston,,,302,3,0,305
Wilmington,,,54,0,0,54
Windham,,,32,0,0,32
Windsor,,,202,0,0,202
Winhall,,,26,2,0,28
Winooski,,,217,1,0,218
Wolcott,,,50,1,0,51
Woodbury,,,55,0,0,55
Woodford,,,17,0,0,17
Woodstock,,,205,0,0,205
Worcester,,,52,2,0,54
TOTALS,,,"23,692",273,0,"23,965"
