City/Town,Ward,Pct,"Jim Douglas",Write-Ins,Blanks,"Total Votes Cast"
Waterbury,,,99,0,0,99
Waterford,,,52,0,0,52
Waterville,,,37,0,0,37
Weathersfield,,,71,0,0,71
Wells,,,39,2,0,41
"W. Fairlee",,,15,1,0,16
"W. Haven",,,13,1,0,14
"W. Rutland",,,59,0,0,59
"W. Windsor",,,46,0,0,46
Westfield,,,9,0,0,9
Westford,,,49,0,0,49
Westminster,-,Windham-4,6,0,0,6
Westminster,-,Windham-5,60,2,0,62
Westmore,,,3,0,0,3
Weston,,,20,0,0,20
Weybridge,,,24,0,0,24
Wheelock,,,25,1,0,26
Whiting,,,13,0,0,13
Whitingham,,,31,1,0,32
Williamstown,,,65,0,0,65
Williston,,,134,0,0,134
Wilmington,,,58,0,0,58
Windham,,,17,0,0,17
Windsor,,,76,0,0,76
Winhall,,,27,0,0,27
Winooski,,,72,1,0,73
Wolcott,,,12,0,0,12
Woodbury,,,32,1,0,33
Woodford,,,11,0,0,11
Woodstock,,,112,0,0,112
Worcester,,,26,0,0,26
TOTALS,,,"15,806",202,0,"16,008"
