City/Town,Ward,Pct,"Larry Drown",Write-Ins,Blanks,"Total Votes Cast"
Pittsfield,,,71,0,0,71
Pittsford,,,264,0,0,264
Plainfield,,,104,0,0,104
Plymouth,,,74,0,0,74
Pomfret,,,78,0,0,78
Poultney,,,337,0,0,337
Pownal,,,149,0,0,149
Proctor,,,276,0,0,276
Putney,,,106,0,0,106
Randolph,,,421,0,0,421
Reading,,,54,0,0,54
Readsboro,,,59,0,0,59
Richford,,,185,0,0,185
Richmond,,,362,0,0,362
Ripton,,,56,0,0,56
Rochester,,,124,0,0,124
Rockingham,,,252,0,0,252
Roxbury,,,46,0,0,46
Royalton,,,418,0,0,418
Rupert,,,84,0,0,84
"Rutland City",-,"Rutland 6-1 Ward 1",429,0,0,429
"Rutland City",-,"Rutland 6-2 Ward 2",299,0,0,299
"Rutland City",-,"Rutland 6-3 Ward 3a",243,0,0,243
"Rutland City",-,"Rutland 6-3 Ward 3b",159,0,0,159
"Rutland City",-,"Rutland 6-4 Ward 4",280,0,0,280
"Rutland Town",,,708,0,0,708
Ryegate,,,134,0,0,134
Salisbury,,,135,0,0,135
Sandgate,,,46,0,0,46
Searsburg,,,17,0,0,17
Shaftsbury,,,276,0,0,276
Sharon,,,104,0,0,104
Sheffield,,,94,0,0,94
Shelburne,-,"Chittenden 5-1",246,0,0,246
Shelburne,-,"Chittenden 5-3",52,0,0,52
Shelburne,-,"Chittenden 5-4",632,0,0,632
Sheldon,,,128,0,0,128
Sherburne,,,122,0,0,122
Shoreham,,,138,0,0,138
Shrewsbury,,,186,0,0,186
"S. Burlington",-,"Chittenden 7-10",460,0,0,460
"S. Burlington",-,"Chittenden 7-7",129,0,0,129
"S. Burlington",-,"Chittenden 7-8",432,0,0,432
"S. Burlington",-,"Chittenden 7-9",423,0,0,423
"S. Hero",,,215,0,0,215
Springfield,-,"Windsor 1-1",108,0,0,108
Springfield,-,"Windsor 6",413,0,0,413
"St. Albans City",,,442,0,0,442
"St. Albans Town",-,"Franklin 3-1",39,0,0,39
"St. Albans Town",-,"Franklin 3-2",456,0,0,456
"St. George",,,59,0,0,59
"St. Johnsbury",,,689,0,0,689
Stamford,,,38,0,0,38
Stannard,,,16,0,0,16
Starksboro,,,177,0,0,177
Stockbridge,,,68,0,0,68
Stowe,,,719,0,0,719
Strafford,,,98,0,0,98
Stratton,,,42,0,0,42
Sudbury,,,107,0,0,107
Sunderland,,,52,0,0,52
Sutton,,,90,0,0,90
Swanton,,,856,0,0,856
Thetford,,,253,0,0,253
Tinmouth,,,51,0,0,51
Topsham,,,215,0,0,215
Townshend,,,112,0,0,112
Troy,,,116,0,0,116
Tunbridge,,,185,0,0,185
Underhill,,,326,0,0,326
Vergennes,,,200,0,0,200
Vernon,,,281,0,0,281
Vershire,,,84,0,0,84
Victory,,,13,0,0,13
Waitsfield,,,173,0,0,173
Walden,,,106,0,0,106
Wallingford,,,334,0,0,334
Waltham,,,64,0,0,64
Wardsboro,,,101,0,0,101
Warren,,,119,0,0,119
Washington,,,215,0,0,215
Waterbury,,,493,0,0,493
Waterford,,,168,0,0,168
Waterville,,,92,0,0,92
Weathersfield,,,221,0,0,221
Wells,,,53,0,0,53
"W. Fairlee",,,71,0,0,71
"W. Haven",,,31,0,0,31
"W. Rutland",,,193,0,0,193
"W. Windsor",,,101,0,0,101
Westfield,,,69,0,0,69
Westford,,,184,0,0,184
Westminster,,,178,0,0,178
Westmore,,,71,0,0,71
Weston,,,63,0,0,63
Weybridge,,,102,0,0,102
Wheelock,,,83,0,0,83
Whiting,,,47,0,0,47
Whitingham,,,214,0,0,214
Williamstown,,,511,0,0,511
Williston,-,"Chittenden 5-1",142,0,0,142
Williston,-,"Chittenden 5-2",601,0,0,601
Wilmington,,,286,0,0,286
Windham,,,34,0,0,34
Windsor,,,197,0,0,197
Winhall,,,112,0,0,112
Winooski,-,Armory,177,0,0,177
Winooski,-,"St. Francis",196,0,0,196
Wolcott,,,102,0,0,102
Woodbury,,,99,0,0,99
Woodford,,,28,0,0,28
Woodstock,,,308,0,0,308
Worcester,,,124,0,0,124
TOTALS,,,"55,795",0,0,"55,795"
