City/Town,Ward,Pct,"James H. Douglas",Write-Ins,Blanks,"Total Votes Cast"
Danby,,,8,0,0,8
Danville,,,6,0,0,6
Derby,,,81,0,0,81
Dorset,,,3,0,0,3
Dummerston,,,3,0,0,3
Duxbury,,,5,0,0,5
"E. Montpelier",,,10,0,0,10
Eden,,,7,0,0,7
Elmore,,,8,0,0,8
Enosburgh,,,45,0,0,45
Essex,-,"Chittenden 2-1",11,0,0,11
Essex,-,"Chittenden 2-4",12,0,0,12
"Fair Haven",,,2,0,0,2
Fairfax,,,6,0,0,6
Fairfield,,,21,0,0,21
Fairlee,,,2,0,0,2
Fayston,,,1,0,0,1
Fletcher,,,3,0,0,3
Franklin,,,8,0,0,8
Georgia,,,4,0,0,4
Glover,,,10,0,0,10
Goshen,,,1,0,0,1
Grafton,,,5,0,0,5
"Grand Isle",,,12,0,0,12
Granville,,,1,0,0,1
Greensboro,,,3,0,0,3
Groton,,,3,0,0,3
Guildhall,,,1,0,0,1
Guilford,,,6,0,0,6
Halifax,,,4,0,0,4
Hancock,,,10,0,0,10
Hardwick,,,8,0,0,8
Hartford,-,"Windsor 2-1",2,0,0,2
Hartford,-,"Windsor 2-2",30,0,0,30
Hartland,,,15,0,0,15
Highgate,,,16,0,0,16
Hinesburg,,,26,0,0,26
Holland,,,4,0,0,4
Hubbardton,,,1,0,0,1
Huntington,,,5,0,0,5
"Hyde Park",,,15,0,0,15
Irasburg,,,15,0,0,15
Jamaica,,,20,0,0,20
Jay,,,7,0,0,7
Jericho,,,11,0,0,11
Johnson,,,12,0,0,12
Kirby,,,2,0,0,2
Leicester,,,4,0,0,4
Lemington,,,1,0,0,1
Lincoln,,,6,0,0,6
Londonderry,,,7,0,0,7
Lowell,,,5,0,0,5
Ludlow,,,2,0,0,2
Lunenburg,-,"Comm. Hall",3,0,0,3
Lunenburg,-,Gilman,4,0,0,4
Lyndon,,,7,0,0,7
Marlboro,,,2,0,0,2
Marshfield,,,4,0,0,4
Mendon,,,1,0,0,1
Middlebury,,,39,0,0,39
Middlesex,,,3,0,0,3
Milton,-,"Chittenden 2-2",8,0,0,8
Milton,-,"Chittenden 2-3",1,0,0,1
Monkton,,,7,0,0,7
Montgomery,,,2,0,0,2
Montpelier,-,"Washington 5",27,0,0,27
Montpelier,-,"Washington-Lamoille 1-1",1,0,0,1
Moretown,,,3,0,0,3
Morgan,,,1,0,0,1
Morristown,,,21,0,0,21
"Mount Holly",,,3,0,0,3
"Mount Tabor",,,2,0,0,2
"New Haven",,,13,0,0,13
Newark,,,2,0,0,2
Newbury,-,"Center Town House",1,0,0,1
Newbury,-,"Town Office",4,0,0,4
Newbury,-,"West River Village",6,0,0,6
Newfane,,,7,0,0,7
"Newport City",,,42,0,0,42
"Newport Town",,,40,0,0,40
"N. Hero",,,5,0,0,5
Northfield,,,21,0,0,21
Norton,,,1,0,0,1
Norwich,,,10,0,0,10
Orange,,,3,0,0,3
Orwell,,,3,0,0,3
Pawlet,,,2,0,0,2
Peacham,,,3,0,0,3
Peru,,,2,0,0,2
Pittsfield,,,1,0,0,1
Pittsford,,,2,0,0,2
Plainfield,,,1,0,0,1
Pomfret,,,1,0,0,1
Poultney,,,5,0,0,5
Pownal,,,1,0,0,1
Proctor,,,1,0,0,1
Putney,,,11,0,0,11
Randolph,,,25,0,0,25
Reading,,,3,0,0,3
Readsboro,,,3,0,0,3
Richford,,,33,0,0,33
Richmond,,,5,0,0,5
Ripton,,,4,0,0,4
Rochester,,,7,0,0,7
Rockingham,,,150,0,0,150
Roxbury,,,1,0,0,1
Royalton,,,10,0,0,10
Rupert,,,3,0,0,3
"Rutland City",-,"Rutland 6-2 Ward 2",3,0,0,3
"Rutland City",-,"Rutland 6-3 Ward 3a",9,0,0,9
"Rutland City",-,"Rutland 6-3 Ward 3b",3,0,0,3
"Rutland City",-,"Rutland 6-4 Ward 4",4,0,0,4
"Rutland Town",,,8,0,0,8
Ryegate,,,7,0,0,7
Salisbury,,,6,0,0,6
Sandgate,,,1,0,0,1
Searsburg,,,1,0,0,1
Shaftsbury,,,5,0,0,5
Sharon,,,5,0,0,5
Sheffield,,,2,0,0,2
Shelburne,,,32,0,0,32
Sheldon,,,13,0,0,13
Shoreham,,,3,0,0,3
Shrewsbury,,,3,0,0,3
"S. Burlington",-,"Chittenden 7-10",8,0,0,8
"S. Burlington",-,"Chittenden 7-7",4,0,0,4
"S. Burlington",-,"Chittenden 7-8",7,0,0,7
"S. Burlington",-,"Chittenden 7-9",9,0,0,9
"S. Hero",,,12,0,0,12
Springfield,-,"Windsor 1-1",5,0,0,5
Springfield,-,"Windsor 6",15,0,0,15
"St. Albans City",,,81,0,0,81
"St. Albans Town",-,"Franklin 3-1",13,0,0,13
"St. Albans Town",-,"Franklin 3-2",27,0,0,27
"St. George",,,3,0,0,3
"St. Johnsbury",,,20,0,0,20
Stannard,,,1,0,0,1
Starksboro,,,4,0,0,4
Stockbridge,,,1,0,0,1
Strafford,,,2,0,0,2
Sudbury,,,3,0,0,3
Sunderland,,,1,0,0,1
Sutton,,,1,0,0,1
Swanton,,,100,0,0,100
Thetford,,,10,0,0,10
Tinmouth,,,1,0,0,1
Topsham,,,7,0,0,7
Townshend,,,9,0,0,9
Troy,,,4,0,0,4
Tunbridge,,,7,0,0,7
Underhill,,,2,0,0,2
Vergennes,,,20,0,0,20
Vernon,,,2,0,0,2
Vershire,,,2,0,0,2
Waitsfield,,,5,0,0,5
Walden,,,2,0,0,2
Wallingford,,,6,0,0,6
Wardsboro,,,2,0,0,2
Warren,,,1,0,0,1
Washington,,,2,0,0,2
Waterbury,,,26,0,0,26
Waterford,,,2,0,0,2
Weathersfield,,,4,0,0,4
"W. Haven",,,1,0,0,1
"W. Rutland",,,3,0,0,3
"W. Windsor",,,11,0,0,11
Westfield,,,13,0,0,13
Westford,,,3,0,0,3
Westminster,,,18,0,0,18
Westmore,,,14,0,0,14
Weybridge,,,9,0,0,9
Wheelock,,,1,0,0,1
Whiting,,,6,0,0,6
Whitingham,,,3,0,0,3
Williamstown,,,8,0,0,8
Williston,,,22,0,0,22
Wilmington,,,6,0,0,6
Windham,,,2,0,0,2
Windsor,,,6,0,0,6
Winooski,-,Armory,7,0,0,7
Winooski,-,"St. Francis",10,0,0,10
Woodbury,,,2,0,0,2
Woodford,,,1,0,0,1
Woodstock,,,6,0,0,6
Worcester,,,4,0,0,4
TOTALS,,,"2,454",0,0,"2,454"
