City/Town,Ward,Pct,"William H. Sorrell",Write-Ins,Blanks,"Total Votes Cast"
Fairfax,,,136,0,0,136
Fairfield,,,107,0,0,107
Fairlee,,,46,0,0,46
Fayston,,,60,0,0,60
Ferrisburgh,,,113,0,0,113
Fletcher,,,5,0,0,5
Franklin,,,40,0,0,40
Georgia,,,128,0,0,128
Glover,,,52,0,0,52
Goshen,,,10,0,0,10
Grafton,,,69,0,0,69
Granby,,,3,0,0,3
"Grand Isle",,,154,0,0,154
Granville,,,14,0,0,14
Greensboro,,,34,0,0,34
Groton,,,22,0,0,22
Guildhall,,,7,0,0,7
Guilford,,,119,0,0,119
Halifax,,,23,0,0,23
Hancock,,,22,0,0,22
Hardwick,,,109,0,0,109
Hartford,-,"Windsor 2-1",93,0,0,93
Hartford,-,"Windsor 2-2",403,0,0,403
Hartland,,,196,0,0,196
Highgate,,,123,0,0,123
Hinesburg,,,307,0,0,307
Holland,,,16,0,0,16
Hubbardton,,,10,0,0,10
Huntington,,,199,0,0,199
"Hyde Park",,,114,0,0,114
Ira,,,13,0,0,13
Irasburg,,,33,0,0,33
"Isle La Motte",,,20,0,0,20
Jamaica,,,42,0,0,42
Jay,,,20,0,0,20
Jericho,,,325,0,0,325
Johnson,,,96,0,0,96
Kirby,,,19,0,0,19
Landgrove,,,5,0,0,5
Leicester,,,33,0,0,33
Lemington,,,2,0,0,2
Lincoln,,,157,0,0,157
Londonderry,,,58,0,0,58
Lowell,,,28,0,0,28
Ludlow,,,65,0,0,65
Lunenburg,-,"Comm. Hall",18,0,0,18
Lunenburg,-,Gilman,7,0,0,7
Lyndon,,,129,0,0,129
Maidstone,,,1,0,0,1
Manchester,,,91,0,0,91
Marlboro,,,85,0,0,85
Marshfield,,,94,0,0,94
Mendon,,,25,0,0,25
Middlebury,,,350,0,0,350
Middlesex,,,96,0,0,96
"Middletown Springs",,,102,0,0,102
Milton,-,"Chittenden 2-2",242,0,0,242
Milton,-,"Chittenden 2-3",50,0,0,50
Monkton,,,170,0,0,170
Montgomery,,,46,0,0,46
Montpelier,-,"Washington 5",625,0,0,625
Montpelier,-,"Washington-Lamoille 1-1",22,0,0,22
Moretown,,,124,0,0,124
Morgan,,,25,0,0,25
Morristown,,,138,0,0,138
"Mount Holly",,,74,0,0,74
"Mount Tabor",,,8,0,0,8
"New Haven",,,130,0,0,130
Newark,,,30,0,0,30
Newbury,-,"Center Town House",11,0,0,11
Newbury,-,"Town Office",63,0,0,63
Newbury,-,"West River Village",31,0,0,31
Newfane,,,129,0,0,129
"Newport City",,,165,0,0,165
"Newport Town",,,57,0,0,57
"N. Hero",,,36,0,0,36
Northfield,,,308,0,0,308
Norton,,,5,0,0,5
Norwich,,,541,0,0,541
Orange,,,28,0,0,28
Orwell,,,50,0,0,50
Panton,,,37,0,0,37
Pawlet,,,55,0,0,55
Peacham,,,51,0,0,51
Peru,,,18,0,0,18
Pittsfield,,,17,0,0,17
Pittsford,,,81,0,0,81
Plainfield,,,81,0,0,81
Plymouth,,,12,0,0,12
Pomfret,,,67,0,0,67
Poultney,,,183,0,0,183
Pownal,,,49,0,0,49
Proctor,,,151,0,0,151
Putney,,,216,0,0,216
Randolph,,,295,0,0,295
Reading,,,44,0,0,44
Readsboro,,,28,0,0,28
Richford,,,246,0,0,246
Richmond,,,257,0,0,257
Ripton,,,23,0,0,23
Rochester,,,79,0,0,79
Rockingham,,,725,0,0,725
Roxbury,,,37,0,0,37
Royalton,,,221,0,0,221
Rupert,,,37,0,0,37
"Rutland City",-,"Rutland 6-1 Ward 1",170,0,0,170
"Rutland City",-,"Rutland 6-2 Ward 2",115,0,0,115
"Rutland City",-,"Rutland 6-3 Ward 3a",148,0,0,148
"Rutland City",-,"Rutland 6-3 Ward 3b",63,0,0,63
"Rutland City",-,"Rutland 6-4 Ward 4",131,0,0,131
"Rutland Town",,,143,0,0,143
Ryegate,,,31,0,0,31
Salisbury,,,50,0,0,50
Sandgate,,,20,0,0,20
Searsburg,,,4,0,0,4
Shaftsbury,,,93,0,0,93
Sharon,,,75,0,0,75
Sheffield,,,24,0,0,24
Shelburne,-,"Chittenden 5-1",119,0,0,119
Shelburne,-,"Chittenden 5-3",25,0,0,25
Shelburne,-,"Chittenden 5-4",310,0,0,310
Sheldon,,,83,0,0,83
Sherburne,,,16,0,0,16
Shoreham,,,43,0,0,43
Shrewsbury,,,77,0,0,77
"S. Burlington",-,"Chittenden 7-10",273,0,0,273
"S. Burlington",-,"Chittenden 7-7",131,0,0,131
"S. Burlington",-,"Chittenden 7-8",320,0,0,320
"S. Burlington",-,"Chittenden 7-9",279,0,0,279
"S. Hero",,,96,0,0,96
Springfield,-,"Windsor 1-1",133,0,0,133
Springfield,-,"Windsor 6",401,0,0,401
"St. Albans City",,,384,0,0,384
"St. Albans Town",-,"Franklin 3-1",5,0,0,5
"St. Albans Town",-,"Franklin 3-2",311,0,0,311
"St. George",,,43,0,0,43
"St. Johnsbury",,,204,0,0,204
Stamford,,,25,0,0,25
Stannard,,,13,0,0,13
Starksboro,,,150,0,0,150
Stockbridge,,,24,0,0,24
Stowe,,,129,0,0,129
Strafford,,,113,0,0,113
Stratton,,,6,0,0,6
Sudbury,,,40,0,0,40
Sunderland,,,28,0,0,28
Sutton,,,27,0,0,27
Swanton,,,261,0,0,261
Thetford,,,280,0,0,280
Tinmouth,,,23,0,0,23
Topsham,,,35,0,0,35
Townshend,,,66,0,0,66
Troy,,,49,0,0,49
Tunbridge,,,56,0,0,56
Underhill,,,173,0,0,173
Vergennes,,,99,0,0,99
Vernon,,,72,0,0,72
Vershire,,,17,0,0,17
Victory,,,5,0,0,5
Waitsfield,,,107,0,0,107
Walden,,,31,0,0,31
Wallingford,,,140,0,0,140
Waltham,,,19,0,0,19
Wardsboro,,,22,0,0,22
Warren,,,86,0,0,86
Washington,,,35,0,0,35
Waterbury,,,435,0,0,435
Waterford,,,29,0,0,29
Waterville,,,19,0,0,19
Weathersfield,,,146,0,0,146
Wells,,,30,0,0,30
"W. Fairlee",,,31,0,0,31
"W. Haven",,,11,0,0,11
"W. Rutland",,,72,0,0,72
"W. Windsor",,,54,0,0,54
Westfield,,,27,0,0,27
Westford,,,115,0,0,115
Westminster,,,221,0,0,221
Westmore,,,23,0,0,23
Weston,,,29,0,0,29
Weybridge,,,55,0,0,55
Wheelock,,,17,0,0,17
Whiting,,,20,0,0,20
Whitingham,,,27,0,0,27
Williamstown,,,103,0,0,103
Williston,-,"Chittenden 5-1",71,0,0,71
Williston,-,"Chittenden 5-2",304,0,0,304
Wilmington,,,54,0,0,54
Windham,,,50,0,0,50
Windsor,,,240,0,0,240
Winhall,,,10,0,0,10
Winooski,-,Armory,224,0,0,224
Winooski,-,"St. Francis",274,0,0,274
Wolcott,,,55,0,0,55
Woodbury,,,52,0,0,52
Woodford,,,8,0,0,8
Woodstock,,,192,0,0,192
Worcester,,,80,0,0,80
TOTALS,,,"31,205",0,0,"31,205"
