City/Town,Ward,Pct,"William H. Sorrell","Ed Stokes",Write-Ins,Blanks,"Total Votes Cast"
Vernon,,,15,7,0,0,22
Vershire,,,4,3,0,0,7
Victory,,,1,0,0,0,1
Waitsfield,,,5,5,0,0,10
Walden,,,3,1,0,0,4
Wallingford,,,8,4,0,0,12
Waltham,,,7,1,0,0,8
Wardsboro,,,3,0,0,0,3
Warren,,,1,2,0,0,3
Washington,,,3,100,0,0,103
Waterbury,,,17,20,0,0,37
Waterford,,,4,4,0,0,8
Waterville,,,11,15,0,0,26
Weathersfield,,,2,11,0,0,13
Wells,,,0,8,0,0,8
"W. Fairlee",,,1,2,0,0,3
"W. Haven",,,2,0,0,0,2
"W. Rutland",,,2,7,0,0,9
"W. Windsor",,,29,3,0,0,32
Westfield,,,37,0,0,0,37
Westford,,,7,13,0,0,20
Westminster,,,11,16,0,0,27
Westmore,,,23,0,0,0,23
Weston,,,2,2,0,0,4
Weybridge,,,4,0,0,0,4
Wheelock,,,1,2,0,0,3
Whiting,,,4,0,0,0,4
Whitingham,,,2,37,0,0,39
Williamstown,,,21,155,0,0,176
Williston,-,"Chittenden 5-1",13,2,0,0,15
Williston,-,"Chittenden 5-2",25,41,0,0,66
Wilmington,,,6,5,0,0,11
Windham,,,3,1,0,0,4
Windsor,,,0,11,0,0,11
Winhall,,,1,0,0,0,1
Winooski,-,Armory,5,2,0,0,7
Winooski,-,"St. Francis",15,14,0,0,29
Wolcott,,,11,4,0,0,15
Woodbury,,,5,0,0,0,5
Woodford,,,1,0,0,0,1
Woodstock,,,14,15,0,0,29
Worcester,,,7,3,0,0,10
TOTALS,,,"4,283","2,701",0,0,"6,984"
