City/Town,Ward,Pct,"Elizabeth M. Ready",Write-Ins,Blanks,"Total Votes Cast"
"E. Montpelier",,,144,0,0,144
Eden,,,32,0,0,32
Elmore,,,59,0,0,59
Enosburgh,,,332,0,0,332
Essex,-,"Chittenden 2-1",314,0,0,314
Essex,-,"Chittenden 2-3",30,0,0,30
Essex,-,"Chittenden 2-4",384,0,0,384
"Fair Haven",,,63,0,0,63
Fairfax,,,125,0,0,125
Fairfield,,,99,0,0,99
Fairlee,,,44,0,0,44
Fayston,,,54,0,0,54
Ferrisburgh,,,109,0,0,109
Fletcher,,,51,0,0,51
Franklin,,,36,0,0,36
Georgia,,,119,0,0,119
Glover,,,46,0,0,46
Goshen,,,15,0,0,15
Grafton,,,62,0,0,62
Granby,,,3,0,0,3
"Grand Isle",,,141,0,0,141
Granville,,,13,0,0,13
Greensboro,,,35,0,0,35
Groton,,,18,0,0,18
Guildhall,,,7,0,0,7
Guilford,,,115,0,0,115
Halifax,,,22,0,0,22
Hancock,,,15,0,0,15
Hardwick,,,103,0,0,103
Hartford,-,"Windsor 2-1",89,0,0,89
Hartford,-,"Windsor 2-2",390,0,0,390
Hartland,,,183,0,0,183
Highgate,,,115,0,0,115
Hinesburg,,,296,0,0,296
Holland,,,17,0,0,17
Hubbardton,,,10,0,0,10
Huntington,,,197,0,0,197
"Hyde Park",,,113,0,0,113
Ira,,,11,0,0,11
Irasburg,,,29,0,0,29
"Isle La Motte",,,20,0,0,20
Jamaica,,,42,0,0,42
Jay,,,16,0,0,16
Jericho,,,287,0,0,287
Johnson,,,93,0,0,93
Kirby,,,21,0,0,21
Landgrove,,,5,0,0,5
Leicester,,,31,0,0,31
Lemington,,,2,0,0,2
Lincoln,,,159,0,0,159
Londonderry,,,61,0,0,61
Lowell,,,24,0,0,24
Ludlow,,,69,0,0,69
Lunenburg,-,"Comm. Hall",16,0,0,16
Lunenburg,-,Gilman,6,0,0,6
Lyndon,,,123,0,0,123
Maidstone,,,1,0,0,1
Manchester,,,91,0,0,91
Marlboro,,,88,0,0,88
Marshfield,,,95,0,0,95
Mendon,,,23,0,0,23
Middlebury,,,356,0,0,356
Middlesex,,,97,0,0,97
"Middletown Springs",,,104,0,0,104
Milton,-,"Chittenden 2-2",221,0,0,221
Milton,-,"Chittenden 2-3",43,0,0,43
Monkton,,,173,0,0,173
Montgomery,,,43,0,0,43
Montpelier,-,"Washington 5",602,0,0,602
Montpelier,-,"Washington-Lamoille 1-1",24,0,0,24
Moretown,,,117,0,0,117
Morgan,,,23,0,0,23
Morristown,,,133,0,0,133
"Mount Holly",,,73,0,0,73
"Mount Tabor",,,9,0,0,9
"New Haven",,,143,0,0,143
Newark,,,33,0,0,33
Newbury,-,"Center Town House",11,0,0,11
Newbury,-,"Town Office",61,0,0,61
Newbury,-,"West River Village",26,0,0,26
Newfane,,,133,0,0,133
"Newport City",,,151,0,0,151
"Newport Town",,,46,0,0,46
"N. Hero",,,31,0,0,31
Northfield,,,296,0,0,296
Norton,,,5,0,0,5
Norwich,,,528,0,0,528
Orange,,,28,0,0,28
Orwell,,,51,0,0,51
Panton,,,32,0,0,32
Pawlet,,,53,0,0,53
Peacham,,,49,0,0,49
Peru,,,20,0,0,20
Pittsfield,,,17,0,0,17
Pittsford,,,79,0,0,79
Plainfield,,,86,0,0,86
Plymouth,,,13,0,0,13
Pomfret,,,63,0,0,63
Poultney,,,181,0,0,181
Pownal,,,48,0,0,48
Proctor,,,140,0,0,140
Putney,,,212,0,0,212
Randolph,,,281,0,0,281
Reading,,,45,0,0,45
Readsboro,,,27,0,0,27
Richford,,,243,0,0,243
Richmond,,,244,0,0,244
Ripton,,,28,0,0,28
Rochester,,,76,0,0,76
Rockingham,,,704,0,0,704
Roxbury,,,40,0,0,40
Royalton,,,219,0,0,219
Rupert,,,38,0,0,38
"Rutland City",-,"Rutland 6-1 Ward 1",166,0,0,166
"Rutland City",-,"Rutland 6-2 Ward 2",112,0,0,112
"Rutland City",-,"Rutland 6-3 Ward 3a",151,0,0,151
"Rutland City",-,"Rutland 6-3 Ward 3b",61,0,0,61
"Rutland City",-,"Rutland 6-4 Ward 4",121,0,0,121
"Rutland Town",,,143,0,0,143
Ryegate,,,28,0,0,28
Salisbury,,,51,0,0,51
Sandgate,,,21,0,0,21
Searsburg,,,4,0,0,4
Shaftsbury,,,93,0,0,93
Sharon,,,77,0,0,77
Sheffield,,,20,0,0,20
Shelburne,-,"Chittenden 5-1",118,0,0,118
Shelburne,-,"Chittenden 5-3",24,0,0,24
Shelburne,-,"Chittenden 5-4",300,0,0,300
Sheldon,,,79,0,0,79
Sherburne,,,14,0,0,14
Shoreham,,,46,0,0,46
Shrewsbury,,,80,0,0,80
"S. Burlington",-,"Chittenden 7-10",262,0,0,262
"S. Burlington",-,"Chittenden 7-7",124,0,0,124
"S. Burlington",-,"Chittenden 7-8",302,0,0,302
"S. Burlington",-,"Chittenden 7-9",259,0,0,259
"S. Hero",,,91,0,0,91
Springfield,-,"Windsor 1-1",128,0,0,128
Springfield,-,"Windsor 6",391,0,0,391
"St. Albans City",,,363,0,0,363
"St. Albans Town",-,"Franklin 3-1",6,0,0,6
"St. Albans Town",-,"Franklin 3-2",287,0,0,287
"St. George",,,46,0,0,46
"St. Johnsbury",,,194,0,0,194
Stamford,,,24,0,0,24
Stannard,,,12,0,0,12
Starksboro,,,161,0,0,161
Stockbridge,,,23,0,0,23
Stowe,,,121,0,0,121
Strafford,,,106,0,0,106
Stratton,,,6,0,0,6
Sudbury,,,41,0,0,41
Sunderland,,,25,0,0,25
Sutton,,,29,0,0,29
Swanton,,,248,0,0,248
Thetford,,,280,0,0,280
Tinmouth,,,21,0,0,21
Topsham,,,35,0,0,35
Townshend,,,59,0,0,59
Troy,,,45,0,0,45
Tunbridge,,,53,0,0,53
Underhill,,,167,0,0,167
Vergennes,,,92,0,0,92
Vernon,,,67,0,0,67
Vershire,,,18,0,0,18
Victory,,,4,0,0,4
Waitsfield,,,101,0,0,101
Walden,,,30,0,0,30
Wallingford,,,141,0,0,141
Waltham,,,20,0,0,20
Wardsboro,,,22,0,0,22
Warren,,,89,0,0,89
Washington,,,33,0,0,33
Waterbury,,,391,0,0,391
Waterford,,,26,0,0,26
Waterville,,,14,0,0,14
Weathersfield,,,143,0,0,143
Wells,,,33,0,0,33
"W. Fairlee",,,31,0,0,31
"W. Haven",,,11,0,0,11
"W. Rutland",,,68,0,0,68
"W. Windsor",,,52,0,0,52
Westfield,,,24,0,0,24
Westford,,,104,0,0,104
Westminster,,,214,0,0,214
Westmore,,,21,0,0,21
Weston,,,31,0,0,31
Weybridge,,,57,0,0,57
Wheelock,,,19,0,0,19
Whiting,,,20,0,0,20
Whitingham,,,27,0,0,27
Williamstown,,,88,0,0,88
Williston,-,"Chittenden 5-1",67,0,0,67
Williston,-,"Chittenden 5-2",288,0,0,288
Wilmington,,,55,0,0,55
Windham,,,50,0,0,50
Windsor,,,234,0,0,234
Winhall,,,13,0,0,13
Winooski,-,Armory,209,0,0,209
Winooski,-,"St. Francis",255,0,0,255
Wolcott,,,54,0,0,54
Woodbury,,,56,0,0,56
Woodford,,,9,0,0,9
Woodstock,,,184,0,0,184
Worcester,,,79,0,0,79
TOTALS,,,"30,067",0,0,"30,067"
