City/Town,Ward,Pct,"John S. Hall",Write-Ins,Blanks,"Total Votes Cast"
"St. Albans Town",-,"Franklin 3-2",455,0,0,455
"St. George",,,58,0,0,58
"St. Johnsbury",,,792,0,0,792
Stamford,,,38,0,0,38
Stannard,,,19,0,0,19
Starksboro,,,179,0,0,179
Stockbridge,,,63,0,0,63
Stowe,,,724,0,0,724
Strafford,,,95,0,0,95
Stratton,,,40,0,0,40
Sudbury,,,111,0,0,111
Sunderland,,,54,0,0,54
Sutton,,,96,0,0,96
Swanton,,,890,0,0,890
Thetford,,,250,0,0,250
Tinmouth,,,52,0,0,52
Topsham,,,226,0,0,226
Townshend,,,116,0,0,116
Troy,,,123,0,0,123
Tunbridge,,,195,0,0,195
Underhill,,,337,0,0,337
Vergennes,,,202,0,0,202
Vernon,,,278,0,0,278
Vershire,,,78,0,0,78
Victory,,,15,0,0,15
Waitsfield,,,173,0,0,173
Walden,,,111,0,0,111
Wallingford,,,331,0,0,331
Waltham,,,60,0,0,60
Wardsboro,,,101,0,0,101
Warren,,,119,0,0,119
Washington,,,220,0,0,220
Waterbury,,,529,0,0,529
Waterford,,,193,0,0,193
Waterville,,,93,0,0,93
Weathersfield,,,234,0,0,234
Wells,,,53,0,0,53
"W. Fairlee",,,71,0,0,71
"W. Haven",,,33,0,0,33
"W. Rutland",,,194,0,0,194
"W. Windsor",,,100,0,0,100
Westfield,,,74,0,0,74
Westford,,,185,0,0,185
Westminster,,,173,0,0,173
Westmore,,,83,0,0,83
Weston,,,62,0,0,62
Weybridge,,,103,0,0,103
Wheelock,,,96,0,0,96
Whiting,,,49,0,0,49
Whitingham,,,203,0,0,203
Williamstown,,,536,0,0,536
Williston,-,"Chittenden 5-1",137,0,0,137
Williston,-,"Chittenden 5-2",617,0,0,617
Wilmington,,,287,0,0,287
Windham,,,32,0,0,32
Windsor,,,206,0,0,206
Winhall,,,108,0,0,108
Winooski,-,Armory,175,0,0,175
Winooski,-,"St. Francis",191,0,0,191
Wolcott,,,107,0,0,107
Woodbury,,,102,0,0,102
Woodford,,,31,0,0,31
Woodstock,,,308,0,0,308
Worcester,,,124,0,0,124
TOTALS,,,"57,675",0,0,"57,675"
