"county","town","precinct","office","district","party","candidate","votes"
"Rutland","Castleton","Castleton","Auditor General","",,"Thomas M Salmon",1478
"Windsor","Cavendish","Cavendish","Auditor General","",,"Thomas M Salmon",558
"Orleans","Charleston","Charleston","Auditor General","",,"Thomas M Salmon",378
"Chittenden","Charlotte","Charlotte","Auditor General","",,"Thomas M Salmon",1768
"Orange","Chelsea","Chelsea","Auditor General","",,"Thomas M Salmon",522
"Windsor","Chester","Chester","Auditor General","",,"Thomas M Salmon",1351
"Rutland","Chittenden","Chittenden","Auditor General","",,"Thomas M Salmon",602
"Rutland","Clarendon","Clarendon","Auditor General","",,"Thomas M Salmon",1068
"Chittenden","Colchester","Chittenden 7-1","Auditor General","",,"Thomas M Salmon",2806
"Chittenden","Colchester","Chittenden 7-2","Auditor General","",,"Thomas M Salmon",3314
"Essex","Concord","Concord","Auditor General","",,"Thomas M Salmon",453
"Orange","Corinth","Corinth","Auditor General","",,"Thomas M Salmon",504
"Addison","Cornwall","Cornwall","Auditor General","",,"Thomas M Salmon",604
"Orleans","Coventry","Coventry","Auditor General","",,"Thomas M Salmon",406
"Orleans","Craftsbury","Craftsbury","Auditor General","",,"Thomas M Salmon",514
"Rutland","Danby","Danby","Auditor General","",,"Thomas M Salmon",552
"Caledonia","Danville","Danville","Auditor General","",,"Thomas M Salmon",1150
"Orleans","Derby","Derby","Auditor General","",,"Thomas M Salmon",1939
"Bennington","Dorset","Dorset","Auditor General","",,"Thomas M Salmon",985
"Windham","Dover","Dover","Auditor General","",,"Thomas M Salmon",521
"Windham","Dummerston","Dummerston","Auditor General","",,"Thomas M Salmon",878
"Washington","Duxbury","Duxbury","Auditor General","",,"Thomas M Salmon",556
"Essex","East Haven","E. Haven","Auditor General","",,"Thomas M Salmon",118
"Washington","East Montpelier","E. Montpelier","Auditor General","",,"Thomas M Salmon",1303
"Lamoille","Eden","Eden","Auditor General","",,"Thomas M Salmon",370
"Lamoille","Elmore","Elmore","Auditor General","",,"Thomas M Salmon",395
"Franklin","Enosburgh","Enosburgh","Auditor General","",,"Thomas M Salmon",951
"Chittenden","Essex","Chittenden 6-1","Auditor General","",,"Thomas M Salmon",3285
"Chittenden","Essex","Chittenden 6-2","Auditor General","",,"Thomas M Salmon",3758
"Chittenden","Essex","Chittenden 6-3","Auditor General","",,"Thomas M Salmon",1032
"Rutland","Fair Haven","Fair Haven","Auditor General","",,"Thomas M Salmon",1025
"Franklin","Fairfax","Fairfax","Auditor General","",,"Thomas M Salmon",1682
"Franklin","Fairfield","Fairfield","Auditor General","",,"Thomas M Salmon",779
"Orange","Fairlee","Fairlee","Auditor General","",,"Thomas M Salmon",430
"Washington","Fayston","Fayston","Auditor General","",,"Thomas M Salmon",601
"Addison","Ferrisburgh","Ferrisburgh","Auditor General","",,"Thomas M Salmon",1212
"Franklin","Fletcher","Fletcher","Auditor General","",,"Thomas M Salmon",503
"Franklin","Franklin","Franklin","Auditor General","",,"Thomas M Salmon",504
"Franklin","Georgia","Georgia","Auditor General","",,"Thomas M Salmon",1784
"Orleans","Glover","Glover","Auditor General","",,"Thomas M Salmon",471
"Addison","Goshen","Goshen","Auditor General","",,"Thomas M Salmon",92
"Windham","Grafton","Grafton","Auditor General","",,"Thomas M Salmon",305
"Essex","Granby","Granby","Auditor General","",,"Thomas M Salmon",35
"Grand Isle","Grand Isle","Grand Isle","Auditor General","",,"Thomas M Salmon",986
"Addison","Granville","Granville","Auditor General","",,"Thomas M Salmon",121
"Orleans","Greensboro","Greensboro","Auditor General","",,"Thomas M Salmon",361
"Caledonia","Groton","Groton","Auditor General","",,"Thomas M Salmon",365
"Essex","Guildhall","Guildhall","Auditor General","",,"Thomas M Salmon",102
"Windham","Guilford","Guilford","Auditor General","",,"Thomas M Salmon",845
"Windham","Halifax","Halifax","Auditor General","",,"Thomas M Salmon",257
"Addison","Hancock","Hancock","Auditor General","",,"Thomas M Salmon",145
"Caledonia","Hardwick","Hardwick","Auditor General","",,"Thomas M Salmon",1162
"Windsor","Hartford","Windsor 6-1","Auditor General","",,"Thomas M Salmon",917
"Windsor","Hartford","Windsor 6-2","Auditor General","",,"Thomas M Salmon",2964
"Windsor","Hartland","Hartland","Auditor General","",,"Thomas M Salmon",1441
"Franklin","Highgate","Highgate","Auditor General","",,"Thomas M Salmon",1088
"Chittenden","Hinesburg","Chittenden 1-1","Auditor General","",,"Thomas M Salmon",1691
"Chittenden","Hinesburg","Chittenden 1-2","Auditor General","",,"Thomas M Salmon",85
"Orleans","Holland","Holland","Auditor General","",,"Thomas M Salmon",247
"Rutland","Hubbardton","Hubbardton","Auditor General","",,"Thomas M Salmon",283
"Chittenden","Huntington","Huntington","Auditor General","",,"Thomas M Salmon",71
"Lamoille","Hyde Park","Hyde Park","Auditor General","",,"Thomas M Salmon",1180
"Rutland","Ira","Rutland Rutland 1-1","Auditor General","",,"Thomas M Salmon",31
"Rutland","Ira","Rutland Rutland 1-2","Auditor General","",,"Thomas M Salmon",167
"Orleans","Irasburg","Irasburg","Auditor General","",,"Thomas M Salmon",458
"Grand Isle","Isle La Motte","Isle La Motte","Auditor General","",,"Thomas M Salmon",265
"Windham","Jamaica","Jamaica","Auditor General","",,"Thomas M Salmon",367
"Orleans","Jay","Jay","Auditor General","",,"Thomas M Salmon",151
"Chittenden","Jericho","Jericho","Auditor General","",,"Thomas M Salmon",2196
"Lamoille","Johnson","Johnson","Auditor General","",,"Thomas M Salmon",955
"Rutland","Killington","Killington","Auditor General","",,"Thomas M Salmon",458
"Caledonia","Kirby","Kirby","Auditor General","",,"Thomas M Salmon",208
"Bennington","Landgrove","Landgrove","Auditor General","",,"Thomas M Salmon",83
"Addison","Leicester","Leicester","Auditor General","",,"Thomas M Salmon",447
"Essex","Lemington","Lemington","Auditor General","",,"Thomas M Salmon",44
"Addison","Lincoln","Lincoln","Auditor General","",,"Thomas M Salmon",602
"Windham","Londonderry","Londonderry","Auditor General","",,"Thomas M Salmon",727
"Orleans","Lowell","Lowell","Auditor General","",,"Thomas M Salmon",285
"Windsor","Ludlow","Ludlow","Auditor General","",,"Thomas M Salmon",954
"Essex","Lunenburg","Lunenburg","Auditor General","",,"Thomas M Salmon",480
"Caledonia","Lyndon","Lyndon","Auditor General","",,"Thomas M Salmon",1921
"Essex","Maidstone","Maidstone","Auditor General","",,"Thomas M Salmon",80
"Bennington","Manchester","Manchester","Auditor General","",,"Thomas M Salmon",1835
"Windham","Marlboro","Marlboro","Auditor General","",,"Thomas M Salmon",358
"Washington","Marshfield","Marshfield","Auditor General","",,"Thomas M Salmon",668
"Rutland","Mendon","Mendon","Auditor General","",,"Thomas M Salmon",562
"Addison","Middlebury","Middlebury","Auditor General","",,"Thomas M Salmon",2625
"Washington","Middlesex","Middlesex","Auditor General","",,"Thomas M Salmon",797
"Rutland","Middletown Springs","Middletown Springs","Auditor General","",,"Thomas M Salmon",354
"Chittenden","Milton","Chittenden 9","Auditor General","",,"Thomas M Salmon",3336
"Chittenden","Milton","Grand Isle-Chittenden 1-1","Auditor General","",,"Thomas M Salmon",532
"Addison","Monkton","Monkton","Auditor General","",,"Thomas M Salmon",883
"Franklin","Montgomery","Montgomery","Auditor General","",,"Thomas M Salmon",440
"Washington","Montpelier","Montpelier","Auditor General","",,"Thomas M Salmon",3466
"Washington","Moretown","Moretown","Auditor General","",,"Thomas M Salmon",820
"Orleans","Morgan","Morgan","Auditor General","",,"Thomas M Salmon",311
"Lamoille","Morristown","Morristown","Auditor General","",,"Thomas M Salmon",2047
"Rutland","Mount Holly","Mount Holly","Auditor General","",,"Thomas M Salmon",587
"Rutland","Mount Tabor","Mount Tabor","Auditor General","",,"Thomas M Salmon",79
"Addison","New Haven","New Haven","Auditor General","",,"Thomas M Salmon",817
"Caledonia","Newark","Newark","Auditor General","",,"Thomas M Salmon",214
"Orange","Newbury","Newbury","Auditor General","",,"Thomas M Salmon",879
"Windham","Newfane","Newfane","Auditor General","",,"Thomas M Salmon",723
"Orleans","Newport City","Newport City","Auditor General","",,"Thomas M Salmon",1439
"Orleans","Newport Town","Newport Town","Auditor General","",,"Thomas M Salmon",597
"Grand Isle","North Hero","N. Hero","Auditor General","",,"Thomas M Salmon",475
"Washington","Northfield","Northfield","Auditor General","",,"Thomas M Salmon",1900
"Essex","Norton","Norton","Auditor General","",,"Thomas M Salmon",81
"Windsor","Norwich","Norwich","Auditor General","",,"Thomas M Salmon",1660
"Orange","Orange","Orange","Auditor General","",,"Thomas M Salmon",428
"Addison","Orwell","Orwell","Auditor General","",,"Thomas M Salmon",505
"Addison","Panton","Panton","Auditor General","",,"Thomas M Salmon",306
"Rutland","Pawlet","Pawlet","Auditor General","",,"Thomas M Salmon",568
"Caledonia","Peacham","Peacham","Auditor General","",,"Thomas M Salmon",399
"Bennington","Peru","Peru","Auditor General","",,"Thomas M Salmon",162
"Rutland","Pittsfield","Pittsfield","Auditor General","",,"Thomas M Salmon",213
"Rutland","Pittsford","Pittsford","Auditor General","",,"Thomas M Salmon",1260
"Washington","Plainfield","Plainfield","Auditor General","",,"Thomas M Salmon",483
"Windsor","Plymouth","Plymouth","Auditor General","",,"Thomas M Salmon",260
"Windsor","Pomfret","Pomfret","Auditor General","",,"Thomas M Salmon",496
"Rutland","Poultney","Poultney","Auditor General","",,"Thomas M Salmon",1125
"Bennington","Pownal","Pownal","Auditor General","",,"Thomas M Salmon",1225
"Rutland","Proctor","Proctor","Auditor General","",,"Thomas M Salmon",738
"Windham","Putney","Putney","Auditor General","",,"Thomas M Salmon",908
"Orange","Randolph","Randolph","Auditor General","",,"Thomas M Salmon",1804
"Windsor","Reading","Reading","Auditor General","",,"Thomas M Salmon",302
"Bennington","Readsboro","Readsboro","Auditor General","",,"Thomas M Salmon",257
"Franklin","Richford","Richford","Auditor General","",,"Thomas M Salmon",743
"Chittenden","Richmond","Richmond","Auditor General","",,"Thomas M Salmon",1771
"Addison","Ripton","Ripton","Auditor General","",,"Thomas M Salmon",252
"Windsor","Rochester","Rochester","Auditor General","",,"Thomas M Salmon",487
"Windham","Rockingham","Rockingham","Auditor General","",,"Thomas M Salmon",1926
"Washington","Roxbury","Roxbury","Auditor General","",,"Thomas M Salmon",233
"Windsor","Royalton","Royalton","Auditor General","",,"Thomas M Salmon",972
"Bennington","Rupert","Rupert","Auditor General","",,"Thomas M Salmon",245
"Rutland","Rutland City","Rutland 5-1","Auditor General","",,"Thomas M Salmon",1864
"Rutland","Rutland City","Rutland 5-2","Auditor General","",,"Thomas M Salmon",1649
"Rutland","Rutland City","Rutland 5-3","Auditor General","",,"Thomas M Salmon",1113
"Rutland","Rutland City","Rutland 5-4","Auditor General","",,"Thomas M Salmon",1487
"Rutland","Rutland Town","Rutland Town","Auditor General","",,"Thomas M Salmon",2097
"Caledonia","Ryegate","Ryegate","Auditor General","",,"Thomas M Salmon",485
"Addison","Salisbury","Salisbury","Auditor General","",,"Thomas M Salmon",451
"Bennington","Sandgate","Sandgate","Auditor General","",,"Thomas M Salmon",164
"Bennington","Searsburg","Searsburg","Auditor General","",,"Thomas M Salmon",43
"Bennington","Shaftsbury","Shaftsbury","Auditor General","",,"Thomas M Salmon",1562
"Windsor","Sharon","Sharon","Auditor General","",,"Thomas M Salmon",541
"Caledonia","Sheffield","Sheffield","Auditor General","",,"Thomas M Salmon",249
"Chittenden","Shelburne","Chittenden 5-1","Auditor General","",,"Thomas M Salmon",1911
"Chittenden","Shelburne","Chittenden 5-2","Auditor General","",,"Thomas M Salmon",1623
"Franklin","Sheldon","Sheldon","Auditor General","",,"Thomas M Salmon",706
"Addison","Shoreham","Shoreham","Auditor General","",,"Thomas M Salmon",515
"Rutland","Shrewsbury","Shrewsbury","Auditor General","",,"Thomas M Salmon",515
"Chittenden","South Burlington","Chittenden 3-10","Auditor General","",,"Thomas M Salmon",1675
"Chittenden","South Burlington","Chittenden 3-7","Auditor General","",,"Thomas M Salmon",1671
"Chittenden","South Burlington","Chittenden 3-8","Auditor General","",,"Thomas M Salmon",2482
"Chittenden","South Burlington","Chittenden 3-9","Auditor General","",,"Thomas M Salmon",1666
"Grand Isle","South Hero","S. Hero","Auditor General","",,"Thomas M Salmon",945
"Windsor","Springfield","Windsor 1-1","Auditor General","",,"Thomas M Salmon",51
"Windsor","Springfield","Windsor 1-2","Auditor General","",,"Thomas M Salmon",3337
,"Saint  Albans City","St. Albans City","Auditor General","",,"Thomas M Salmon",2182
,"Saint  Albans Town","St. Albans Town","Auditor General","",,"Thomas M Salmon",2514
,"Saint  George","St. George","Auditor General","",,"Thomas M Salmon",277
,"Saint  Johnsbury","St. Johnsbury","Auditor General","",,"Thomas M Salmon",2652
"Bennington","Stamford","Stamford","Auditor General","",,"Thomas M Salmon",320
"Caledonia","Stannard","Stannard","Auditor General","",,"Thomas M Salmon",85
"Addison","Starksboro","Starksboro","Auditor General","",,"Thomas M Salmon",648
"Windsor","Stockbridge","Stockbridge","Auditor General","",,"Thomas M Salmon",311
"Lamoille","Stowe","Stowe","Auditor General","",,"Thomas M Salmon",2050
"Orange","Strafford","Strafford","Auditor General","",,"Thomas M Salmon",530
"Windham","Stratton","Stratton","Auditor General","",,"Thomas M Salmon",105
"Rutland","Sudbury","Sudbury","Auditor General","",,"Thomas M Salmon",274
"Bennington","Sunderland","Sunderland","Auditor General","",,"Thomas M Salmon",377
"Caledonia","Sutton","Sutton","Auditor General","",,"Thomas M Salmon",358
"Franklin","Swanton","Swanton","Auditor General","",,"Thomas M Salmon",2218
"Orange","Thetford","Thetford","Auditor General","",,"Thomas M Salmon",1145
"Rutland","Tinmouth","Tinmouth","Auditor General","",,"Thomas M Salmon",244
"Orange","Topsham","Topsham","Auditor General","",,"Thomas M Salmon",449
"Windham","Townshend","Townshend","Auditor General","",,"Thomas M Salmon",473
"Orleans","Troy","Troy","Auditor General","",,"Thomas M Salmon",538
"Orange","Tunbridge","Tunbridge","Auditor General","",,"Thomas M Salmon",564
"Chittenden","Underhill","Underhill","Auditor General","",,"Thomas M Salmon",1229
"Addison","Vergennes","Vergennes","Auditor General","",,"Thomas M Salmon",969
"Windham","Vernon","Vernon","Auditor General","",,"Thomas M Salmon",872
"Orange","Vershire","Vershire","Auditor General","",,"Thomas M Salmon",258
"Essex","Victory","Victory","Auditor General","",,"Thomas M Salmon",42
"Washington","Waitsfield","Waitsfield","Auditor General","",,"Thomas M Salmon",835
"Caledonia","Walden","Walden","Auditor General","",,"Thomas M Salmon",394
"Rutland","Wallingford","Wallingford","Auditor General","",,"Thomas M Salmon",983
"Addison","Waltham","Waltham","Auditor General","",,"Thomas M Salmon",234
"Windham","Wardsboro","Wardsboro","Auditor General","",,"Thomas M Salmon",291
"Washington","Warren","Warren","Auditor General","",,"Thomas M Salmon",708
"Orange","Washington","Washington","Auditor General","",,"Thomas M Salmon",437
"Washington","Waterbury","Waterbury","Auditor General","",,"Thomas M Salmon",2228
"Caledonia","Waterford","Waterford","Auditor General","",,"Thomas M Salmon",604
"Lamoille","Waterville","Waterville","Auditor General","",,"Thomas M Salmon",261
"Windsor","Weathersfield","Weathersfield","Auditor General","",,"Thomas M Salmon",1197
"Rutland","Wells","Wells","Auditor General","",,"Thomas M Salmon",435
"Orange","West Fairlee","W. Fairlee","Auditor General","",,"Thomas M Salmon",243
"Rutland","West Haven","W. Haven","Auditor General","",,"Thomas M Salmon",122
"Rutland","West Rutland","W. Rutland","Auditor General","",,"Thomas M Salmon",878
"Windsor","West Windsor","W. Windsor","Auditor General","",,"Thomas M Salmon",530
"Orleans","Westfield","Westfield","Auditor General","",,"Thomas M Salmon",231
"Chittenden","Westford","Westford","Auditor General","",,"Thomas M Salmon",797
"Windham","Westminster","Windham 4","Auditor General","",,"Thomas M Salmon",77
"Windham","Westminster","Windham 5","Auditor General","",,"Thomas M Salmon",1204
"Orleans","Westmore","Westmore","Auditor General","",,"Thomas M Salmon",168
"Windsor","Weston","Weston","Auditor General","",,"Thomas M Salmon",323
"Addison","Weybridge","Weybridge","Auditor General","",,"Thomas M Salmon",447
"Caledonia","Wheelock","Wheelock","Auditor General","",,"Thomas M Salmon",302
"Addison","Whiting","Whiting","Auditor General","",,"Thomas M Salmon",177
"Windham","Whitingham","Whitingham","Auditor General","",,"Thomas M Salmon",464
"Orange","Williamstown","Williamstown","Auditor General","",,"Thomas M Salmon",1269
"Chittenden","Williston","Williston","Auditor General","",,"Thomas M Salmon",3984
"Windham","Wilmington","Wilmington","Auditor General","",,"Thomas M Salmon",770
"Windham","Windham","Windham","Auditor General","",,"Thomas M Salmon",173
"Windsor","Windsor","Windsor","Auditor General","",,"Thomas M Salmon",1285
"Bennington","Winhall","Winhall","Auditor General","",,"Thomas M Salmon",397
"Chittenden","Winooski","Winooski","Auditor General","",,"Thomas M Salmon",1934
"Lamoille","Wolcott","Wolcott","Auditor General","",,"Thomas M Salmon",614
"Washington","Woodbury","Woodbury","Auditor General","",,"Thomas M Salmon",398
"Bennington","Woodford","Woodford","Auditor General","",,"Thomas M Salmon",136
"Windsor","Woodstock","Woodstock","Auditor General","",,"Thomas M Salmon",1560
"Washington","Worcester","Worcester","Auditor General","",,"Thomas M Salmon",426
"Addison","Addison","Addison","Auditor General","","Progressive","Martha Abbott",63
"Orleans","Albany","Albany","Auditor General","","Progressive","Martha Abbott",48
"Grand Isle","Alburgh","Alburgh","Auditor General","","Progressive","Martha Abbott",80
"Windsor","Andover","Andover","Auditor General","","Progressive","Martha Abbott",24
"Bennington","Arlington","Arlington","Auditor General","","Progressive","Martha Abbott",114
"Windham","Athens","Athens","Auditor General","","Progressive","Martha Abbott",12
"Franklin","Bakersfield","Bakersfield","Auditor General","","Progressive","Martha Abbott",89
"Windsor","Baltimore","Baltimore","Auditor General","","Progressive","Martha Abbott",8
"Windsor","Barnard","Barnard","Auditor General","","Progressive","Martha Abbott",45
"Caledonia","Barnet","Barnet","Auditor General","","Progressive","Martha Abbott",66
"Washington","Barre City","Washington 3-1","Auditor General","","Progressive","Martha Abbott",158
"Washington","Barre City","Washington 3-2","Auditor General","","Progressive","Martha Abbott",139
"Washington","Barre City","Washington 3-3","Auditor General","","Progressive","Martha Abbott",36
"Washington","Barre Town","Barre Town","Auditor General","","Progressive","Martha Abbott",232
"Orleans","Barton","Barton","Auditor General","","Progressive","Martha Abbott",88
"Lamoille","Belvidere","Belvidere","Auditor General","","Progressive","Martha Abbott",16
"Bennington","Bennington","Bennington 2-1","Auditor General","","Progressive","Martha Abbott",327
"Bennington","Bennington","Bennington 2-2","Auditor General","","Progressive","Martha Abbott",347
"Bennington","Bennington","Bennington 5","Auditor General","","Progressive","Martha Abbott",5
"Rutland","Benson","Benson","Auditor General","","Progressive","Martha Abbott",67
"Franklin","Berkshire","Berkshire","Auditor General","","Progressive","Martha Abbott",79
"Washington","Berlin","Berlin","Auditor General","","Progressive","Martha Abbott",107
"Windsor","Bethel","Bethel","Auditor General","","Progressive","Martha Abbott",127
"Essex","Bloomfield","Bloomfield","Auditor General","","Progressive","Martha Abbott",10
"Chittenden","Bolton","Bolton","Auditor General","","Progressive","Martha Abbott",113
"Orange","Bradford","Bradford","Auditor General","","Progressive","Martha Abbott",91
"Orange","Braintree","Braintree","Auditor General","","Progressive","Martha Abbott",61
"Rutland","Brandon","Brandon","Auditor General","","Progressive","Martha Abbott",168
"Windham","Brattleboro","Windham 3-1","Auditor General","","Progressive","Martha Abbott",235
"Windham","Brattleboro","Windham 3-2","Auditor General","","Progressive","Martha Abbott",209
"Windham","Brattleboro","Windham 3-3","Auditor General","","Progressive","Martha Abbott",294
"Windsor","Bridgewater","Bridgewater","Auditor General","","Progressive","Martha Abbott",55
"Addison","Bridport","Bridport","Auditor General","","Progressive","Martha Abbott",52
"Essex","Brighton","Brighton","Auditor General","","Progressive","Martha Abbott",53
"Addison","Bristol","Bristol","Auditor General","","Progressive","Martha Abbott",269
"Orange","Brookfield","Brookfield","Auditor General","","Progressive","Martha Abbott",68
"Windham","Brookline","Brookline","Auditor General","","Progressive","Martha Abbott",21
"Orleans","Brownington","Brownington","Auditor General","","Progressive","Martha Abbott",39
"Essex","Brunswick","Brunswick","Auditor General","","Progressive","Martha Abbott",7
"Caledonia","Burke","Burke","Auditor General","","Progressive","Martha Abbott",42
"Chittenden","Burlington","Chittenden 3-1","Auditor General","","Progressive","Martha Abbott",489
"Chittenden","Burlington","Chittenden 3-2","Auditor General","","Progressive","Martha Abbott",413
"Chittenden","Burlington","Chittenden 3-3","Auditor General","","Progressive","Martha Abbott",1182
"Chittenden","Burlington","Chittenden 3-4","Auditor General","","Progressive","Martha Abbott",1154
"Chittenden","Burlington","Chittenden 3-5","Auditor General","","Progressive","Martha Abbott",1039
"Chittenden","Burlington","Chittenden 3-6","Auditor General","","Progressive","Martha Abbott",143
"Washington","Cabot","Cabot","Auditor General","","Progressive","Martha Abbott",138
"Washington","Calais","Calais","Auditor General","","Progressive","Martha Abbott",133
"Lamoille","Cambridge","Cambridge","Auditor General","","Progressive","Martha Abbott",318
"Essex","Canaan","Canaan","Auditor General","","Progressive","Martha Abbott",43
"Rutland","Castleton","Castleton","Auditor General","","Progressive","Martha Abbott",188
"Windsor","Cavendish","Cavendish","Auditor General","","Progressive","Martha Abbott",47
"Orleans","Charleston","Charleston","Auditor General","","Progressive","Martha Abbott",46
"Chittenden","Charlotte","Charlotte","Auditor General","","Progressive","Martha Abbott",312
"Orange","Chelsea","Chelsea","Auditor General","","Progressive","Martha Abbott",68
"Windsor","Chester","Chester","Auditor General","","Progressive","Martha Abbott",138
"Rutland","Chittenden","Chittenden","Auditor General","","Progressive","Martha Abbott",41
"Rutland","Clarendon","Clarendon","Auditor General","","Progressive","Martha Abbott",79
"Chittenden","Colchester","Chittenden 7-1","Auditor General","","Progressive","Martha Abbott",410
"Chittenden","Colchester","Chittenden 7-2","Auditor General","","Progressive","Martha Abbott",433
"Essex","Concord","Concord","Auditor General","","Progressive","Martha Abbott",39
"Orange","Corinth","Corinth","Auditor General","","Progressive","Martha Abbott",74
"Addison","Cornwall","Cornwall","Auditor General","","Progressive","Martha Abbott",49
"Orleans","Coventry","Coventry","Auditor General","","Progressive","Martha Abbott",29
"Orleans","Craftsbury","Craftsbury","Auditor General","","Progressive","Martha Abbott",99
"Rutland","Danby","Danby","Auditor General","","Progressive","Martha Abbott",101
"Caledonia","Danville","Danville","Auditor General","","Progressive","Martha Abbott",82
"Orleans","Derby","Derby","Auditor General","","Progressive","Martha Abbott",138
"Bennington","Dorset","Dorset","Auditor General","","Progressive","Martha Abbott",95
"Windham","Dover","Dover","Auditor General","","Progressive","Martha Abbott",59
"Windham","Dummerston","Dummerston","Auditor General","","Progressive","Martha Abbott",101
"Washington","Duxbury","Duxbury","Auditor General","","Progressive","Martha Abbott",112
"Essex","East Haven","E. Haven","Auditor General","","Progressive","Martha Abbott",18
"Washington","East Montpelier","E. Montpelier","Auditor General","","Progressive","Martha Abbott",175
"Lamoille","Eden","Eden","Auditor General","","Progressive","Martha Abbott",69
"Lamoille","Elmore","Elmore","Auditor General","","Progressive","Martha Abbott",57
"Franklin","Enosburgh","Enosburgh","Auditor General","","Progressive","Martha Abbott",131
"Chittenden","Essex","Chittenden 6-1","Auditor General","","Progressive","Martha Abbott",525
"Chittenden","Essex","Chittenden 6-2","Auditor General","","Progressive","Martha Abbott",561
"Chittenden","Essex","Chittenden 6-3","Auditor General","","Progressive","Martha Abbott",208
"Rutland","Fair Haven","Fair Haven","Auditor General","","Progressive","Martha Abbott",98
"Franklin","Fairfax","Fairfax","Auditor General","","Progressive","Martha Abbott",275
"Franklin","Fairfield","Fairfield","Auditor General","","Progressive","Martha Abbott",100
"Orange","Fairlee","Fairlee","Auditor General","","Progressive","Martha Abbott",51
"Washington","Fayston","Fayston","Auditor General","","Progressive","Martha Abbott",84
"Addison","Ferrisburgh","Ferrisburgh","Auditor General","","Progressive","Martha Abbott",150
