"county","town","precinct","office","district","party","candidate","votes"
"Chittenden","South Burlington","Chittenden 3-8","Auditor General","","Republican","Randy Brock",1252
"Chittenden","South Burlington","Chittenden 3-9","Auditor General","","Republican","Randy Brock",831
"Grand Isle","South Hero","S. Hero","Auditor General","","Republican","Randy Brock",489
"Windsor","Springfield","Windsor 1-1","Auditor General","","Republican","Randy Brock",20
"Windsor","Springfield","Windsor 1-2","Auditor General","","Republican","Randy Brock",1159
,"Saint  Albans City","St. Albans City","Auditor General","","Republican","Randy Brock",1199
,"Saint  Albans Town","St. Albans Town","Auditor General","","Republican","Randy Brock",1458
,"Saint  George","St. George","Auditor General","","Republican","Randy Brock",130
,"Saint  Johnsbury","St. Johnsbury","Auditor General","","Republican","Randy Brock",1236
"Bennington","Stamford","Stamford","Auditor General","","Republican","Randy Brock",99
"Caledonia","Stannard","Stannard","Auditor General","","Republican","Randy Brock",42
"Addison","Starksboro","Starksboro","Auditor General","","Republican","Randy Brock",296
"Windsor","Stockbridge","Stockbridge","Auditor General","","Republican","Randy Brock",138
"Lamoille","Stowe","Stowe","Auditor General","","Republican","Randy Brock",1071
"Orange","Strafford","Strafford","Auditor General","","Republican","Randy Brock",150
"Windham","Stratton","Stratton","Auditor General","","Republican","Randy Brock",57
"Rutland","Sudbury","Sudbury","Auditor General","","Republican","Randy Brock",126
"Bennington","Sunderland","Sunderland","Auditor General","","Republican","Randy Brock",124
"Caledonia","Sutton","Sutton","Auditor General","","Republican","Randy Brock",218
"Franklin","Swanton","Swanton","Auditor General","","Republican","Randy Brock",1449
"Orange","Thetford","Thetford","Auditor General","","Republican","Randy Brock",336
"Rutland","Tinmouth","Tinmouth","Auditor General","","Republican","Randy Brock",125
"Orange","Topsham","Topsham","Auditor General","","Republican","Randy Brock",234
"Windham","Townshend","Townshend","Auditor General","","Republican","Randy Brock",213
"Orleans","Troy","Troy","Auditor General","","Republican","Randy Brock",228
"Orange","Tunbridge","Tunbridge","Auditor General","","Republican","Randy Brock",296
"Chittenden","Underhill","Underhill","Auditor General","","Republican","Randy Brock",651
"Addison","Vergennes","Vergennes","Auditor General","","Republican","Randy Brock",456
"Windham","Vernon","Vernon","Auditor General","","Republican","Randy Brock",406
"Orange","Vershire","Vershire","Auditor General","","Republican","Randy Brock",87
"Essex","Victory","Victory","Auditor General","","Republican","Randy Brock",23
"Washington","Waitsfield","Waitsfield","Auditor General","","Republican","Randy Brock",377
"Caledonia","Walden","Walden","Auditor General","","Republican","Randy Brock",190
"Rutland","Wallingford","Wallingford","Auditor General","","Republican","Randy Brock",488
"Addison","Waltham","Waltham","Auditor General","","Republican","Randy Brock",124
"Windham","Wardsboro","Wardsboro","Auditor General","","Republican","Randy Brock",120
"Washington","Warren","Warren","Auditor General","","Republican","Randy Brock",324
"Orange","Washington","Washington","Auditor General","","Republican","Randy Brock",221
"Washington","Waterbury","Waterbury","Auditor General","","Republican","Randy Brock",1087
"Caledonia","Waterford","Waterford","Auditor General","","Republican","Randy Brock",330
"Lamoille","Waterville","Waterville","Auditor General","","Republican","Randy Brock",132
"Windsor","Weathersfield","Weathersfield","Auditor General","","Republican","Randy Brock",460
"Rutland","Wells","Wells","Auditor General","","Republican","Randy Brock",218
"Orange","West Fairlee","W. Fairlee","Auditor General","","Republican","Randy Brock",87
"Rutland","West Haven","W. Haven","Auditor General","","Republican","Randy Brock",64
"Rutland","West Rutland","W. Rutland","Auditor General","","Republican","Randy Brock",386
"Windsor","West Windsor","W. Windsor","Auditor General","","Republican","Randy Brock",221
"Orleans","Westfield","Westfield","Auditor General","","Republican","Randy Brock",104
"Chittenden","Westford","Westford","Auditor General","","Republican","Randy Brock",414
"Windham","Westminster","Windham 4","Auditor General","","Republican","Randy Brock",10
"Windham","Westminster","Windham 5","Auditor General","","Republican","Randy Brock",180
"Orleans","Westmore","Westmore","Auditor General","","Republican","Randy Brock",83
"Windsor","Weston","Weston","Auditor General","","Republican","Randy Brock",144
"Addison","Weybridge","Weybridge","Auditor General","","Republican","Randy Brock",235
"Caledonia","Wheelock","Wheelock","Auditor General","","Republican","Randy Brock",139
"Addison","Whiting","Whiting","Auditor General","","Republican","Randy Brock",92
"Windham","Whitingham","Whitingham","Auditor General","","Republican","Randy Brock",197
"Orange","Williamstown","Williamstown","Auditor General","","Republican","Randy Brock",719
"Chittenden","Williston","Williston","Auditor General","","Republican","Randy Brock",2205
"Windham","Wilmington","Wilmington","Auditor General","","Republican","Randy Brock",301
"Windham","Windham","Windham","Auditor General","","Republican","Randy Brock",48
"Windsor","Windsor","Windsor","Auditor General","","Republican","Randy Brock",382
"Bennington","Winhall","Winhall","Auditor General","","Republican","Randy Brock",169
"Chittenden","Winooski","Winooski","Auditor General","","Republican","Randy Brock",729
"Lamoille","Wolcott","Wolcott","Auditor General","","Republican","Randy Brock",296
"Washington","Woodbury","Woodbury","Auditor General","","Republican","Randy Brock",185
"Bennington","Woodford","Woodford","Auditor General","","Republican","Randy Brock",34
"Windsor","Woodstock","Woodstock","Auditor General","","Republican","Randy Brock",593
"Washington","Worcester","Worcester","Auditor General","","Republican","Randy Brock",181
"Addison","Addison","Addison","Auditor General","",,"Thomas M Salmon",215
"Orleans","Albany","Albany","Auditor General","",,"Thomas M Salmon",163
"Grand Isle","Alburgh","Alburgh","Auditor General","",,"Thomas M Salmon",308
"Windsor","Andover","Andover","Auditor General","",,"Thomas M Salmon",125
"Bennington","Arlington","Arlington","Auditor General","",,"Thomas M Salmon",576
"Windham","Athens","Athens","Auditor General","",,"Thomas M Salmon",59
"Franklin","Bakersfield","Bakersfield","Auditor General","",,"Thomas M Salmon",185
"Windsor","Baltimore","Baltimore","Auditor General","",,"Thomas M Salmon",38
"Windsor","Barnard","Barnard","Auditor General","",,"Thomas M Salmon",229
"Caledonia","Barnet","Barnet","Auditor General","",,"Thomas M Salmon",318
"Washington","Barre City","Washington 3-1","Auditor General","",,"Thomas M Salmon",622
"Washington","Barre City","Washington 3-2","Auditor General","",,"Thomas M Salmon",563
"Washington","Barre City","Washington 3-3","Auditor General","",,"Thomas M Salmon",95
"Washington","Barre Town","Barre Town","Auditor General","",,"Thomas M Salmon",1228
"Orleans","Barton","Barton","Auditor General","",,"Thomas M Salmon",367
"Lamoille","Belvidere","Belvidere","Auditor General","",,"Thomas M Salmon",52
"Bennington","Bennington","Bennington 2-1","Auditor General","",,"Thomas M Salmon",1237
"Bennington","Bennington","Bennington 2-1 Nb","Auditor General","",,"Thomas M Salmon",323
"Bennington","Bennington","Bennington 2-2","Auditor General","",,"Thomas M Salmon",1513
"Bennington","Bennington","Bennington 5","Auditor General","",,"Thomas M Salmon",16
"Rutland","Benson","Benson","Auditor General","",,"Thomas M Salmon",163
"Franklin","Berkshire","Berkshire","Auditor General","",,"Thomas M Salmon",191
"Washington","Berlin","Berlin","Auditor General","",,"Thomas M Salmon",401
"Windsor","Bethel","Bethel","Auditor General","",,"Thomas M Salmon",369
"Essex","Bloomfield","Bloomfield","Auditor General","",,"Thomas M Salmon",39
"Chittenden","Bolton","Bolton","Auditor General","",,"Thomas M Salmon",185
"Orange","Bradford","Bradford","Auditor General","",,"Thomas M Salmon",420
"Orange","Braintree","Braintree","Auditor General","",,"Thomas M Salmon",196
"Rutland","Brandon","Brandon","Auditor General","",,"Thomas M Salmon",711
"Windham","Brattleboro","Windham 3-1","Auditor General","",,"Thomas M Salmon",1006
"Windham","Brattleboro","Windham 3-2","Auditor General","",,"Thomas M Salmon",827
"Windham","Brattleboro","Windham 3-3","Auditor General","",,"Thomas M Salmon",835
"Windsor","Bridgewater","Bridgewater","Auditor General","",,"Thomas M Salmon",202
"Addison","Bridport","Bridport","Auditor General","",,"Thomas M Salmon",198
"Essex","Brighton","Brighton","Auditor General","",,"Thomas M Salmon",226
"Addison","Bristol","Bristol","Auditor General","",,"Thomas M Salmon",640
"Orange","Brookfield","Brookfield","Auditor General","",,"Thomas M Salmon",240
"Windham","Brookline","Brookline","Auditor General","",,"Thomas M Salmon",118
"Orleans","Brownington","Brownington","Auditor General","",,"Thomas M Salmon",90
"Essex","Brunswick","Brunswick","Auditor General","",,"Thomas M Salmon",13
"Caledonia","Burke","Burke","Auditor General","",,"Thomas M Salmon",274
"Chittenden","Burlington","Chittenden 3-1","Auditor General","",,"Thomas M Salmon",1446
"Chittenden","Burlington","Chittenden 3-2","Auditor General","",,"Thomas M Salmon",744
"Chittenden","Burlington","Chittenden 3-3","Auditor General","",,"Thomas M Salmon",1325
"Chittenden","Burlington","Chittenden 3-4","Auditor General","",,"Thomas M Salmon",782
"Chittenden","Burlington","Chittenden 3-5","Auditor General","",,"Thomas M Salmon",1737
"Chittenden","Burlington","Chittenden 3-6","Auditor General","",,"Thomas M Salmon",261
"Washington","Cabot","Cabot","Auditor General","",,"Thomas M Salmon",249
"Washington","Calais","Calais","Auditor General","",,"Thomas M Salmon",370
"Lamoille","Cambridge","Cambridge","Auditor General","",,"Thomas M Salmon",585
"Essex","Canaan","Canaan","Auditor General","",,"Thomas M Salmon",159
"Rutland","Castleton","Castleton","Auditor General","",,"Thomas M Salmon",616
"Windsor","Cavendish","Cavendish","Auditor General","",,"Thomas M Salmon",277
"Orleans","Charleston","Charleston","Auditor General","",,"Thomas M Salmon",144
"Chittenden","Charlotte","Charlotte","Auditor General","",,"Thomas M Salmon",872
"Orange","Chelsea","Chelsea","Auditor General","",,"Thomas M Salmon",192
"Windsor","Chester","Chester","Auditor General","",,"Thomas M Salmon",854
"Rutland","Chittenden","Chittenden","Auditor General","",,"Thomas M Salmon",240
"Rutland","Clarendon","Clarendon","Auditor General","",,"Thomas M Salmon",424
"Chittenden","Colchester","Chittenden 7-1","Auditor General","",,"Thomas M Salmon",1089
"Chittenden","Colchester","Chittenden 7-2","Auditor General","",,"Thomas M Salmon",1359
"Essex","Concord","Concord","Auditor General","",,"Thomas M Salmon",152
"Orange","Corinth","Corinth","Auditor General","",,"Thomas M Salmon",256
"Addison","Cornwall","Cornwall","Auditor General","",,"Thomas M Salmon",281
"Orleans","Coventry","Coventry","Auditor General","",,"Thomas M Salmon",124
"Orleans","Craftsbury","Craftsbury","Auditor General","",,"Thomas M Salmon",258
"Rutland","Danby","Danby","Auditor General","",,"Thomas M Salmon",275
"Caledonia","Danville","Danville","Auditor General","",,"Thomas M Salmon",458
"Orleans","Derby","Derby","Auditor General","",,"Thomas M Salmon",664
"Bennington","Dorset","Dorset","Auditor General","",,"Thomas M Salmon",479
"Windham","Dover","Dover","Auditor General","",,"Thomas M Salmon",241
"Windham","Dummerston","Dummerston","Auditor General","",,"Thomas M Salmon",554
"Washington","Duxbury","Duxbury","Auditor General","",,"Thomas M Salmon",221
"Essex","East Haven","E. Haven","Auditor General","",,"Thomas M Salmon",52
"Washington","East Montpelier","E. Montpelier","Auditor General","",,"Thomas M Salmon",583
"Lamoille","Eden","Eden","Auditor General","",,"Thomas M Salmon",153
