"county","town","precinct","office","district","party","candidate","votes"
"Orange","Chelsea","Chelsea","Auditor General","",,"Thomas M Salmon",334
"Windsor","Chester","Chester","Auditor General","",,"Thomas M Salmon",596
"Rutland","Chittenden","Chittenden","Auditor General","",,"Thomas M Salmon",315
"Rutland","Clarendon","Clarendon","Auditor General","",,"Thomas M Salmon",635
"Chittenden","Colchester","Chittenden 7-1","Auditor General","",,"Thomas M Salmon",1421
"Chittenden","Colchester","Chittenden 7-2","Auditor General","",,"Thomas M Salmon",1805
"Essex","Concord","Concord","Auditor General","",,"Thomas M Salmon",295
"Orange","Corinth","Corinth","Auditor General","",,"Thomas M Salmon",225
"Addison","Cornwall","Cornwall","Auditor General","",,"Thomas M Salmon",266
"Orleans","Coventry","Coventry","Auditor General","",,"Thomas M Salmon",228
"Orleans","Craftsbury","Craftsbury","Auditor General","",,"Thomas M Salmon",251
"Rutland","Danby","Danby","Auditor General","",,"Thomas M Salmon",290
"Caledonia","Danville","Danville","Auditor General","",,"Thomas M Salmon",657
"Orleans","Derby","Derby","Auditor General","",,"Thomas M Salmon",1175
"Bennington","Dorset","Dorset","Auditor General","",,"Thomas M Salmon",479
"Windham","Dover","Dover","Auditor General","",,"Thomas M Salmon",304
"Windham","Dummerston","Dummerston","Auditor General","",,"Thomas M Salmon",357
"Washington","Duxbury","Duxbury","Auditor General","",,"Thomas M Salmon",287
"Essex","East Haven","E. Haven","Auditor General","",,"Thomas M Salmon",71
"Washington","East Montpelier","E. Montpelier","Auditor General","",,"Thomas M Salmon",557
"Lamoille","Eden","Eden","Auditor General","",,"Thomas M Salmon",221
"Lamoille","Elmore","Elmore","Auditor General","",,"Thomas M Salmon",206
"Franklin","Enosburgh","Enosburgh","Auditor General","",,"Thomas M Salmon",608
"Chittenden","Essex","Chittenden 6-1","Auditor General","",,"Thomas M Salmon",1910
"Chittenden","Essex","Chittenden 6-2","Auditor General","",,"Thomas M Salmon",2154
"Chittenden","Essex","Chittenden 6-3","Auditor General","",,"Thomas M Salmon",642
"Rutland","Fair Haven","Fair Haven","Auditor General","",,"Thomas M Salmon",551
"Franklin","Fairfax","Fairfax","Auditor General","",,"Thomas M Salmon",971
"Franklin","Fairfield","Fairfield","Auditor General","",,"Thomas M Salmon",453
"Orange","Fairlee","Fairlee","Auditor General","",,"Thomas M Salmon",172
"Washington","Fayston","Fayston","Auditor General","",,"Thomas M Salmon",268
"Addison","Ferrisburgh","Ferrisburgh","Auditor General","",,"Thomas M Salmon",654
"Franklin","Fletcher","Fletcher","Auditor General","",,"Thomas M Salmon",242
"Franklin","Franklin","Franklin","Auditor General","",,"Thomas M Salmon",334
"Franklin","Georgia","Georgia","Auditor General","",,"Thomas M Salmon",1132
"Orleans","Glover","Glover","Auditor General","",,"Thomas M Salmon",279
"Addison","Goshen","Goshen","Auditor General","",,"Thomas M Salmon",40
"Windham","Grafton","Grafton","Auditor General","",,"Thomas M Salmon",158
"Essex","Granby","Granby","Auditor General","",,"Thomas M Salmon",28
"Grand Isle","Grand Isle","Grand Isle","Auditor General","",,"Thomas M Salmon",571
"Addison","Granville","Granville","Auditor General","",,"Thomas M Salmon",50
"Orleans","Greensboro","Greensboro","Auditor General","",,"Thomas M Salmon",153
"Caledonia","Groton","Groton","Auditor General","",,"Thomas M Salmon",251
"Essex","Guildhall","Guildhall","Auditor General","",,"Thomas M Salmon",79
"Windham","Guilford","Guilford","Auditor General","",,"Thomas M Salmon",302
"Windham","Halifax","Halifax","Auditor General","",,"Thomas M Salmon",129
"Addison","Hancock","Hancock","Auditor General","",,"Thomas M Salmon",69
"Caledonia","Hardwick","Hardwick","Auditor General","",,"Thomas M Salmon",617
"Windsor","Hartford","Windsor 6-1","Auditor General","",,"Thomas M Salmon",422
"Windsor","Hartford","Windsor 6-2","Auditor General","",,"Thomas M Salmon",1137
"Windsor","Hartland","Hartland","Auditor General","",,"Thomas M Salmon",658
"Franklin","Highgate","Highgate","Auditor General","",,"Thomas M Salmon",624
"Chittenden","Hinesburg","Chittenden 1-1","Auditor General","",,"Thomas M Salmon",827
"Chittenden","Hinesburg","Chittenden 1-2","Auditor General","",,"Thomas M Salmon",40
"Orleans","Holland","Holland","Auditor General","",,"Thomas M Salmon",132
"Rutland","Hubbardton","Hubbardton","Auditor General","",,"Thomas M Salmon",157
"Chittenden","Huntington","Huntington","Auditor General","",,"Thomas M Salmon",363
"Lamoille","Hyde Park","Hyde Park","Auditor General","",,"Thomas M Salmon",651
"Rutland","Ira","Rutland 1-1","Auditor General","",,"Thomas M Salmon",18
"Rutland","Ira","Rutland 1-2","Auditor General","",,"Thomas M Salmon",94
"Orleans","Irasburg","Irasburg","Auditor General","",,"Thomas M Salmon",283
"Grand Isle","Isle La Motte","Isle La Motte","Auditor General","",,"Thomas M Salmon",159
"Windham","Jamaica","Jamaica","Auditor General","",,"Thomas M Salmon",173
"Orleans","Jay","Jay","Auditor General","",,"Thomas M Salmon",86
"Chittenden","Jericho","Jericho","Auditor General","",,"Thomas M Salmon",1228
"Lamoille","Johnson","Johnson","Auditor General","",,"Thomas M Salmon",463
"Rutland","Killington","Killington","Auditor General","",,"Thomas M Salmon",276
"Caledonia","Kirby","Kirby","Auditor General","",,"Thomas M Salmon",124
"Bennington","Landgrove","Landgrove","Auditor General","",,"Thomas M Salmon",41
"Addison","Leicester","Leicester","Auditor General","",,"Thomas M Salmon",220
"Essex","Lemington","Lemington","Auditor General","",,"Thomas M Salmon",29
"Addison","Lincoln","Lincoln","Auditor General","",,"Thomas M Salmon",262
"Windham","Londonderry","Londonderry","Auditor General","",,"Thomas M Salmon",376
"Orleans","Lowell","Lowell","Auditor General","",,"Thomas M Salmon",180
"Windsor","Ludlow","Ludlow","Auditor General","",,"Thomas M Salmon",514
"Essex","Lunenburg","Lunenburg","Auditor General","",,"Thomas M Salmon",308
"Caledonia","Lyndon","Lyndon","Auditor General","",,"Thomas M Salmon",1149
"Essex","Maidstone","Maidstone","Auditor General","",,"Thomas M Salmon",68
"Bennington","Manchester","Manchester","Auditor General","",,"Thomas M Salmon",924
"Windham","Marlboro","Marlboro","Auditor General","",,"Thomas M Salmon",111
"Washington","Marshfield","Marshfield","Auditor General","",,"Thomas M Salmon",328
"Rutland","Mendon","Mendon","Auditor General","",,"Thomas M Salmon",293
"Addison","Middlebury","Middlebury","Auditor General","",,"Thomas M Salmon",958
"Washington","Middlesex","Middlesex","Auditor General","",,"Thomas M Salmon",330
"Rutland","Middletown Springs","Middletown Springs","Auditor General","",,"Thomas M Salmon",170
"Chittenden","Milton","Chittenden 9","Auditor General","",,"Thomas M Salmon",1967
"Chittenden","Milton","Grand Isle-Chittenden 1-1","Auditor General","",,"Thomas M Salmon",322
"Addison","Monkton","Monkton","Auditor General","",,"Thomas M Salmon",428
"Franklin","Montgomery","Montgomery","Auditor General","",,"Thomas M Salmon",212
"Washington","Montpelier","Montpelier","Auditor General","",,"Thomas M Salmon",1120
"Washington","Moretown","Moretown","Auditor General","",,"Thomas M Salmon",384
"Orleans","Morgan","Morgan","Auditor General","",,"Thomas M Salmon",216
"Lamoille","Morristown","Morristown","Auditor General","",,"Thomas M Salmon",1075
"Rutland","Mount Holly","Mount Holly","Auditor General","",,"Thomas M Salmon",334
"Rutland","Mount Tabor","Mount Tabor","Auditor General","",,"Thomas M Salmon",32
"Addison","New Haven","New Haven","Auditor General","",,"Thomas M Salmon",444
"Caledonia","Newark","Newark","Auditor General","",,"Thomas M Salmon",33
"Orange","Newbury","Newbury","Auditor General","",,"Thomas M Salmon",452
"Windham","Newfane","Newfane","Auditor General","",,"Thomas M Salmon",273
"Orleans","Newport City","Newport City","Auditor General","",,"Thomas M Salmon",750
"Orleans","Newport Town","Newport Town","Auditor General","",,"Thomas M Salmon",335
"Grand Isle","North Hero","N. Hero","Auditor General","",,"Thomas M Salmon",306
"Washington","Northfield","Northfield","Auditor General","",,"Thomas M Salmon",923
"Essex","Norton","Norton","Auditor General","",,"Thomas M Salmon",57
"Windsor","Norwich","Norwich","Auditor General","",,"Thomas M Salmon",391
"Orange","Orange","Orange","Auditor General","",,"Thomas M Salmon",286
"Addison","Orwell","Orwell","Auditor General","",,"Thomas M Salmon",341
"Addison","Panton","Panton","Auditor General","",,"Thomas M Salmon",156
"Rutland","Pawlet","Pawlet","Auditor General","",,"Thomas M Salmon",279
"Caledonia","Peacham","Peacham","Auditor General","",,"Thomas M Salmon",180
"Bennington","Peru","Peru","Auditor General","",,"Thomas M Salmon",69
"Rutland","Pittsfield","Pittsfield","Auditor General","",,"Thomas M Salmon",135
"Rutland","Pittsford","Pittsford","Auditor General","",,"Thomas M Salmon",709
"Washington","Plainfield","Plainfield","Auditor General","",,"Thomas M Salmon",221
"Windsor","Plymouth","Plymouth","Auditor General","",,"Thomas M Salmon",151
"Windsor","Pomfret","Pomfret","Auditor General","",,"Thomas M Salmon",202
"Rutland","Poultney","Poultney","Auditor General","",,"Thomas M Salmon",562
"Bennington","Pownal","Pownal","Auditor General","",,"Thomas M Salmon",502
"Rutland","Proctor","Proctor","Auditor General","",,"Thomas M Salmon",358
"Windham","Putney","Putney","Auditor General","",,"Thomas M Salmon",262
"Orange","Randolph","Randolph","Auditor General","",,"Thomas M Salmon",902
"Windsor","Reading","Reading","Auditor General","",,"Thomas M Salmon",161
"Bennington","Readsboro","Readsboro","Auditor General","",,"Thomas M Salmon",81
"Franklin","Richford","Richford","Auditor General","",,"Thomas M Salmon",340
"Chittenden","Richmond","Richmond","Auditor General","",,"Thomas M Salmon",875
"Addison","Ripton","Ripton","Auditor General","",,"Thomas M Salmon",87
"Windsor","Rochester","Rochester","Auditor General","",,"Thomas M Salmon",240
"Windham","Rockingham","Rockingham","Auditor General","",,"Thomas M Salmon",880
"Washington","Roxbury","Roxbury","Auditor General","",,"Thomas M Salmon",115
"Windsor","Royalton","Royalton","Auditor General","",,"Thomas M Salmon",544
"Bennington","Rupert","Bennington 5","Auditor General","",,"Thomas M Salmon",28
"Bennington","Rupert","Rutland 8","Auditor General","",,"Thomas M Salmon",109
"Rutland","Rutland City","Rutland 5-1","Auditor General","",,"Thomas M Salmon",1032
"Rutland","Rutland City","Rutland 5-2","Auditor General","",,"Thomas M Salmon",823
"Rutland","Rutland City","Rutland 5-3","Auditor General","",,"Thomas M Salmon",485
"Rutland","Rutland City","Rutland 5-4","Auditor General","",,"Thomas M Salmon",732
"Rutland","Rutland Town","Rutland Town","Auditor General","",,"Thomas M Salmon",1219
"Caledonia","Ryegate","Ryegate","Auditor General","",,"Thomas M Salmon",260
"Addison","Salisbury","Salisbury","Auditor General","",,"Thomas M Salmon",211
"Bennington","Sandgate","Sandgate","Auditor General","",,"Thomas M Salmon",74
"Bennington","Searsburg","Searsburg","Auditor General","",,"Thomas M Salmon",22
"Bennington","Shaftsbury","Shaftsbury","Auditor General","",,"Thomas M Salmon",808
"Windsor","Sharon","Sharon","Auditor General","",,"Thomas M Salmon",234
"Caledonia","Sheffield","Sheffield","Auditor General","",,"Thomas M Salmon",130
"Chittenden","Shelburne","Chittenden 5-1","Auditor General","",,"Thomas M Salmon",918
"Chittenden","Shelburne","Chittenden 5-2","Auditor General","",,"Thomas M Salmon",865
"Franklin","Sheldon","Sheldon","Auditor General","",,"Thomas M Salmon",395
"Addison","Shoreham","Shoreham","Auditor General","",,"Thomas M Salmon",278
"Rutland","Shrewsbury","Shrewsbury","Auditor General","",,"Thomas M Salmon",248
"Chittenden","South Burlington","Chittenden 3-10","Auditor General","",,"Thomas M Salmon",691
"Chittenden","South Burlington","Chittenden 3-7","Auditor General","",,"Thomas M Salmon",756
"Chittenden","South Burlington","Chittenden 3-8","Auditor General","",,"Thomas M Salmon",1287
"Chittenden","South Burlington","Chittenden 3-9","Auditor General","",,"Thomas M Salmon",821
"Grand Isle","South Hero","S. Hero","Auditor General","",,"Thomas M Salmon",484
"Windsor","Springfield","Windsor 1-1","Auditor General","",,"Thomas M Salmon",26
"Windsor","Springfield","Windsor 1-2","Auditor General","",,"Thomas M Salmon",1511
,"Saint  Albans City","St. Albans City","Auditor General","",,"Thomas M Salmon",1053
,"Saint  Albans Town","St. Albans Town","Auditor General","",,"Thomas M Salmon",1435
,"Saint  George","St. George","Auditor General","",,"Thomas M Salmon",129
,"Saint  Johnsbury","St. Johnsbury","Auditor General","",,"Thomas M Salmon",1615
"Bennington","Stamford","Stamford","Auditor General","",,"Thomas M Salmon",137
"Caledonia","Stannard","Stannard","Auditor General","",,"Thomas M Salmon",38
"Addison","Starksboro","Starksboro","Auditor General","",,"Thomas M Salmon",304
"Windsor","Stockbridge","Stockbridge","Auditor General","",,"Thomas M Salmon",158
"Lamoille","Stowe","Stowe","Auditor General","",,"Thomas M Salmon",1125
"Orange","Strafford","Strafford","Auditor General","",,"Thomas M Salmon",175
"Windham","Stratton","Stratton","Auditor General","",,"Thomas M Salmon",66
"Rutland","Sudbury","Sudbury","Auditor General","",,"Thomas M Salmon",120
"Bennington","Sunderland","Sunderland","Auditor General","",,"Thomas M Salmon",170
"Caledonia","Sutton","Sutton","Auditor General","",,"Thomas M Salmon",230
"Franklin","Swanton","Swanton","Auditor General","",,"Thomas M Salmon",1219
"Orange","Thetford","Thetford","Auditor General","",,"Thomas M Salmon",360
"Rutland","Tinmouth","Tinmouth","Auditor General","",,"Thomas M Salmon",131
"Orange","Topsham","Topsham","Auditor General","",,"Thomas M Salmon",268
"Windham","Townshend","Townshend","Auditor General","",,"Thomas M Salmon",228
"Orleans","Troy","Troy","Auditor General","",,"Thomas M Salmon",262
"Orange","Tunbridge","Tunbridge","Auditor General","",,"Thomas M Salmon",322
"Chittenden","Underhill","Underhill","Auditor General","",,"Thomas M Salmon",709
"Addison","Vergennes","Vergennes","Auditor General","",,"Thomas M Salmon",497
"Windham","Vernon","Vernon","Auditor General","",,"Thomas M Salmon",635
"Orange","Vershire","Vershire","Auditor General","",,"Thomas M Salmon",117
"Essex","Victory","Victory","Auditor General","",,"Thomas M Salmon",25
"Washington","Waitsfield","Waitsfield","Auditor General","",,"Thomas M Salmon",342
"Caledonia","Walden","Walden","Auditor General","",,"Thomas M Salmon",241
"Rutland","Wallingford","Wallingford","Auditor General","",,"Thomas M Salmon",514
"Addison","Waltham","Waltham","Auditor General","",,"Thomas M Salmon",118
"Windham","Wardsboro","Wardsboro","Auditor General","",,"Thomas M Salmon",144
"Washington","Warren","Warren","Auditor General","",,"Thomas M Salmon",305
"Orange","Washington","Washington","Auditor General","",,"Thomas M Salmon",253
"Washington","Waterbury","Waterbury","Auditor General","",,"Thomas M Salmon",1043
"Caledonia","Waterford","Waterford","Auditor General","",,"Thomas M Salmon",434
"Lamoille","Waterville","Waterville","Auditor General","",,"Thomas M Salmon",164
"Windsor","Weathersfield","Weathersfield","Auditor General","",,"Thomas M Salmon",589
"Rutland","Wells","Wells","Auditor General","",,"Thomas M Salmon",226
"Orange","West Fairlee","W. Fairlee","Auditor General","",,"Thomas M Salmon",96
"Rutland","West Haven","W. Haven","Auditor General","",,"Thomas M Salmon",64
"Rutland","West Rutland","W. Rutland","Auditor General","",,"Thomas M Salmon",451
"Windsor","West Windsor","W. Windsor","Auditor General","",,"Thomas M Salmon",263
"Orleans","Westfield","Westfield","Auditor General","",,"Thomas M Salmon",126
"Chittenden","Westford","Westford","Auditor General","",,"Thomas M Salmon",485
"Windham","Westminster","Windham 4","Auditor General","",,"Thomas M Salmon",37
"Windham","Westminster","Windham 5","Auditor General","",,"Thomas M Salmon",510
"Orleans","Westmore","Westmore","Auditor General","",,"Thomas M Salmon",99
"Windsor","Weston","Weston","Auditor General","",,"Thomas M Salmon",170
"Addison","Weybridge","Weybridge","Auditor General","",,"Thomas M Salmon",196
"Caledonia","Wheelock","Wheelock","Auditor General","",,"Thomas M Salmon",178
"Addison","Whiting","Whiting","Auditor General","",,"Thomas M Salmon",84
"Windham","Whitingham","Whitingham","Auditor General","",,"Thomas M Salmon",214
"Orange","Williamstown","Williamstown","Auditor General","",,"Thomas M Salmon",759
"Chittenden","Williston","Williston","Auditor General","",,"Thomas M Salmon",2209
"Windham","Wilmington","Wilmington","Auditor General","",,"Thomas M Salmon",362
"Windham","Windham","Windham","Auditor General","",,"Thomas M Salmon",65
"Windsor","Windsor","Windsor","Auditor General","",,"Thomas M Salmon",484
"Bennington","Winhall","Winhall","Auditor General","",,"Thomas M Salmon",195
"Chittenden","Winooski","Winooski","Auditor General","",,"Thomas M Salmon",779
"Lamoille","Wolcott","Wolcott","Auditor General","",,"Thomas M Salmon",341
"Washington","Woodbury","Woodbury","Auditor General","",,"Thomas M Salmon",217
"Bennington","Woodford","Woodford","Auditor General","",,"Thomas M Salmon",52
"Windsor","Woodstock","Woodstock","Auditor General","",,"Thomas M Salmon",706
"Washington","Worcester","Worcester","Auditor General","",,"Thomas M Salmon",161
"Addison","Addison","Addison","Auditor General","","Democratic/Progressive","Doug Hoffer",180
"Orleans","Albany","Albany","Auditor General","","Democratic/Progressive","Doug Hoffer",151
"Grand Isle","Alburgh","Alburgh","Auditor General","","Democratic/Progressive","Doug Hoffer",284
"Windsor","Andover","Andover","Auditor General","","Democratic/Progressive","Doug Hoffer",97
"Bennington","Arlington","Arlington","Auditor General","","Democratic/Progressive","Doug Hoffer",442
"Windham","Athens","Athens","Auditor General","","Democratic/Progressive","Doug Hoffer",34
"Franklin","Bakersfield","Bakersfield","Auditor General","","Democratic/Progressive","Doug Hoffer",185
"Windsor","Baltimore","Baltimore","Auditor General","","Democratic/Progressive","Doug Hoffer",32
"Windsor","Barnard","Barnard","Auditor General","","Democratic/Progressive","Doug Hoffer",179
"Caledonia","Barnet","Barnet","Auditor General","","Democratic/Progressive","Doug Hoffer",272
"Washington","Barre City","Washington 3-1","Auditor General","","Democratic/Progressive","Doug Hoffer",526
"Washington","Barre City","Washington 3-2","Auditor General","","Democratic/Progressive","Doug Hoffer",470
"Washington","Barre City","Washington 3-3","Auditor General","","Democratic/Progressive","Doug Hoffer",97
"Washington","Barre Town","Barre Town","Auditor General","","Democratic/Progressive","Doug Hoffer",1004
"Orleans","Barton","Barton","Auditor General","","Democratic/Progressive","Doug Hoffer",244
"Lamoille","Belvidere","Belvidere","Auditor General","","Democratic/Progressive","Doug Hoffer",38
"Bennington","Bennington","Bennington 2-1","Auditor General","","Democratic/Progressive","Doug Hoffer",1368
"Bennington","Bennington","Bennington 2-2","Auditor General","","Democratic/Progressive","Doug Hoffer",1096
"Rutland","Benson","Benson","Auditor General","","Democratic/Progressive","Doug Hoffer",136
"Franklin","Berkshire","Berkshire","Auditor General","","Democratic/Progressive","Doug Hoffer",144
"Washington","Berlin","Berlin","Auditor General","","Democratic/Progressive","Doug Hoffer",431
"Windsor","Bethel","Bethel","Auditor General","","Democratic/Progressive","Doug Hoffer",347
"Essex","Bloomfield","Bloomfield","Auditor General","","Democratic/Progressive","Doug Hoffer",36
"Chittenden","Bolton","Bolton","Auditor General","","Democratic/Progressive","Doug Hoffer",239
"Orange","Bradford","Bradford","Auditor General","","Democratic/Progressive","Doug Hoffer",392
"Orange","Braintree","Braintree","Auditor General","","Democratic/Progressive","Doug Hoffer",209
"Rutland","Brandon","Brandon","Auditor General","","Democratic/Progressive","Doug Hoffer",605
"Windham","Brattleboro","Windham 3-1","Auditor General","","Democratic/Progressive","Doug Hoffer",878
"Windham","Brattleboro","Windham 3-2","Auditor General","","Democratic/Progressive","Doug Hoffer",740
"Windham","Brattleboro","Windham 3-3","Auditor General","","Democratic/Progressive","Doug Hoffer",824
"Windsor","Bridgewater","Bridgewater","Auditor General","","Democratic/Progressive","Doug Hoffer",151
"Addison","Bridport","Bridport","Auditor General","","Democratic/Progressive","Doug Hoffer",176
"Essex","Brighton","Brighton","Auditor General","","Democratic/Progressive","Doug Hoffer",141
"Addison","Bristol","Bristol","Auditor General","","Democratic/Progressive","Doug Hoffer",727
"Orange","Brookfield","Brookfield","Auditor General","","Democratic/Progressive","Doug Hoffer",276
"Windham","Brookline","Brookline","Auditor General","","Democratic/Progressive","Doug Hoffer",101
"Orleans","Brownington","Brownington","Auditor General","","Democratic/Progressive","Doug Hoffer",102
"Essex","Brunswick","Brunswick","Auditor General","","Democratic/Progressive","Doug Hoffer",16
"Caledonia","Burke","Burke","Auditor General","","Democratic/Progressive","Doug Hoffer",194
"Chittenden","Burlington","Chittenden 3-1","Auditor General","","Democratic/Progressive","Doug Hoffer",1504
"Chittenden","Burlington","Chittenden 3-2","Auditor General","","Democratic/Progressive","Doug Hoffer",929
"Chittenden","Burlington","Chittenden 3-3","Auditor General","","Democratic/Progressive","Doug Hoffer",1710
"Chittenden","Burlington","Chittenden 3-4","Auditor General","","Democratic/Progressive","Doug Hoffer",1348
"Chittenden","Burlington","Chittenden 3-5","Auditor General","","Democratic/Progressive","Doug Hoffer",2439
"Chittenden","Burlington","Chittenden 3-6","Auditor General","","Democratic/Progressive","Doug Hoffer",307
"Washington","Cabot","Cabot","Auditor General","","Democratic/Progressive","Doug Hoffer",302
"Washington","Calais","Calais","Auditor General","","Democratic/Progressive","Doug Hoffer",507
"Lamoille","Cambridge","Cambridge","Auditor General","","Democratic/Progressive","Doug Hoffer",644
"Essex","Canaan","Canaan","Auditor General","","Democratic/Progressive","Doug Hoffer",92
"Rutland","Castleton","Castleton","Auditor General","","Democratic/Progressive","Doug Hoffer",399
"Windsor","Cavendish","Cavendish","Auditor General","","Democratic/Progressive","Doug Hoffer",196
"Orleans","Charleston","Charleston","Auditor General","","Democratic/Progressive","Doug Hoffer",126
"Chittenden","Charlotte","Charlotte","Auditor General","","Democratic/Progressive","Doug Hoffer",1005
"Orange","Chelsea","Chelsea","Auditor General","","Democratic/Progressive","Doug Hoffer",172
"Windsor","Chester","Chester","Auditor General","","Democratic/Progressive","Doug Hoffer",544
"Rutland","Chittenden","Chittenden","Auditor General","","Democratic/Progressive","Doug Hoffer",211
"Rutland","Clarendon","Clarendon","Auditor General","","Democratic/Progressive","Doug Hoffer",269
"Chittenden","Colchester","Chittenden 7-1","Auditor General","","Democratic/Progressive","Doug Hoffer",1059
"Chittenden","Colchester","Chittenden 7-2","Auditor General","","Democratic/Progressive","Doug Hoffer",1258
"Essex","Concord","Concord","Auditor General","","Democratic/Progressive","Doug Hoffer",85
"Orange","Corinth","Corinth","Auditor General","","Democratic/Progressive","Doug Hoffer",233
"Addison","Cornwall","Cornwall","Auditor General","","Democratic/Progressive","Doug Hoffer",327
"Orleans","Coventry","Coventry","Auditor General","","Democratic/Progressive","Doug Hoffer",121
"Orleans","Craftsbury","Craftsbury","Auditor General","","Democratic/Progressive","Doug Hoffer",247
"Rutland","Danby","Danby","Auditor General","","Democratic/Progressive","Doug Hoffer",197
"Caledonia","Danville","Danville","Auditor General","","Democratic/Progressive","Doug Hoffer",341
"Orleans","Derby","Derby","Auditor General","","Democratic/Progressive","Doug Hoffer",507
"Bennington","Dorset","Dorset","Auditor General","","Democratic/Progressive","Doug Hoffer",377
"Windham","Dover","Dover","Auditor General","","Democratic/Progressive","Doug Hoffer",167
"Windham","Dummerston","Dummerston","Auditor General","","Democratic/Progressive","Doug Hoffer",520
"Washington","Duxbury","Duxbury","Auditor General","","Democratic/Progressive","Doug Hoffer",301
"Essex","East Haven","E. Haven","Auditor General","","Democratic/Progressive","Doug Hoffer",42
"Washington","East Montpelier","E. Montpelier","Auditor General","","Democratic/Progressive","Doug Hoffer",706
"Lamoille","Eden","Eden","Auditor General","","Democratic/Progressive","Doug Hoffer",108
"Lamoille","Elmore","Elmore","Auditor General","","Democratic/Progressive","Doug Hoffer",213
"Franklin","Enosburgh","Enosburgh","Auditor General","","Democratic/Progressive","Doug Hoffer",363
