"","Year","Office","Election Type","District","City/Town","Precinct","Candidate","Party","Votes"
"55123","2008","Auditor","General","","Highgate","","Thomas M. Salmon","Democratic/Republican","1,088"
"55124","2008","Auditor","General","","Hinesburg","Chittenden 1-1","Thomas M. Salmon","Democratic/Republican","1,691"
"55125","2008","Auditor","General","","Hinesburg","Chittenden 1-2","Thomas M. Salmon","Democratic/Republican","85"
"55126","2008","Auditor","General","","Holland","","Thomas M. Salmon","Democratic/Republican","247"
"55127","2008","Auditor","General","","Hubbardton","","Thomas M. Salmon","Democratic/Republican","283"
"55128","2008","Auditor","General","","Huntington","","Thomas M. Salmon","Democratic/Republican","71"
"55129","2008","Auditor","General","","Hyde Park","","Thomas M. Salmon","Democratic/Republican","1,180"
"55130","2008","Auditor","General","","Ira","Rutland Rutland 1-1","Thomas M. Salmon","Democratic/Republican","31"
"55131","2008","Auditor","General","","Ira","Rutland Rutland 1-2","Thomas M. Salmon","Democratic/Republican","167"
"55132","2008","Auditor","General","","Irasburg","","Thomas M. Salmon","Democratic/Republican","458"
"55133","2008","Auditor","General","","Isle La Motte","","Thomas M. Salmon","Democratic/Republican","265"
"55134","2008","Auditor","General","","Jamaica","","Thomas M. Salmon","Democratic/Republican","367"
"55135","2008","Auditor","General","","Jay","","Thomas M. Salmon","Democratic/Republican","151"
"55136","2008","Auditor","General","","Jericho","","Thomas M. Salmon","Democratic/Republican","2,196"
"55137","2008","Auditor","General","","Johnson","","Thomas M. Salmon","Democratic/Republican","955"
"55138","2008","Auditor","General","","Killington","","Thomas M. Salmon","Democratic/Republican","458"
"55139","2008","Auditor","General","","Kirby","","Thomas M. Salmon","Democratic/Republican","208"
"55140","2008","Auditor","General","","Landgrove","","Thomas M. Salmon","Democratic/Republican","83"
"55141","2008","Auditor","General","","Leicester","","Thomas M. Salmon","Democratic/Republican","447"
"55142","2008","Auditor","General","","Lemington","","Thomas M. Salmon","Democratic/Republican","44"
"55143","2008","Auditor","General","","Lincoln","","Thomas M. Salmon","Democratic/Republican","602"
"55144","2008","Auditor","General","","Londonderry","","Thomas M. Salmon","Democratic/Republican","727"
"55145","2008","Auditor","General","","Lowell","","Thomas M. Salmon","Democratic/Republican","285"
"55146","2008","Auditor","General","","Ludlow","","Thomas M. Salmon","Democratic/Republican","954"
"55147","2008","Auditor","General","","Lunenburg","","Thomas M. Salmon","Democratic/Republican","480"
