City/Town,Ward,Pct,"David Zuckerman","Shap Smith","Kesha Ram",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
"S. Burlington",-,"Chittenden 7-3",287,215,132,0,20,1,655
"S. Burlington",-,"Chittenden 7-4",279,227,105,0,22,0,633
"S. Hero",,,180,202,72,3,32,0,489
Springfield,-,"Windsor 3-1",15,13,6,0,2,0,36
Springfield,-,"Windsor 3-2",325,299,118,2,40,1,785
"St. Albans City",,,172,187,90,4,0,10,463
"St. Albans Town",-,"Franklin 3-1",53,51,23,6,2,0,135
"St. Albans Town",-,"Franklin 3-2",108,135,30,9,16,0,298
"St. George",,,44,20,4,0,4,1,73
"St. Johnsbury",,,184,211,58,3,21,0,477
Stamford,,,19,13,18,0,7,0,57
Stannard,,,21,10,1,0,0,0,32
Starksboro,,,151,82,36,0,4,0,273
Stockbridge,,,50,28,12,2,2,0,94
Stowe,,,160,427,46,3,20,0,656
Strafford,,,142,79,72,0,11,0,304
Stratton,,,3,5,5,0,1,0,14
Sudbury,,,40,20,3,0,1,0,64
Sunderland,-,"Bennington 3",6,7,2,0,1,0,16
Sunderland,-,"Bennington 4",22,17,11,0,4,0,54
Sutton,,,38,17,7,2,5,0,69
Swanton,,,139,124,49,10,13,0,335
Thetford,,,219,241,130,3,48,0,641
Tinmouth,-,"Rutland 2",6,6,4,0,0,0,16
Tinmouth,-,Rutland-Bennington,25,18,15,0,0,0,58
Topsham,,,27,27,13,1,1,0,69
Townshend,,,56,51,32,1,17,0,157
Troy,-,"Orleans 2",14,3,0,0,2,0,19
Troy,-,Orleans-Lamoille,49,34,9,2,6,0,100
Tunbridge,,,74,56,40,3,1,0,174
Underhill,,,267,185,54,0,13,0,519
Vergennes,,,131,99,42,0,9,0,281
Vernon,,,74,60,31,6,37,0,208
Vershire,,,35,30,18,1,4,0,88
Victory,,,4,2,1,0,0,0,7
Waitsfield,,,170,109,53,0,23,0,355
Walden,,,71,32,12,0,0,0,115
Wallingford,,,86,69,27,0,8,0,190
Waltham,,,26,30,11,0,3,0,70
Wardsboro,,,32,27,14,0,4,0,77
Warren,,,162,74,43,0,0,16,295
Washington,,,43,31,7,0,4,0,85
Waterbury,,,362,468,130,1,25,0,986
Waterford,,,20,30,12,0,3,0,65
Waterville,,,17,44,6,0,2,0,69
Weathersfield,,,146,117,61,1,8,0,333
Wells,,,32,20,11,0,4,0,67
"W. Fairlee",,,20,11,12,0,3,0,46
"W. Haven",,,10,7,3,0,0,0,20
"W. Rutland",,,52,41,14,0,2,0,109
"W. Windsor",,,93,83,29,1,16,0,222
Westfield,,,31,27,12,2,4,0,76
Westford,,,123,66,28,1,6,0,224
Westminster,-,"Windham 3",12,2,1,0,2,0,17
Westminster,-,"Windham 4",168,162,133,1,17,0,481
Westmore,,,20,10,4,0,2,0,36
Weston,,,41,65,19,1,11,1,138
Weybridge,,,69,83,27,1,9,0,189
Wheelock,,,41,24,5,0,3,0,73
Whiting,,,20,9,4,0,1,0,34
Whitingham,-,"Windham 6",34,29,10,0,6,0,79
Whitingham,-,Windham-Bennington,0,2,2,0,0,0,4
Williamstown,,,87,86,23,4,3,1,204
Williston,,,541,417,214,1,32,1,"1,206"
Wilmington,,,72,65,31,0,12,0,180
Windham,,,33,32,18,1,10,1,95
Windsor,,,184,195,87,2,35,0,503
Winhall,,,33,30,20,5,14,0,102
Winooski,,,396,231,200,3,32,0,862
Wolcott,,,58,84,12,0,3,0,157
Woodbury,,,77,62,10,0,0,0,149
Woodford,,,13,7,6,1,4,0,31
Woodstock,,,244,297,141,3,121,0,806
Worcester,,,118,110,31,6,1,0,266
TOTALS,,,"31,027","26,569","12,133",323,"3,052",58,"73,162"
