City/Town,Ward,Pct,"Deborah ""Deb"" Bucknam",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
"W. Haven",,,16,1,1,0,18
"W. Rutland",,,143,2,41,0,186
"W. Windsor",,,52,4,24,0,80
Westfield,,,37,1,18,0,56
Westford,,,126,2,62,0,190
Westminster,-,"Windham 3",6,0,1,0,7
Westminster,-,"Windham 4",77,1,23,1,102
Westmore,,,28,1,15,0,44
Weston,,,27,1,21,1,50
Weybridge,,,55,0,17,0,72
Wheelock,,,66,3,15,1,85
Whiting,,,21,2,6,0,29
Whitingham,-,"Windham 6",40,1,15,0,56
Whitingham,-,Windham-Bennington,3,0,1,0,4
Williamstown,,,236,55,68,0,359
Williston,,,591,9,258,4,862
Wilmington,,,64,0,31,0,95
Windham,,,11,0,4,0,15
Windsor,,,94,3,23,0,120
Winhall,,,51,3,27,1,82
Winooski,,,139,3,76,1,219
Wolcott,,,78,7,46,0,131
Woodbury,,,80,4,35,0,119
Woodford,,,9,0,2,0,11
Woodstock,,,128,3,53,0,184
Worcester,,,50,11,33,0,94
TOTALS,,,"31,173","1,477","13,504",240,"46,394"
