City/Town,Ward,Pct,"Beth Pearce","Richard M. Dunne",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
"S. Burlington",-,"Chittenden 7-3",357,227,1,70,0,655
"S. Burlington",-,"Chittenden 7-4",334,226,0,73,0,633
"S. Hero",,,247,166,0,76,0,489
Springfield,-,"Windsor 3-1",15,19,0,2,0,36
Springfield,-,"Windsor 3-2",455,249,0,81,0,785
"St. Albans City",,,258,173,1,0,31,463
"St. Albans Town",-,"Franklin 3-1",68,60,0,7,0,135
"St. Albans Town",-,"Franklin 3-2",146,121,1,30,0,298
"St. George",,,43,18,0,10,2,73
"St. Johnsbury",,,299,132,0,46,0,477
Stamford,,,20,24,0,13,0,57
Stannard,,,18,12,0,2,0,32
Starksboro,,,176,69,0,28,0,273
Stockbridge,,,58,22,0,14,0,94
Stowe,,,313,222,0,121,0,656
Strafford,,,166,72,0,66,0,304
Stratton,,,9,3,0,2,0,14
Sudbury,,,29,25,0,10,0,64
Sunderland,-,"Bennington 3",10,3,0,3,0,16
Sunderland,-,"Bennington 4",21,20,0,13,0,54
Sutton,,,49,7,0,13,0,69
Swanton,,,185,135,0,15,0,335
Thetford,,,343,149,0,149,0,641
Tinmouth,-,"Rutland 2",10,4,0,2,0,16
Tinmouth,-,Rutland-Bennington,44,11,0,3,0,58
Topsham,,,46,17,0,6,0,69
Townshend,,,69,55,0,33,0,157
Troy,-,"Orleans 2",9,8,0,2,0,19
Troy,-,Orleans-Lamoille,48,40,0,12,0,100
Tunbridge,,,108,43,0,23,0,174
Underhill,,,311,123,0,85,0,519
Vergennes,,,146,83,0,52,0,281
Vernon,,,84,80,0,44,0,208
Vershire,,,46,27,0,15,0,88
Victory,,,5,1,0,1,0,7
Waitsfield,,,190,90,0,75,0,355
Walden,,,77,25,0,13,0,115
Wallingford,,,113,58,0,18,1,190
Waltham,,,43,18,0,9,0,70
Wardsboro,,,44,29,1,3,0,77
Warren,,,137,88,1,69,0,295
Washington,,,54,21,0,10,0,85
Waterbury,,,581,246,1,158,0,986
Waterford,,,43,17,0,5,0,65
Waterville,,,30,23,0,16,0,69
Weathersfield,,,196,101,1,35,0,333
Wells,,,36,25,0,6,0,67
"W. Fairlee",,,25,13,0,8,0,46
"W. Haven",,,10,8,0,2,0,20
"W. Rutland",,,68,32,0,9,0,109
"W. Windsor",,,118,47,0,57,0,222
Westfield,,,42,26,1,7,0,76
Westford,,,132,58,1,32,1,224
Westminster,-,"Windham 3",9,5,0,3,0,17
Westminster,-,"Windham 4",261,131,0,88,1,481
Westmore,,,18,15,0,3,0,36
Weston,,,55,46,0,37,0,138
Weybridge,,,104,51,0,34,0,189
Wheelock,,,44,21,0,8,0,73
Whiting,,,15,14,0,5,0,34
Whitingham,-,"Windham 6",45,23,0,11,0,79
Whitingham,-,Windham-Bennington,1,3,0,0,0,4
Williamstown,,,153,36,0,14,1,204
Williston,,,684,365,0,157,0,"1,206"
Wilmington,,,91,59,0,30,0,180
Windham,,,39,33,1,21,1,95
Windsor,,,258,172,3,70,0,503
Winhall,,,38,46,0,18,0,102
Winooski,,,419,310,1,131,1,862
Wolcott,,,86,48,0,23,0,157
Woodbury,,,89,35,0,25,0,149
Woodford,,,15,11,0,5,0,31
Woodstock,,,368,253,0,185,0,806
Worcester,,,175,54,1,36,0,266
TOTALS,,,"40,939","20,929",73,"11,150",71,"73,162"
