City/Town,Ward,Pct,"Bernie Sanders","Hillary Clinton","Martin J. O'Malley","Roque De La Fuente",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
"St. Albans City",,,906,115,16,2,8,0,0,"1,047"
"St. Albans Town",,,890,140,4,1,0,0,3,"1,038"
"St. George",,,112,14,0,0,0,0,0,126
"St. Johnsbury",,,"1,013",140,2,0,2,3,5,"1,165"
Stamford,,,118,31,1,0,0,1,0,151
Stannard,,,47,1,0,0,0,0,0,48
Starksboro,,,422,30,1,0,0,0,0,453
Stockbridge,,,132,22,0,0,0,0,1,155
Stowe,,,871,242,1,0,2,2,3,"1,121"
Strafford,,,321,42,1,0,0,0,2,366
Stratton,,,32,7,0,0,0,0,0,39
Sudbury,,,107,16,0,1,0,1,0,125
Sunderland,,,154,23,1,0,0,0,0,178
Sutton,,,140,12,0,0,0,0,1,153
Swanton,,,818,85,4,0,3,0,0,910
Thetford,,,777,142,0,0,1,1,0,921
Tinmouth,,,136,20,0,0,0,0,0,156
Topsham,,,138,6,0,3,0,0,0,147
Townshend,,,248,39,2,0,1,0,0,290
Troy,,,186,23,0,0,0,0,1,210
Tunbridge,,,269,33,0,0,0,0,0,302
Underhill,,,782,119,0,1,0,0,2,904
Vergennes,,,568,54,0,1,3,2,0,628
Vernon,,,393,62,1,1,0,0,3,460
Vershire,,,159,17,0,1,0,0,0,177
Victory,,,16,6,0,0,0,1,0,23
Waitsfield,,,499,69,2,0,2,0,0,572
Walden,,,208,18,0,1,1,0,2,230
Wallingford,,,361,51,4,0,1,0,0,417
Waltham,,,112,18,0,0,0,0,0,130
Wardsboro,,,134,16,0,0,0,0,0,150
Warren,,,438,64,0,1,0,0,0,503
Washington,,,155,33,1,0,0,2,2,193
Waterbury,,,"1,220",174,4,0,0,6,0,"1,404"
Waterford,,,197,21,0,0,0,0,0,218
Waterville,,,117,6,0,0,0,0,1,124
Weathersfield,,,538,78,0,0,2,0,0,618
Wells,,,161,26,0,0,0,0,0,187
"W. Fairlee",,,118,9,0,0,0,0,0,127
"W. Haven",,,53,5,0,0,0,0,0,58
"W. Rutland",,,283,52,0,2,1,0,0,338
"W. Windsor",,,269,53,0,0,0,0,0,322
Westfield,,,104,8,1,0,0,0,0,113
Westford,,,529,66,0,0,0,0,1,596
Westminster,,,857,102,1,0,1,0,0,961
Westmore,,,66,4,0,0,0,0,0,70
Weston,,,155,26,0,0,0,0,1,182
Weybridge,,,229,61,0,0,0,1,0,291
Wheelock,,,134,9,0,0,0,1,0,144
Whiting,,,79,8,0,0,0,0,1,88
Whitingham,,,164,24,1,0,0,0,0,189
Williamstown,,,433,55,2,0,0,2,3,495
Williston,,,"1,859",392,3,0,4,0,3,"2,261"
Wilmington,,,370,70,0,0,1,2,0,443
Windham,,,110,15,0,0,0,0,0,125
Windsor,,,709,108,2,1,1,0,2,823
Winhall,,,159,44,0,1,0,0,0,204
Winooski,,,"1,359",156,6,1,4,7,0,"1,533"
Wolcott,,,306,23,0,1,0,0,0,330
Woodbury,,,185,11,0,0,0,0,0,196
Woodford,,,76,10,0,0,0,2,1,89
Woodstock,,,709,200,0,0,1,3,5,918
Worcester,,,311,24,0,0,1,0,0,336
TOTALS,,,"115,900","18,338",282,80,238,260,158,"135,256"
