City/Town,Ward,Pct,"Jim Condos",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Stockbridge,,,6,2,62,0,70
Stowe,,,13,3,402,3,421
Strafford,,,2,2,49,0,53
Stratton,,,0,0,24,0,24
Sudbury,,,2,1,52,1,56
Sunderland,-,"Bennington 3",0,9,0,9
Sunderland,-,"Bennington 4",0,42,0,42
Sutton,,,6,0,69,0,75
Swanton,,,27,9,503,0,539
Thetford,,,3,0,124,0,127
Tinmouth,-,"Rutland 2",0,6,0,6
Tinmouth,-,Rutland-Bennington,0,25,0,25
Topsham,,,3,0,111,0,114
Townshend,,,3,0,52,0,55
Troy,-,"Orleans 2",3,0,21,0,24
Troy,-,Orleans-Lamoille,14,0,49,0,63
Tunbridge,,,16,1,114,0,131
Underhill,,,2,3,312,0,317
Vergennes,,,6,2,178,0,186
Vernon,,,15,9,272,0,296
Vershire,,,0,0,57,0,57
Victory,,,8,0,15,0,23
Waitsfield,,,3,2,185,0,190
Walden,,,4,1,102,0,107
Wallingford,,,1,3,157,0,161
Waltham,,,0,0,49,0,49
Wardsboro,,,1,0,43,0,44
Warren,,,0,2,119,1,122
Washington,,,0,4,112,0,116
Waterbury,,,7,3,435,5,450
Waterford,,,0,1,145,1,147
Waterville,,,1,0,73,0,74
Weathersfield,,,4,6,218,0,228
Wells,,,2,3,82,0,87
"W. Fairlee",,,1,2,30,0,33
"W. Haven",,,2,0,16,0,18
"W. Rutland",,,0,5,181,0,186
"W. Windsor",,,7,2,71,0,80
Westfield,,,6,25,25,0,56
Westford,,,3,1,186,0,190
Westminster,-,"Windham 3",0,7,0,7
Westminster,-,"Windham 4",1,94,2,102
Westmore,,,0,0,44,0,44
Weston,,,1,1,48,0,50
Weybridge,,,0,0,72,0,72
Wheelock,,,3,0,80,2,85
Whiting,,,4,0,25,0,29
Whitingham,-,"Windham 6",1,52,0,56
Whitingham,-,Windham-Bennington,0,4,0,4
Williamstown,,,69,5,285,0,359
Williston,,,9,4,842,7,862
Wilmington,,,4,1,90,0,95
Windham,,,0,0,15,0,15
Windsor,,,5,5,110,0,120
Winhall,,,5,0,75,2,82
Winooski,,,5,0,214,0,219
Wolcott,,,6,3,122,0,131
Woodbury,,,5,1,112,1,119
Woodford,,,2,0,9,0,11
Woodstock,,,0,4,180,0,184
Worcester,,,9,3,82,0,94
TOTALS,,,"1,895",617,"43,236",646,"46,394"
