City/Town,Ward,Pct,"Peter Welch",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Waterbury,,,10,6,430,4,450
Waterford,,,0,4,141,2,147
Waterville,,,1,0,73,0,74
Weathersfield,,,3,4,221,0,228
Wells,,,0,2,85,0,87
"W. Fairlee",,,2,4,27,0,33
"W. Haven",,,3,0,15,0,18
"W. Rutland",,,4,7,175,0,186
"W. Windsor",,,8,1,70,1,80
Westfield,,,7,1,48,0,56
Westford,,,3,4,183,0,190
Westminster,-,"Windham 3",0,7,0,7
Westminster,-,"Windham 4",4,91,2,102
Westmore,,,0,2,42,0,44
Weston,,,2,0,48,0,50
Weybridge,,,0,5,67,0,72
Wheelock,,,4,1,78,2,85
Whiting,,,2,6,21,0,29
Whitingham,-,"Windham 6",2,52,0,56
Whitingham,-,Windham-Bennington,0,4,0,4
Williamstown,,,63,17,279,0,359
Williston,,,13,9,832,8,862
Wilmington,,,3,3,89,0,95
Windham,,,1,0,14,0,15
Windsor,,,6,8,106,0,120
Winhall,,,7,1,73,1,82
Winooski,,,1,6,212,0,219
Wolcott,,,9,6,116,0,131
Woodbury,,,9,1,108,1,119
Woodford,,,2,0,9,0,11
Woodstock,,,0,8,176,0,184
Worcester,,,10,3,81,0,94
TOTALS,,,"2,093","1,335","42,418",548,"46,394"
