City/Town,Ward,Pct,"Michael J. Badamo","Pete Diamondstone",Write-Ins,Blanks,"Total Votes Cast"
"St. George",,,0,0,1,0,1
"St. Johnsbury",,,4,4,1,0,9
Stannard,,,0,0,1,0,1
Starksboro,,,3,1,0,0,4
Stockbridge,,,0,2,0,0,2
Stowe,,,2,0,1,0,3
Strafford,,,3,1,3,0,7
Stratton,,,0,1,0,0,1
Sunderland,,,0,1,0,0,1
Sutton,,,0,1,0,0,1
Swanton,,,6,5,0,0,11
Thetford,,,6,4,0,0,10
Topsham,,,0,3,0,0,3
Townshend,,,0,3,0,0,3
Tunbridge,,,2,1,0,0,3
Underhill,,,6,0,10,0,16
Vergennes,,,0,0,1,0,1
Vernon,,,0,0,1,0,1
Vershire,,,2,0,0,0,2
Waitsfield,,,8,0,3,0,11
Walden,,,3,3,0,0,6
Wallingford,,,2,0,0,0,2
Waltham,,,1,0,0,0,1
Wardsboro,,,0,0,1,0,1
Warren,,,5,2,3,0,10
Washington,,,2,0,0,0,2
Waterbury,,,8,2,4,0,14
Waterford,,,2,1,0,0,3
Waterville,,,2,0,0,0,2
Weathersfield,,,3,0,3,0,6
Wells,,,0,4,0,0,4
"W. Fairlee",,,2,2,0,0,4
"W. Rutland",,,3,0,0,0,3
"W. Windsor",,,1,1,0,0,2
Westfield,,,2,1,2,0,5
Westford,,,8,1,2,0,11
Westminster,-,"Windham Ward 4",1,0,1,0,2
Westminster,-,"Windham Ward 5",6,9,3,0,18
Westmore,,,1,0,0,0,1
Weston,,,2,1,0,0,3
Weybridge,,,7,0,1,0,8
Wheelock,,,0,2,1,0,3
Whiting,,,1,0,0,0,1
Whitingham,,,1,0,0,0,1
Williamstown,,,4,0,1,0,5
Williston,,,12,1,7,0,20
Wilmington,,,4,3,1,0,8
Windsor,,,2,1,1,0,4
Winooski,,,2,3,4,0,9
Wolcott,,,1,0,0,0,1
Woodbury,,,5,1,3,0,9
Woodstock,,,8,3,0,0,11
Worcester,,,5,0,2,0,7
TOTALS,,,931,412,445,0,"1,788"
