City/Town,Ward,Pct,"John V. Labarge",Write-Ins,Blanks,"Total Votes Cast"
Stratton,,,8,0,0,8
Sudbury,,,37,0,0,37
Sunderland,,,16,0,0,16
Sutton,,,73,0,0,73
Swanton,,,175,0,0,175
Thetford,,,53,0,0,53
Tinmouth,,,26,0,0,26
Topsham,,,72,0,0,72
Townshend,,,77,0,0,77
Troy,,,18,0,0,18
Tunbridge,,,60,0,0,60
Underhill,,,84,0,0,84
Vergennes,,,154,0,0,154
Vernon,,,146,0,0,146
Vershire,,,21,0,0,21
Victory,,,7,0,0,7
Waitsfield,,,59,0,0,59
Walden,,,42,0,0,42
Wallingford,,,117,0,0,117
Waltham,,,52,0,0,52
Wardsboro,,,27,0,0,27
Warren,,,35,0,0,35
Washington,,,35,0,0,35
Waterbury,,,80,0,0,80
Waterford,,,52,0,0,52
Waterville,,,50,0,0,50
Weathersfield,,,86,0,0,86
Wells,,,35,0,0,35
"W. Fairlee",,,27,0,0,27
"W. Haven",,,11,0,0,11
"W. Rutland",,,67,0,0,67
"W. Windsor",,,8,0,0,8
Westfield,,,16,0,0,16
Westford,,,38,0,0,38
Westminster,-,"Windham Ward 4",9,0,0,9
Westminster,-,"Windham Ward 5",83,0,0,83
Westmore,,,12,0,0,12
Weston,,,28,0,0,28
Weybridge,,,33,0,0,33
Wheelock,,,18,0,0,18
Whiting,,,17,0,0,17
Whitingham,,,66,0,0,66
Williamstown,,,72,0,0,72
Williston,,,175,0,0,175
Wilmington,,,88,0,0,88
Windham,,,17,0,0,17
Windsor,,,94,0,0,94
Winhall,,,41,0,0,41
Winooski,,,64,0,0,64
Wolcott,,,76,0,0,76
Woodbury,,,43,0,0,43
Woodford,,,11,0,0,11
Woodstock,,,90,0,0,90
Worcester,,,40,0,0,40
TOTALS,,,"20,505",0,0,"20,505"
