City/Town,Ward,Pct,"William H. Sorrell",Write-Ins,Blanks,"Total Votes Cast"
"Rutland Town",,,147,0,0,147
Ryegate,,,37,0,0,37
Salisbury,,,41,0,0,41
Sandgate,,,16,0,0,16
Searsburg,,,6,0,0,6
Shaftsbury,,,104,0,0,104
Sharon,,,73,0,0,73
Sheffield,,,13,0,0,13
Shelburne,-,"Chittenden 5-1",228,0,0,228
Shelburne,-,"Chittenden 5-2",119,0,0,119
Sheldon,,,42,0,0,42
Shoreham,,,44,0,0,44
Shrewsbury,,,34,0,0,34
"S. Burlington",-,"Chittenden 3-10",147,0,0,147
"S. Burlington",-,"Chittenden 3-7",193,0,0,193
"S. Burlington",-,"Chittenden 3-8",172,0,0,172
"S. Burlington",-,"Chittenden 3-9",162,0,0,162
"S. Hero",,,270,0,0,270
Springfield,-,"Windsor 1-1",11,0,0,11
Springfield,-,"Windsor 1-2","1,070",0,0,"1,070"
"St. Albans City",,,284,0,0,284
"St. Albans Town",,,186,0,0,186
"St. George",,,15,0,0,15
"St. Johnsbury",,,97,0,0,97
Stamford,,,40,0,0,40
Stannard,,,12,0,0,12
Starksboro,,,68,0,0,68
Stockbridge,,,22,0,0,22
Stowe,,,108,0,0,108
Strafford,,,82,0,0,82
Stratton,,,3,0,0,3
Sudbury,,,22,0,0,22
Sunderland,,,24,0,0,24
Sutton,,,11,0,0,11
Swanton,,,262,0,0,262
Thetford,,,171,0,0,171
Tinmouth,,,38,0,0,38
Topsham,,,20,0,0,20
Townshend,,,105,0,0,105
Troy,,,19,0,0,19
Tunbridge,,,90,0,0,90
Underhill,,,120,0,0,120
Vergennes,,,53,0,0,53
Vernon,,,68,0,0,68
Vershire,,,41,0,0,41
Victory,,,2,0,0,2
Waitsfield,,,71,0,0,71
Walden,,,24,0,0,24
Wallingford,,,67,0,0,67
Waltham,,,6,0,0,6
Wardsboro,,,51,0,0,51
Warren,,,49,0,0,49
Washington,,,35,0,0,35
Waterbury,,,223,0,0,223
Waterford,,,16,0,0,16
Waterville,,,16,0,0,16
Weathersfield,,,129,0,0,129
Wells,,,15,0,0,15
"W. Fairlee",,,32,0,0,32
"W. Haven",,,4,0,0,4
"W. Rutland",,,31,0,0,31
"W. Windsor",,,37,0,0,37
Westfield,,,12,0,0,12
Westford,,,50,0,0,50
Westminster,-,"Windham Ward 4",22,0,0,22
Westminster,-,"Windham Ward 5",297,0,0,297
Westmore,,,7,0,0,7
Weston,,,33,0,0,33
Weybridge,,,42,0,0,42
Wheelock,,,15,0,0,15
Whiting,,,19,0,0,19
Whitingham,,,28,0,0,28
Williamstown,,,57,0,0,57
Williston,,,247,0,0,247
Wilmington,,,56,0,0,56
Windham,,,27,0,0,27
Windsor,,,163,0,0,163
Winhall,,,17,0,0,17
Winooski,,,172,0,0,172
Wolcott,,,62,0,0,62
Woodbury,,,42,0,0,42
Woodford,,,6,0,0,6
Woodstock,,,221,0,0,221
Worcester,,,75,0,0,75
TOTALS,,,"24,693",0,0,"24,693"
