City/Town,Ward,Pct,"Jim Douglas",Write-Ins,Blanks,"Total Votes Cast"
Newbury,-,"Town Office",59,0,0,59
Newbury,-,"West River Village",47,0,0,47
Newfane,,,74,0,0,74
"Newport City",,,256,0,0,256
"Newport Town",,,50,0,0,50
"N. Hero",,,83,0,0,83
Northfield,,,173,0,0,173
Norton,,,18,0,0,18
Norwich,,,49,0,0,49
Orange,,,55,0,0,55
Orwell,,,73,0,0,73
Panton,,,69,0,0,69
Pawlet,,,60,0,0,60
Peacham,,,28,0,0,28
Peru,,,25,0,0,25
Pittsfield,,,32,0,0,32
Pittsford,,,134,0,0,134
Plainfield,,,26,0,0,26
Plymouth,,,28,0,0,28
Pomfret,,,39,0,0,39
Poultney,,,118,0,0,118
Pownal,,,102,0,0,102
Proctor,,,65,0,0,65
Putney,,,71,0,0,71
Randolph,,,280,0,0,280
Reading,,,20,0,0,20
Readsboro,,,22,0,0,22
Richford,,,47,0,0,47
Richmond,,,94,0,0,94
Ripton,,,18,0,0,18
Rochester,,,57,0,0,57
Rockingham,,,100,0,0,100
Roxbury,,,29,0,0,29
Royalton,,,110,0,0,110
Rupert,,,39,0,0,39
"Rutland City",-,"Rutland 5-1",275,0,0,275
"Rutland City",-,"Rutland 5-2",183,0,0,183
"Rutland City",-,"Rutland 5-3",120,0,0,120
"Rutland City",-,"Rutland 5-4",219,0,0,219
"Rutland Town",,,455,0,0,455
Ryegate,,,43,0,0,43
Salisbury,,,41,0,0,41
Sandgate,,,16,0,0,16
Searsburg,,,11,0,0,11
Shaftsbury,,,201,0,0,201
Sharon,,,34,0,0,34
Sheffield,,,33,0,0,33
Shelburne,-,"Chittenden 5-1",140,0,0,140
Shelburne,-,"Chittenden 5-2",121,0,0,121
Sheldon,,,46,0,0,46
Shoreham,,,101,0,0,101
Shrewsbury,,,65,0,0,65
"S. Burlington",-,"Chittenden 3-10",75,0,0,75
"S. Burlington",-,"Chittenden 3-7",106,0,0,106
"S. Burlington",-,"Chittenden 3-8",108,0,0,108
"S. Burlington",-,"Chittenden 3-9",111,0,0,111
"S. Hero",,,130,0,0,130
Springfield,-,"Windsor 1-1",7,0,0,7
Springfield,-,"Windsor 1-2",775,0,0,775
"St. Albans City",,,186,0,0,186
"St. Albans Town",,,122,0,0,122
"St. George",,,11,0,0,11
"St. Johnsbury",,,190,0,0,190
Stamford,,,43,0,0,43
Stannard,,,10,0,0,10
Starksboro,,,45,0,0,45
Stockbridge,,,25,0,0,25
Stowe,,,327,0,0,327
Strafford,,,35,0,0,35
Stratton,,,8,0,0,8
Sudbury,,,44,0,0,44
Sunderland,,,22,0,0,22
Sutton,,,77,0,0,77
Swanton,,,204,0,0,204
Thetford,,,62,0,0,62
Tinmouth,,,29,0,0,29
Topsham,,,72,0,0,72
Townshend,,,85,0,0,85
Troy,,,20,0,0,20
Tunbridge,,,69,0,0,69
Underhill,,,88,0,0,88
Vergennes,,,172,0,0,172
Vernon,,,162,0,0,162
Vershire,,,26,0,0,26
Victory,,,8,0,0,8
Waitsfield,,,70,0,0,70
Walden,,,46,0,0,46
Wallingford,,,131,0,0,131
Waltham,,,55,0,0,55
Wardsboro,,,33,0,0,33
Warren,,,40,0,0,40
Washington,,,39,0,0,39
Waterbury,,,95,0,0,95
Waterford,,,56,0,0,56
Waterville,,,66,0,0,66
Weathersfield,,,93,0,0,93
Wells,,,36,0,0,36
"W. Fairlee",,,29,0,0,29
"W. Haven",,,11,0,0,11
"W. Rutland",,,75,0,0,75
"W. Windsor",,,44,0,0,44
Westfield,,,22,0,0,22
Westford,,,39,0,0,39
Westminster,-,"Windham Ward 4",11,0,0,11
Westminster,-,"Windham Ward 5",101,0,0,101
Westmore,,,15,0,0,15
Weston,,,31,0,0,31
Weybridge,,,42,0,0,42
Wheelock,,,20,0,0,20
Whiting,,,22,0,0,22
Whitingham,,,73,0,0,73
Williamstown,,,91,0,0,91
Williston,,,188,0,0,188
Wilmington,,,96,0,0,96
Windham,,,18,0,0,18
Windsor,,,103,0,0,103
Winhall,,,48,0,0,48
Winooski,,,70,0,0,70
Wolcott,,,97,0,0,97
Woodbury,,,52,0,0,52
Woodford,,,10,0,0,10
Woodstock,,,102,0,0,102
Worcester,,,49,0,0,49
TOTALS,,,"23,366",0,0,"23,366"
