City/Town,Ward,Pct,"Cindy Hill","Boots Wardinski",Write-Ins,Blanks,"Total Votes Cast"
Washington,,,2,0,0,0,2
Waterbury,,,9,1,0,0,10
Waterford,,,1,1,0,0,2
Weathersfield,,,6,0,0,0,6
Wells,,,3,1,0,0,4
"W. Fairlee",,,2,2,0,0,4
"W. Rutland",,,2,0,0,0,2
"W. Windsor",,,2,0,0,0,2
Westfield,,,2,1,1,0,4
Westford,,,6,1,0,0,7
Westminster,-,"Windham Ward 4",0,1,0,0,1
Westminster,-,"Windham Ward 5",15,1,1,0,17
Westmore,,,1,0,0,0,1
Weston,,,2,0,0,0,2
Weybridge,,,5,2,0,0,7
Wheelock,,,2,1,0,0,3
Whiting,,,0,1,0,0,1
Whitingham,,,1,0,0,0,1
Williamstown,,,1,2,1,0,4
Williston,,,8,2,0,0,10
Wilmington,,,7,0,1,0,8
Windsor,,,1,2,0,0,3
Winooski,,,5,2,2,0,9
Woodbury,,,3,4,1,0,8
Woodstock,,,4,2,0,0,6
Worcester,,,4,2,0,0,6
TOTALS,,,"1,089",320,71,0,"1,480"
