City/Town,Ward,Pct,"James C. Condos","Mary Alice Herbert",Write-Ins,Blanks,"Total Votes Cast"
Sudbury,,,231,42,1,36,310
Sunderland,-,"Bennington 3",75,13,1,13,102
Sunderland,-,"Bennington 4",266,62,0,55,383
Sutton,,,328,47,1,58,434
Swanton,,,"1,956",275,10,223,"2,464"
Thetford,,,"1,125",151,1,275,"1,552"
Tinmouth,-,"Rutland 2",59,4,0,8,71
Tinmouth,-,Rutland-Bennington,158,28,0,38,224
Topsham,,,363,69,1,79,512
Townshend,,,420,122,2,109,653
Troy,-,"Orleans 2",110,24,0,17,151
Troy,-,Orleans-Lamoille,362,69,0,63,494
Tunbridge,,,571,95,2,107,775
Underhill,,,"1,448",132,3,244,"1,827"
Vergennes,,,881,110,3,136,"1,130"
Vernon,,,658,197,4,226,"1,085"
Vershire,,,228,61,2,55,346
Victory,,,34,10,0,7,51
Waitsfield,,,843,98,6,154,"1,101"
Walden,,,352,64,1,65,482
Wallingford,,,808,156,3,164,"1,131"
Waltham,,,227,22,1,18,268
Wardsboro,,,265,61,1,59,386
Warren,,,778,92,2,131,"1,003"
Washington,,,372,82,0,75,529
Waterbury,,,"2,171",233,9,318,"2,731"
Waterford,,,543,85,0,82,710
Waterville,,,260,29,1,48,338
Weathersfield,,,"1,021",225,2,202,"1,450"
Wells,,,350,107,1,74,532
"W. Fairlee",,,212,41,0,49,302
"W. Haven",,,93,21,0,13,127
"W. Rutland",,,742,163,2,108,"1,015"
"W. Windsor",,,506,85,1,93,685
Westfield,,,210,42,1,43,296
Westford,,,902,83,1,163,"1,149"
Westminster,-,"Windham 3",51,19,1,9,80
Westminster,-,"Windham 4",989,342,3,180,"1,514"
Westmore,,,144,32,1,23,200
Weston,,,314,48,1,56,419
Weybridge,,,469,33,0,47,549
Wheelock,,,249,46,0,46,341
Whiting,,,150,17,0,21,188
Whitingham,-,"Windham 6",379,108,0,0,487
Whitingham,-,Windham-Bennington,12,4,0,2,18
Williamstown,,,"1,095",199,9,133,"1,436"
Williston,,,"4,058",366,14,715,"5,153"
Wilmington,,,657,187,6,195,"1,045"
Windham,,,153,38,0,31,222
Windsor,,,"1,147",231,2,183,"1,563"
Winhall,,,323,72,3,104,502
Winooski,,,"1,988",260,4,337,"2,589"
Wolcott,,,579,97,3,92,771
Woodbury,,,382,54,1,57,494
Woodford,,,123,26,0,23,172
Woodstock,,,"1,432",191,0,282,"1,905"
Worcester,,,458,53,0,45,556
TOTALS,,,"225,570","34,060",191,"8,969","268,790"
