City/Town,Ward,Pct,"Bernie Sanders","William Meub","Jane Newton","Fawn Skinner","Daniel H. Krymkowski",Write-Ins,Blanks,"Total Votes Cast"
,,,Independent,Republican,"Liberty Union/Progressive","Vermont Grassroots",Libertarian
Whitingham,,,230,220,8,12,5,0,0,475
Williamstown,,,701,490,8,17,7,4,0,"1,227"
Williston,,,"2,208","1,442",15,14,27,2,0,"3,708"
Wilmington,,,510,359,18,28,7,1,0,923
Windham,,,68,55,13,2,3,0,0,141
Windsor,,,848,238,9,13,10,0,0,"1,118"
Winhall,,,149,151,17,1,2,0,0,320
Winooski,,,"1,196",368,9,9,15,2,0,"1,599"
Wolcott,,,370,132,4,9,2,0,0,517
Woodbury,,,243,122,5,4,4,0,0,378
Woodford,,,92,41,7,0,4,0,0,144
Woodstock,,,944,453,9,12,13,1,0,"1,432"
Worcester,,,341,105,1,3,4,0,0,454
TOTALS,,,"144,880","72,813","3,185","2,344","2,033",221,0,"225,476"
