"county","town","precinct","office","district","party","candidate","votes"
"Chittenden","Burlington","Chittenden 3-6","Auditor General","","Republican","Randy Brock",195
"Washington","Cabot","Cabot","Auditor General","","Republican","Randy Brock",295
"Washington","Calais","Calais","Auditor General","","Republican","Randy Brock",391
"Lamoille","Cambridge","Cambridge","Auditor General","","Republican","Randy Brock",894
"Essex","Canaan","Canaan","Auditor General","","Republican","Randy Brock",210
"Rutland","Castleton","Castleton","Auditor General","","Republican","Randy Brock",1027
"Windsor","Cavendish","Cavendish","Auditor General","","Republican","Randy Brock",360
"Orleans","Charleston","Charleston","Auditor General","","Republican","Randy Brock",225
"Chittenden","Charlotte","Charlotte","Auditor General","","Republican","Randy Brock",1151
"Orange","Chelsea","Chelsea","Auditor General","","Republican","Randy Brock",412
"Windsor","Chester","Chester","Auditor General","","Republican","Randy Brock",708
"Rutland","Chittenden","Chittenden","Auditor General","","Republican","Randy Brock",409
"Rutland","Clarendon","Clarendon","Auditor General","","Republican","Randy Brock",874
"Chittenden","Colchester","Chittenden 7-1","Auditor General","","Republican","Randy Brock",1938
"Chittenden","Colchester","Chittenden 7-2","Auditor General","","Republican","Randy Brock",2344
"Essex","Concord","Concord","Auditor General","","Republican","Randy Brock",307
"Orange","Corinth","Corinth","Auditor General","","Republican","Randy Brock",348
"Addison","Cornwall","Cornwall","Auditor General","","Republican","Randy Brock",381
"Orleans","Coventry","Coventry","Auditor General","","Republican","Randy Brock",205
"Orleans","Craftsbury","Craftsbury","Auditor General","","Republican","Randy Brock",274
"Rutland","Danby","Danby","Auditor General","","Republican","Randy Brock",367
"Caledonia","Danville","Danville","Auditor General","","Republican","Randy Brock",753
"Orleans","Derby","Derby","Auditor General","","Republican","Randy Brock",1216
"Bennington","Dorset","Dorset","Auditor General","","Republican","Randy Brock",675
"Windham","Dover","Dover","Auditor General","","Republican","Randy Brock",330
"Windham","Dummerston","Dummerston","Auditor General","","Republican","Randy Brock",346
"Washington","Duxbury","Duxbury","Auditor General","","Republican","Randy Brock",352
"Essex","East Haven","E. Haven","Auditor General","","Republican","Randy Brock",75
"Washington","East Montpelier","E. Montpelier","Auditor General","","Republican","Randy Brock",803
"Lamoille","Eden","Eden","Auditor General","","Republican","Randy Brock",239
"Lamoille","Elmore","Elmore","Auditor General","","Republican","Randy Brock",213
"Franklin","Enosburgh","Enosburgh","Auditor General","","Republican","Randy Brock",552
"Chittenden","Essex","Chittenden 6-1","Auditor General","","Republican","Randy Brock",2433
"Chittenden","Essex","Chittenden 6-2","Auditor General","","Republican","Randy Brock",2781
"Chittenden","Essex","Chittenden 6-3","Auditor General","","Republican","Randy Brock",798
"Rutland","Fair Haven","Fair Haven","Auditor General","","Republican","Randy Brock",703
"Franklin","Fairfax","Fairfax","Auditor General","","Republican","Randy Brock",1157
"Franklin","Fairfield","Fairfield","Auditor General","","Republican","Randy Brock",503
"Orange","Fairlee","Fairlee","Auditor General","","Republican","Randy Brock",281
"Washington","Fayston","Fayston","Auditor General","","Republican","Randy Brock",370
"Addison","Ferrisburgh","Ferrisburgh","Auditor General","","Republican","Randy Brock",860
"Franklin","Fletcher","Fletcher","Auditor General","","Republican","Randy Brock",311
"Franklin","Franklin","Franklin","Auditor General","","Republican","Randy Brock",376
"Franklin","Georgia","Georgia","Auditor General","","Republican","Randy Brock",1411
"Orleans","Glover","Glover","Auditor General","","Republican","Randy Brock",267
"Addison","Goshen","Goshen","Auditor General","","Republican","Randy Brock",56
