City/Town,Ward,Pct,"Patrick Leahy","Daniel Freilich",Write-Ins,Blanks,"Total Votes Cast"
Essex,-,"Chittenden 6-1",695,69,0,11,775
Essex,-,"Chittenden 6-2",776,112,0,13,901
Essex,-,"Chittenden 6-3",260,27,0,2,289
"Fair Haven",,,144,25,2,2,173
Fairfax,,,320,53,2,8,383
Fairfield,,,222,24,1,7,254
Fairlee,,,100,6,0,3,109
Fayston,,,154,12,0,4,170
Ferrisburgh,,,297,31,1,4,333
Fletcher,,,112,20,1,1,134
Franklin,,,100,19,1,5,125
Georgia,,,234,53,1,3,291
Glover,,,123,14,0,5,142
Goshen,,,42,4,0,1,47
Grafton,,,87,8,0,8,103
Granby,,,8,2,0,0,10
"Grand Isle",,,267,48,3,10,328
Granville,,,46,5,0,2,53
Greensboro,,,115,7,0,2,124
Groton,,,74,13,1,3,91
Guildhall,,,28,4,0,3,35
Guilford,,,344,28,0,10,382
Halifax,,,69,18,0,4,91
Hancock,,,26,5,1,1,33
Hardwick,,,231,33,0,5,269
Hartford,-,"Windsor 6-1",209,12,2,8,231
Hartford,-,"Windsor 6-2",623,62,0,14,699
Hartland,,,649,66,4,31,750
Highgate,,,186,43,1,5,235
Hinesburg,-,"Chittenden 1-1",564,51,1,6,622
Hinesburg,-,"Chittenden 1-2",28,0,0,1,29
Holland,,,42,12,0,1,55
Hubbardton,,,41,7,0,1,49
Huntington,,,336,27,0,3,366
"Hyde Park",,,288,30,0,9,327
Ira,-,"Rutland 1-1",1,0,0,0,1
Ira,-,"Rutland 1-2",31,7,0,2,40
Irasburg,,,75,11,0,3,89
"Isle La Motte",,,81,17,0,1,99
Jamaica,,,95,15,1,5,116
Jay,,,43,5,0,0,48
Jericho,,,701,96,3,12,812
Johnson,,,217,20,0,7,244
Killington,,,78,11,0,3,92
Kirby,,,33,6,0,0,39
Landgrove,,,34,4,0,0,38
Leicester,,,85,7,0,2,94
Lemington,,,3,1,0,0,4
Lincoln,,,241,43,0,4,288
Londonderry,,,121,16,1,8,146
Lowell,,,63,13,0,2,78
Ludlow,,,201,27,2,11,241
Lunenburg,,,100,25,0,8,133
Lyndon,,,245,51,0,10,306
Maidstone,,,15,5,0,1,21
Manchester,,,299,56,3,3,361
Marlboro,,,238,22,0,5,265
Marshfield,,,265,19,1,11,296
Mendon,,,106,20,1,0,127
Middlebury,,,"1,078",72,2,25,"1,177"
Middlesex,,,400,36,0,11,447
"Middletown Springs",,,102,10,0,1,113
Milton,-,"Chittenden 9",503,87,1,11,602
Milton,-,"Grand Isle-Chittenden 1-1",89,21,0,2,112
Monkton,,,260,43,1,7,311
Montgomery,,,124,9,0,4,137
Montpelier,,,"1,918",156,5,49,"2,128"
Moretown,,,250,25,1,7,283
Morgan,,,56,8,0,2,66
Morristown,,,461,59,1,10,531
"Mount Holly",,,140,20,1,1,162
"Mount Tabor",,,14,1,0,0,15
"New Haven",,,241,26,0,5,272
Newark,,,43,8,0,1,52
Newbury,,,180,21,0,3,204
Newfane,,,337,42,2,15,396
"Newport City",,,236,35,4,9,284
"Newport Town",,,80,13,0,4,97
"N. Hero",,,109,16,1,5,131
Northfield,,,370,65,0,4,439
Norton,,,10,1,0,0,11
Norwich,,,824,50,1,23,898
Orange,,,55,9,0,1,65
Orwell,,,84,20,1,3,108
Panton,,,56,7,0,1,64
Pawlet,,,110,14,0,3,127
Peacham,,,161,9,0,4,174
Peru,,,45,5,0,1,51
Pittsfield,,,69,15,3,2,89
Pittsford,,,197,34,1,4,236
Plainfield,,,243,18,0,9,270
Plymouth,,,63,14,0,2,79
Pomfret,,,170,14,1,2,187
Poultney,,,202,24,3,4,233
Pownal,,,191,29,0,8,228
Proctor,,,218,32,1,3,254
Putney,,,528,23,0,22,573
Randolph,,,548,40,1,5,594
Reading,,,103,10,0,2,115
Readsboro,,,50,9,0,1,60
Richford,,,142,17,0,4,163
Richmond,,,686,64,0,18,768
Ripton,,,137,7,0,6,150
Rochester,,,236,20,0,10,266
Rockingham,,,729,82,0,30,841
Roxbury,,,70,8,0,2,80
Royalton,,,331,33,2,24,390
Rupert,-,"Bennington 5",12,1,0,0,13
Rupert,-,"Rutland 8",58,9,0,2,69
"Rutland City",-,"Rutland 5-1",393,64,2,11,470
"Rutland City",-,"Rutland 5-2",327,60,3,8,398
"Rutland City",-,"Rutland 5-3",208,39,0,6,253
"Rutland City",-,"Rutland 5-4",279,49,1,15,344
"Rutland Town",,,391,89,1,8,489
Ryegate,,,99,18,1,3,121
Salisbury,,,100,11,1,4,116
Sandgate,,,39,5,0,0,44
Searsburg,,,4,4,1,1,10
Shaftsbury,,,360,54,0,7,421
Sharon,,,174,16,0,2,192
Sheffield,,,43,3,0,2,48
Shelburne,-,"Chittenden 5-1",778,59,2,16,855
Shelburne,-,"Chittenden 5-2",499,44,1,11,555
Sheldon,,,157,18,1,7,183
Shoreham,,,153,19,0,3,175
Shrewsbury,,,146,13,1,2,162
"S. Burlington",-,"Chittenden 3-10",502,46,0,9,557
"S. Burlington",-,"Chittenden 3-7",614,69,0,19,702
"S. Burlington",-,"Chittenden 3-8",729,95,3,22,849
"S. Burlington",-,"Chittenden 3-9",428,77,1,11,517
"S. Hero",,,293,33,2,5,333
Springfield,-,"Windsor 1-1",8,1,0,0,9
Springfield,-,"Windsor 1-2",696,85,0,15,796
"St. Albans City",,,598,72,2,18,690
"St. Albans Town",,,455,76,3,11,545
"St. George",,,64,9,0,1,74
"St. Johnsbury",,,401,66,0,10,477
Stamford,,,57,9,0,1,67
Stannard,,,27,2,0,0,29
Starksboro,,,213,43,0,5,261
Stockbridge,,,91,21,0,4,116
Stowe,,,455,60,0,10,525
Strafford,,,270,11,0,5,286
Stratton,,,7,3,0,2,12
Sudbury,,,68,6,0,1,75
Sunderland,,,61,6,0,2,69
Sutton,,,46,7,0,0,53
Swanton,,,429,61,2,6,498
Thetford,,,452,25,0,19,496
Tinmouth,,,77,12,0,2,91
Topsham,,,75,10,0,5,90
Townshend,,,149,16,0,6,171
Troy,,,90,16,0,1,107
Tunbridge,,,213,13,1,8,235
Underhill,,,428,44,0,5,477
Vergennes,,,236,29,3,5,273
Vernon,,,158,32,0,12,202
Vershire,,,88,8,0,4,100
Victory,,,5,2,0,0,7
Waitsfield,,,308,18,2,11,339
Walden,,,100,14,0,2,116
Wallingford,,,190,36,1,3,230
Waltham,,,63,15,0,1,79
Wardsboro,,,60,13,1,3,77
Warren,,,225,12,0,12,249
Washington,,,83,19,0,1,103
Waterbury,,,646,50,0,12,708
Waterford,,,72,13,0,1,86
Waterville,,,59,3,0,2,64
Weathersfield,,,257,36,1,2,296
Wells,,,52,8,0,1,61
"W. Fairlee",,,63,1,1,3,68
"W. Haven",,,16,5,0,1,22
"W. Rutland",,,128,27,0,2,157
"W. Windsor",,,177,13,4,3,197
Westfield,,,58,6,0,1,65
Westford,,,369,54,0,8,431
Westminster,-,"Windham 4",29,3,0,0,32
Westminster,-,"Windham 5",559,53,1,13,626
Westmore,,,38,12,0,0,50
Weston,,,99,10,0,4,113
Weybridge,,,195,11,0,1,207
Wheelock,,,50,5,0,2,57
Whiting,,,35,6,0,0,41
Whitingham,,,77,28,0,5,110
Williamstown,,,243,30,1,4,278
Williston,,,"1,166",122,0,21,"1,309"
Wilmington,,,131,71,1,3,206
Windham,,,64,8,1,0,73
Windsor,,,355,25,0,6,386
Winhall,,,59,12,1,4,76
Winooski,,,555,67,0,12,634
Wolcott,,,151,19,0,4,174
Woodbury,,,152,12,0,2,166
Woodford,,,27,12,1,0,40
Woodstock,,,579,49,2,15,645
Worcester,,,179,20,0,5,204
TOTALS,,,"64,756","7,892",175,"1,775","74,598"
