City/Town,Ward,Pct,"Peter Welch",Write-Ins,Blanks,"Total Votes Cast"
Highgate,,,206,4,25,235
Hinesburg,-,"Chittenden 1-1",567,4,49,620
Hinesburg,-,"Chittenden 1-2",27,1,1,29
Holland,,,49,0,6,55
Hubbardton,,,44,1,4,49
Huntington,,,335,2,27,364
"Hyde Park",,,277,2,46,325
Ira,-,"Rutland 1-1",1,0,0,1
Ira,-,"Rutland 1-2",33,1,6,40
Irasburg,,,73,3,13,89
"Isle La Motte",,,86,2,12,100
Jamaica,,,101,2,13,116
Jay,,,43,0,5,48
Jericho,,,730,12,70,812
Johnson,,,219,2,3,224
Killington,,,79,1,12,92
Kirby,,,33,1,5,39
Landgrove,,,33,0,5,38
Leicester,,,84,2,8,94
Lemington,,,3,0,1,4
Lincoln,,,267,2,19,288
Londonderry,,,128,3,15,146
Lowell,,,60,6,12,78
Ludlow,,,202,5,34,241
Lunenburg,,,108,2,22,132
Lyndon,,,264,4,37,305
Maidstone,,,18,1,2,21
Manchester,,,303,5,53,361
Marlboro,,,238,1,26,265
Marshfield,,,258,2,36,296
Mendon,,,110,2,15,127
Middlebury,,,"1,085",6,86,"1,177"
Middlesex,,,397,5,44,446
"Middletown Springs",,,99,1,13,113
Milton,-,"Chittenden 9",517,7,78,602
Milton,-,"Grand Isle-Chittenden 1-1",96,0,16,112
Monkton,,,277,4,29,310
Montgomery,,,125,0,12,137
Montpelier,,,"1,895",17,216,"2,128"
Moretown,,,248,3,32,283
Morgan,,,57,0,8,65
Morristown,,,474,5,49,528
"Mount Holly",,,148,1,13,162
"Mount Tabor",,,15,0,0,15
"New Haven",,,251,3,18,272
Newark,,,42,2,8,52
Newbury,,,180,0,24,204
Newfane,,,336,3,56,395
"Newport City",,,247,9,27,283
"Newport Town",,,81,6,9,96
"N. Hero",,,120,0,9,129
Northfield,,,377,7,54,438
Norton,,,10,0,1,11
Norwich,,,831,5,62,898
Orange,,,56,2,7,65
Orwell,,,90,5,13,108
Panton,,,58,0,6,64
Pawlet,,,115,2,10,127
Peacham,,,157,0,17,174
Peru,,,45,0,5,50
Pittsfield,,,66,6,17,89
Pittsford,,,206,4,26,236
Plainfield,,,226,3,40,269
Plymouth,,,65,0,14,79
Pomfret,,,173,0,14,187
Poultney,,,198,3,32,233
Pownal,,,196,0,32,228
Proctor,,,217,6,33,256
Putney,,,515,4,54,573
Randolph,,,531,8,52,591
Reading,,,99,0,15,114
Readsboro,,,30,0,30,60
Richford,,,149,0,14,163
Richmond,,,693,8,67,768
Ripton,,,140,0,10,150
Rochester,,,230,5,23,258
Rockingham,,,739,6,96,841
Roxbury,,,65,1,14,80
Royalton,,,326,3,59,388
Rupert,-,"Bennington 5",12,0,1,13
Rupert,-,"Rutland 8",62,0,7,69
"Rutland City",-,"Rutland 5-1",399,13,57,469
"Rutland City",-,"Rutland 5-2",344,6,46,396
"Rutland City",-,"Rutland 5-3",224,3,26,253
"Rutland City",-,"Rutland 5-4",295,15,34,344
"Rutland Town",,,402,19,68,489
Ryegate,,,106,4,12,122
Salisbury,,,104,2,10,116
Sandgate,,,42,0,2,44
Searsburg,,,7,0,3,10
Shaftsbury,,,376,1,44,421
Sharon,,,178,1,13,192
Sheffield,,,38,3,7,48
Shelburne,-,"Chittenden 5-1",780,11,64,855
Shelburne,-,"Chittenden 5-2",496,7,52,555
Sheldon,,,165,6,12,183
Shoreham,,,153,0,22,175
Shrewsbury,,,142,3,15,160
"S. Burlington",-,"Chittenden 3-10",511,4,42,557
"S. Burlington",-,"Chittenden 3-7",619,9,74,702
"S. Burlington",-,"Chittenden 3-8",747,18,84,849
"S. Burlington",-,"Chittenden 3-9",447,8,62,517
"S. Hero",,,294,10,28,332
Springfield,-,"Windsor 1-1",9,0,0,9
Springfield,-,"Windsor 1-2",732,9,55,796
"St. Albans City",,,608,31,51,690
"St. Albans Town",,,484,22,39,545
"St. George",,,64,0,10,74
"St. Johnsbury",,,422,8,45,475
Stamford,,,61,1,5,67
Stannard,,,28,0,1,29
Starksboro,,,235,0,26,261
Stockbridge,,,95,4,17,116
Stowe,,,441,8,74,523
Strafford,,,272,0,15,287
Stratton,,,7,0,5,12
Sudbury,,,70,1,4,75
Sunderland,,,64,1,4,69
Sutton,,,49,1,3,53
Swanton,,,447,11,37,495
Thetford,,,457,5,35,497
Tinmouth,,,84,1,6,91
Topsham,,,77,0,13,90
Townshend,,,148,0,24,172
Troy,,,93,2,11,106
Tunbridge,,,210,4,22,236
Underhill,,,436,0,39,475
Vergennes,,,252,4,17,273
Vernon,,,164,1,38,203
Vershire,,,89,1,10,100
Victory,,,6,1,0,7
Waitsfield,,,301,1,35,337
Walden,,,107,1,8,116
Wallingford,,,204,3,21,228
Waltham,,,65,2,10,77
Wardsboro,,,64,0,13,77
Warren,,,216,3,29,248
Washington,,,89,0,14,103
Waterbury,,,650,2,56,708
Waterford,,,72,1,12,85
Waterville,,,56,0,8,64
Weathersfield,,,269,6,21,296
Wells,,,57,0,4,61
"W. Fairlee",,,62,0,6,68
"W. Haven",,,19,0,3,22
"W. Rutland",,,133,6,18,157
"W. Windsor",,,180,4,12,196
Westfield,,,56,2,6,64
Westford,,,367,0,64,431
Westminster,-,"Windham 4",32,0,0,32
Westminster,-,"Windham 5",559,4,63,626
Westmore,,,34,3,13,50
Weston,,,102,1,10,113
Weybridge,,,192,0,15,207
Wheelock,,,50,0,7,57
Whiting,,,35,0,6,41
Whitingham,,,91,0,19,110
Williamstown,,,247,9,22,278
Williston,,,"1,171",5,125,"1,301"
Wilmington,,,170,3,33,206
Windham,,,64,1,8,73
Windsor,,,367,1,18,386
Winhall,,,56,4,16,76
Winooski,,,562,4,68,634
Wolcott,,,153,3,18,174
Woodbury,,,149,3,14,166
Woodford,,,35,0,5,40
Woodstock,,,591,3,51,645
Worcester,,,181,3,20,204
TOTALS,,,"65,920",913,"7,575","74,408"
