City/Town,Ward,Pct,"Peter Welch","Martha Rainville","Dennis Morrisseau","Jerry Trudell","Bruce R. Marshall","Keith Stern","Jane Newton","Chris Karr",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,"Impeach Bush Now",Independent,Green,Independent,"Liberty Union","We the People"
"N. Hero",,,204,312,0,1,1,1,0,0,0,0,519
Northfield,,,884,"1,110",3,8,5,4,2,4,0,0,"2,020"
Norton,,,22,50,1,0,0,0,0,1,0,0,74
Norwich,,,"1,595",311,7,2,4,8,2,1,0,0,"1,930"
Orange,,,160,283,1,1,2,1,0,1,0,0,449
Orwell,,,262,313,1,1,0,1,0,1,0,0,579
Panton,,,143,179,0,1,0,0,1,0,0,0,324
Pawlet,,,292,285,25,0,5,4,0,4,0,0,615
Peacham,,,239,158,2,0,2,0,0,1,0,0,402
Peru,,,111,60,1,0,1,3,2,0,0,0,178
Pittsfield,,,120,121,1,1,3,1,1,0,0,0,248
Pittsford,,,559,708,3,0,3,2,3,1,1,0,"1,280"
Plainfield,,,444,213,7,1,5,0,0,5,0,0,675
Plymouth,,,141,137,1,0,2,3,1,1,0,0,286
Pomfret,,,303,202,4,2,0,4,3,2,0,0,520
Poultney,,,586,556,15,5,4,5,8,1,2,0,"1,182"
Pownal,,,713,474,33,17,23,19,10,15,0,0,"1,304"
Proctor,,,368,373,4,0,4,0,2,0,0,0,751
Putney,,,888,204,17,6,5,1,3,4,0,0,"1,128"
Randolph,,,"1,063",943,9,2,7,3,3,2,2,0,"2,034"
Reading,,,194,148,1,0,1,2,2,0,1,0,349
Readsboro,,,172,88,3,4,5,4,3,3,1,0,283
Richford,,,358,407,1,4,1,3,1,2,2,0,779
Richmond,,,"1,229",915,5,4,2,0,2,0,1,0,"2,158"
Ripton,,,224,83,4,1,3,0,0,0,0,0,315
Rochester,,,374,225,5,2,19,2,0,5,0,0,632
Rockingham,,,"1,245",540,18,13,12,42,16,7,1,0,"1,894"
Roxbury,,,188,122,2,0,3,1,0,2,0,0,318
Royalton,,,628,483,5,0,7,4,3,4,0,0,"1,134"
Rupert,,,0,3,3,158,11,4,122,2,0,0,303
"Rutland City",-,"Rutland 5-1",964,927,7,2,2,5,7,3,3,0,"1,920"
"Rutland City",-,"Rutland 5-2",807,766,6,6,4,4,2,1,4,0,"1,600"
"Rutland City",-,"Rutland 5-3",604,450,8,5,2,6,4,4,2,0,"1,085"
"Rutland City",-,"Rutland 5-4",751,713,5,4,5,2,3,3,3,0,"1,489"
"Rutland Town",-,"Elem. School",677,843,4,1,6,0,1,4,3,0,"1,539"
"Rutland Town",-,"Town Hall",236,336,0,0,1,0,1,0,0,0,574
Ryegate,,,214,242,4,4,3,0,0,3,1,0,471
Salisbury,,,250,213,0,2,1,17,0,0,0,0,483
Sandgate,,,89,71,4,0,4,1,1,0,1,0,171
Searsburg,,,26,16,2,0,0,0,1,1,0,0,46
Shaftsbury,,,919,655,18,10,12,12,5,8,3,0,"1,642"
Sharon,,,330,236,2,0,1,3,0,0,1,0,573
Sheffield,,,116,144,2,2,4,2,2,2,0,0,274
Shelburne,-,"Chittenden 5-1","1,276",833,2,1,5,3,1,1,0,0,"2,122"
Shelburne,-,"Chittenden 5-2",959,885,5,3,2,1,1,1,0,0,"1,857"
Sheldon,,,281,390,1,1,1,0,1,3,0,0,678
Shoreham,,,287,275,3,2,0,1,0,1,1,0,570
Shrewsbury,,,314,266,3,1,4,3,1,3,1,0,596
"S. Burlington",-,"Chittenden 3-10",982,670,4,1,4,1,0,0,1,0,"1,663"
"S. Burlington",-,"Chittenden 3-7","1,115",747,4,1,0,1,2,1,1,0,"1,872"
"S. Burlington",-,"Chittenden 3-8","1,355","1,251",7,2,2,3,1,3,2,0,"2,626"
"S. Burlington",-,"Chittenden 3-9",902,891,5,5,1,2,0,2,1,0,"1,809"
"S. Hero",,,504,505,3,3,3,0,0,0,0,0,"1,018"
Springfield,-,"Windsor 1-1",26,19,0,0,0,4,0,0,0,0,49
Springfield,-,"Windsor 1-2","1,908","1,401",16,5,8,113,9,7,4,0,"3,471"
"St. Albans City",,,"1,056","1,198",3,10,2,3,3,3,0,0,"2,278"
"St. Albans Town",,,915,"1,444",8,5,4,5,0,6,0,0,"2,387"
"St. George",,,129,128,0,1,1,0,0,0,0,0,259
"St. Johnsbury",,,"1,166","1,369",9,3,13,6,3,5,6,0,"2,580"
Stamford,,,165,109,5,4,1,7,2,1,2,0,296
Stannard,,,61,44,0,0,1,1,0,1,0,0,108
Starksboro,,,437,321,4,3,2,0,0,1,0,0,768
Stockbridge,,,183,127,2,0,4,0,2,0,0,0,318
Stowe,,,"1,224","1,085",12,5,5,4,2,3,0,0,"2,340"
Strafford,,,456,142,2,3,7,3,1,1,0,0,615
Stratton,,,37,57,1,2,0,2,1,1,0,0,101
Sudbury,,,152,132,0,1,1,3,1,1,0,0,291
Sunderland,,,223,150,6,4,1,1,0,5,1,0,391
Sutton,,,143,242,2,1,4,0,1,0,0,0,393
Swanton,,,922,"1,347",2,1,4,1,1,1,1,0,"2,280"
Thetford,,,923,350,6,5,4,4,1,2,0,0,"1,295"
Tinmouth,,,149,129,0,2,1,1,1,2,0,0,285
Topsham,,,179,260,3,2,1,2,1,2,0,0,450
Townshend,,,313,234,4,5,8,4,10,3,0,0,581
Troy,,,245,261,5,1,2,3,0,2,1,0,520
Tunbridge,,,325,292,4,1,0,0,1,1,0,0,624
Underhill,,,987,701,3,5,5,1,1,4,0,0,"1,707"
Vergennes,,,518,485,5,1,4,3,4,1,3,0,"1,024"
Vernon,,,334,443,3,23,7,29,4,2,1,0,846
Vershire,,,163,105,3,0,2,1,0,1,0,0,275
Victory,,,19,30,0,0,0,1,0,0,0,0,50
Waitsfield,,,578,372,8,1,4,1,2,1,0,0,967
Walden,,,215,208,4,2,1,15,2,1,0,0,448
Wallingford,,,528,536,1,2,2,7,2,1,0,0,"1,079"
Waltham,,,137,123,1,2,1,0,0,0,0,0,264
Wardsboro,,,181,121,7,3,3,3,2,2,0,0,322
Warren,,,549,324,7,26,5,2,1,4,0,0,918
Washington,,,189,255,3,1,1,2,2,2,0,0,455
Waterbury,,,"1,320","1,019",5,6,8,3,4,7,0,0,"2,372"
Waterford,,,208,359,2,1,6,1,2,2,0,0,581
Waterville,,,152,143,3,1,2,0,0,0,1,0,302
Weathersfield,,,640,570,3,3,3,23,2,2,2,0,"1,248"
Wells,,,184,236,6,2,7,2,1,0,0,0,438
"W. Fairlee",,,114,114,2,0,2,2,0,0,0,0,234
"W. Haven",,,50,58,0,0,1,2,0,0,0,0,111
"W. Rutland",,,406,459,4,4,0,3,1,3,0,0,880
"W. Windsor",,,322,247,2,1,0,2,0,1,0,0,575
Westfield,,,120,132,0,0,2,0,1,1,0,0,256
Westford,,,513,433,2,4,4,1,1,0,0,0,958
Westminster,-,"Windham 4",60,19,0,0,0,0,0,0,0,0,79
Westminster,-,"Windham 5",919,313,13,11,7,11,7,2,1,0,"1,284"
Westmore,,,96,82,3,0,1,1,1,1,0,0,185
Weston,,,217,128,2,3,1,2,5,0,0,0,358
Weybridge,,,316,182,0,1,2,0,0,0,0,0,501
Wheelock,,,126,155,2,0,1,2,0,0,2,0,288
Whiting,,,113,81,2,0,1,0,0,0,0,0,197
Whitingham,,,228,227,16,3,4,6,2,3,1,0,490
Williamstown,,,548,737,6,1,5,2,1,10,0,0,"1,310"
Williston,,,"2,158","2,245",6,10,2,4,2,3,1,0,"4,431"
Wilmington,,,457,359,19,8,12,12,8,4,1,0,880
Windham,,,108,62,1,1,1,2,13,1,0,0,189
Windsor,,,828,419,4,2,5,8,3,3,1,0,"1,273"
Winhall,,,193,179,4,3,2,2,5,0,0,0,388
Winooski,,,"1,204",838,9,8,7,5,2,5,5,0,"2,083"
Wolcott,,,359,310,2,0,3,2,1,0,0,0,677
Woodbury,,,249,199,2,1,0,1,1,2,0,0,455
Woodford,,,89,51,7,1,1,2,1,5,0,0,157
Woodstock,,,"1,046",620,4,0,6,4,3,4,0,0,"1,687"
Worcester,,,313,173,5,1,3,2,0,1,0,0,498
TOTALS,,,"139,815","117,023","1,390","1,013",994,963,721,599,208,0,"262,726"
